country,year,out-oof-gross,capital-repayment,interest-repayment
TR,2004,1131630000,0,0
AE,2004,0,0,0
AU,2005,179090000,335740000,59610000
AT,2005,659210000,296310000,79300000
BE,2005,548810000,83910000,0
CA,2005,1843840000,2596520000,474560000
DK,2005,31560000,41520000,7160000
FI,2005,0,0,0
FR,2005,2197030000,3811710000,96600000
DE,2005,12171020000,4300940000,226850000
GR,2005,0,0,0
IT,2005,106940000,1419730000,608470000
JP,2005,10098000000,11896240000,23290000
KR,2005,1504870000,749330000,121060000
LU,2005,0,0,0
NL,2005,172540000,0,0
NZ,2005,9580000,0,0
NO,2005,7030000,60000,20000
PT,2005,0,3090000,4180000
ES,2005,76150000,0,0
SE,2005,50940000,55940000,5610000
CH,2005,0,0,0
GB,2005,54360000,157000000,0
US,2005,850830000,2046480000,5298400000
1,2005,1008960000,1404070000,509430000
4,2005,0,0,0
5,2005,4148170000,2104820000,1091930000
7,2005,0,0,0
8,2005,41180000,19960000,11230000
9,2005,1834490000,1792260000,203000000
EU,2005,2998580000,1171470000,550740000
14,2005,9878120000,12928500000,4399910000
16,2005,5803600000,6189860000,2874180000
18,2005,31610000,30990000,7040000
19,2005,2938400000,2515090000,811420000
22,2005,0,0,0
24,2005,0,0,0
25,2005,0,0,0
KW,2005,0,0,0
SA,2005,0,0,0
TR,2005,624220000,129470000,0
AE,2005,0,0,0
AU,2006,316090000,0,0
AT,2006,169470000,678370000,122100000
BE,2006,33950000,533120000,0
CA,2006,2836590000,2379190000,485840000
DK,2006,55470000,146790000,12500000
FI,2006,0,0,0
FR,2006,350870000,2988290000,1241230000
DE,2006,126600000,6434690000,457530000
GR,2006,9420000,0,0
IT,2006,181190000,1268070000,543450000
JP,2006,16268670000,12578020000,0
KR,2006,1876330000,877970000,169970000
LU,2006,0,0,0
NL,2006,378200000,0,0
NZ,2006,10620000,0,0
NO,2006,6890000,70000,0
PT,2006,0,22020000,277170000
ES,2006,0,0,0
SE,2006,98580000,100730000,108800000
CH,2006,24370000,0,0
GB,2006,10910000,197250000,43270000
US,2006,588090000,5036250000,745450000
1,2006,955580000,1442470000,517540000
4,2006,0,0,0
5,2006,5119390000,2010090000,1298680000
7,2006,0,0,0
8,2006,97180000,56370000,46370000
9,2006,1562570000,1026250000,296900000
EU,2006,3660720000,1593660000,651860000
14,2006,13357610000,18978420000,5110710000
16,2006,7042280000,9971550000,2844390000
18,2006,45330000,32190000,6610000
19,2006,4364090000,2575880000,939280000
22,2006,0,0,0
24,2006,0,0,0
25,2006,0,0,0
KW,2006,0,0,0
SA,2006,0,0,0
TR,2006,8440000,160070000,23700000
AE,2006,0,0,0
AU,2007,387630000,420080000,0
AT,2007,101590000,740140000,252990000
BE,2007,31850000,198100000,0
CA,2007,1944780000,1949760000,99900000
DK,2007,30830000,153920000,15930000
FI,2007,100380000,0,5850000
FR,2007,226300000,1413600000,472810000
DE,2007,1430370000,3939740000,572840000
GR,2007,3610000,0,0
IT,2007,140180000,405460000,173790000
JP,2007,12028220000,12344820000,480700000
KR,2007,2347800000,1409620000,234900000
LU,2007,0,0,0
NL,2007,0,0,0
NZ,2007,9970000,0,0
NO,2007,6250000,60000,0
PT,2007,2053450000,2282920000,503460000
ES,2007,6060000,0,0
SE,2007,41970000,92270000,4190000
CH,2007,0,0,0
GB,2007,16940000,55560000,0
US,2007,404850000,2164900000,525520000
1,2007,1495250000,1378380000,613440000
4,2007,0,0,0
5,2007,5597310000,1535300000,1425440000
7,2007,0,0,0
8,2007,109420000,60370000,45070000
9,2007,2381610000,876060000,349770000
EU,2007,5986670000,1278650000,853080000
14,2007,10684010000,10592280000,5371330000
16,2007,7181710000,5625630000,2603870000
18,2007,42880000,34950000,6980000
19,2007,4622270000,2494020000,1072760000
22,2007,0,0,0
24,2007,0,0,0
25,2007,0,0,0
KW,2007,0,0,0
SA,2007,0,0,0
TR,2007,7280000,50880000,11610000
AE,2007,0,0,0
AU,2008,200920000,351020000,0
AT,2008,269460000,171780000,82520000
BE,2008,49930000,181780000,0
CA,2008,3448810000,1634270000,484210000
DK,2008,48340000,123440000,12540000
FI,2008,36790000,15380000,0
FR,2008,896490000,1109630000,395060000
DE,2008,2554590000,2986810000,970200000
GR,2008,0,0,0
IT,2008,973680000,589460000,250790000
JP,2008,6800700000,9969440000,349290000
KR,2008,3852950000,1791840000,290130000
LU,2008,0,0,0
NL,2008,0,0,0
NZ,2008,10270000,0,0
NO,2008,660000,110000,0
PT,2008,0,0,0
ES,2008,0,0,0
SE,2008,66110000,34140000,4160000
CH,2008,0,0,0
GB,2008,14380000,35890000,5260000
US,2008,436500000,1600030000,376010000
1,2008,1139660000,727870000,778060000
4,2008,0,0,0
5,2008,6582520000,1930920000,1363570000
7,2008,0,0,0
8,2008,103100000,73760000,43440000
9,2008,2806300000,784890000,366590000
EU,2008,5758930000,1624110000,940770000
14,2008,13621280000,9770800000,4312870000
16,2008,7279280000,4827080000,2462830000
18,2008,54140000,31430000,8840000
19,2008,5107480000,1842880000,1087240000
22,2008,0,0,0
24,2008,0,0,0
25,2008,0,0,0
KW,2008,0,0,0
SA,2008,0,0,0
TR,2008,32710000,35100000,8130000
AE,2008,0,0,0
AU,2009,540650000,4280000,0
AT,2009,183810000,226400000,79580000
BE,2009,126160000,37870000,0
CA,2009,1828010000,3228250000,400360000
DK,2009,36750000,30470000,14420000
FI,2009,142950000,9220000,4650000
FR,2009,927170000,645030000,413000000
DE,2009,1557360000,1378310000,402810000
GR,2009,0,0,0
IT,2009,41440000,110250000,47240000
JP,2009,13828490000,6353700000,0
KR,2009,3098220000,2554640000,329070000
LU,2009,0,0,0
NL,2009,0,0,0
NZ,2009,10380000,0,0
NO,2009,150000,0,0
PT,2009,0,0,0
ES,2009,3210000,0,0
SE,2009,89640000,10220000,15170000
CH,2009,0,0,0
GB,2009,8360000,22500000,0
US,2009,2231670000,1194050000,454610000
1,2009,3803070000,1207380000,709650000
4,2009,0,0,0
5,2009,8282310000,1953090000,1106340000
7,2009,0,0,0
8,2009,119780000,63530000,39180000
9,2009,3781980000,1370120000,345070000
EU,2009,6365600000,1889380000,918790000
14,2009,22450110000,10369770000,3225710000
16,2009,11971220000,4786000000,2406990000
18,2009,39550000,33480000,6450000
19,2009,4688730000,2334430000,1067570000
22,2009,0,0,0
24,2009,0,0,0
25,2009,379330000,107300000,18130000
KW,2009,0,0,0
SA,2009,0,0,0
TR,2009,29240000,40890000,5870000
AE,2009,13420000,3630000,0
AU,2010,318970000,8820000,0
AT,2010,154200000,309740000,69210000
BE,2010,19360000,34610000,0
CA,2010,3586720000,2124790000,231110000
DK,2010,39450000,73200000,5850000
FI,2010,52090000,7780000,5700000
FR,2010,801790000,1373510000,436350000
DE,2010,1308280000,1714720000,447270000
GR,2010,0,0,0
IT,2010,56280000,207060000,68790000
JP,2010,9754570000,6355730000,0
KR,2010,4614790000,2621650000,232400000
LU,2010,0,0,0
NL,2010,0,0,0
NZ,2010,9500000,0,0
NO,2010,750000,0,0
PT,2010,0,0,0
ES,2010,0,0,0
SE,2010,50000,0,0
CH,2010,0,0,0
GB,2010,29150000,49460000,0
US,2010,1297350000,1292330000,348980000
1,2010,2120970000,924870000,530820000
4,2010,0,0,0
5,2010,5474940000,2119810000,687530000
7,2010,0,0,0
8,2010,256690000,119380000,38150000
9,2010,3769120000,1657740000,395370000
EU,2010,8217370000,2662830000,996230000
14,2010,27534370000,8616710000,2266100000
16,2010,10567600000,5875040000,2417420000
18,2010,45900000,34270000,2720000
19,2010,4345450000,2587460000,1002230000
22,2010,1548800000,344630000,0
24,2010,0,0,0
25,2010,510460000,211260000,0
KW,2010,0,0,0
SA,2010,0,0,0
TR,2010,6530000,31000000,4490000
AE,2010,29620000,31490000,0
AU,2011,260910000,0,0
AT,2011,227120000,198670000,48210000
BE,2011,9990000,24030000,0
CA,2011,10580610000,10247900000,1063980000
DK,2011,43160000,33200000,8550000
FI,2011,1068330000,28300000,7800000
FR,2011,1199310000,1265600000,348810000
DE,2011,1389870000,1774110000,579740000
GR,2011,0,0,0
IT,2011,169390000,370310000,158710000
JP,2011,9897090000,6662720000,0
KR,2011,5114810000,2893090000,206390000
LU,2011,0,0,0
NL,2011,0,0,0
NZ,2011,9810000,0,0
NO,2011,0,0,0
PT,2011,0,0,0
