id,year,gdp-pc-usd-2005
AW,2000,23902.92089
AD,2000,27255.99136
AF,2000,
AO,2000,1238.476496
AL,2000,2085.536671
AE,2000,45929.88522
AR,2000,5473.799779
AM,2000,895.5977147
AS,2000,
AG,2000,10897.77797
AU,2000,30856.78484
AT,2000,36072.84768
AZ,2000,874.0960829
BI,2000,150.3041686
BE,2000,34629.92318
BJ,2000,512.9552851
BF,2000,343.1142999
BD,2000,349.5053669
BG,2000,2779.960397
BH,2000,18581.88342
BS,2000,23841.86714
BA,2000,2232.630386
BY,2000,2103.058614
BZ,2000,3604.656252
BM,2000,69275.61113
BO,2000,965.4074982
BR,2000,4406.753099
BB,2000,13801.26057
BN,2000,25925.49952
BT,2000,991.5913043
BW,2000,4735.539268
CF,2000,338.8576649
CA,2000,33474.48951
CH,2000,52615.09552
CL,2000,6535.354781
CN,2000,1124.623311
CI,2000,1059.155393
CM,2000,868.1177423
CG,2000,1595.589193
CO,2000,3082.862533
KM,2000,587.8371731
CV,2000,1663.554461
CR,2000,4158.436447
CU,2000,2996.625169
CW,2000,
KY,2000,
CY,2000,15369.9773
CZ,2000,10921.43461
DE,2000,33815.21721
DJ,2000,846.8027596
DM,2000,4847.239942
DK,2000,46258.00807
DO,2000,3297.213613
DZ,2000,2487.286033
EC,2000,2613.347141
EG,2000,1140.118415
ER,2000,245.7114001
ES,2000,24339.83416
EE,2000,7102.136919
ET,2000,137.4970075
FI,2000,34774.48457
FJ,2000,3285.999109
FR,2000,33327.28243
FO,2000,
FM,2000,2257.094416
GA,2000,6488.289522
GB,2000,35488.38143
GE,2000,1018.759373
GH,2000,445.8768282
GN,2000,288.6451124
GM,2000,437.8568071
GW,2000,422.6811775
GQ,2000,4425.47714
GR,2000,18777.22354
GD,2000,5481.035834
GL,2000,28962.04053
GT,2000,2092.248443
GU,2000,
GY,2000,1069.634596
HK,2000,22205.55139
HN,2000,1235.615945
HR,2000,8236.478274
HT,2000,497.7696663
HU,2000,8916.184078
ID,2000,1086.443068
IN,2000,578.5494818
IE,2000,43624.8119
IR,2000,2215.106504
IQ,2000,2046.650744
IS,2000,48636.87502
IL,2000,20193.98951
IT,2000,31084.20222
JM,2000,
JO,2000,1926.486775
JP,2000,33971.78214
KZ,2000,2343.537035
KE,2000,500.9633721
KG,2000,417.0427142
KH,2000,329.4326026
KI,2000,1181.490309
KN,2000,10015.97214
KR,2000,15167.59523
XK,2000,1514.466484
KW,2000,28561.22789
LA,2000,375.1164214
LB,2000,5372.92116
LR,2000,166.7867086
LY,2000,6941.241606
LC,2000,5556.002508
LI,2000,106194.2138
LK,2000,1051.743097
LS,2000,639.6315872
LT,2000,5122.096312
LU,2000,72865.06123
LV,2000,4571.313217
MO,2000,15711.34608
MF,2000,
MA,2000,1626.11695
MC,2000,122438.5437
MD,2000,583.2570868
MG,2000,286.0034935
MV,2000,
MX,2000,7692.040578
MH,2000,2374.345584
MK,2000,2698.546538
ML,2000,380.2482343
MT,2000,15001.86255
MM,2000,
ME,2000,3215.114168
MN,2000,768.8376286
MP,2000,
MZ,2000,235.8848607
MR,2000,563.1565554
MU,2000,4554.921338
MW,2000,221.3448033
MY,2000,4867.478417
NA,2000,3007.360535
NC,2000,
NE,2000,254.99083
NG,2000,552.186874
NI,2000,1061.232618
NL,2000,39810.33452
NO,2000,60788.68983
NP,2000,296.8240863
NZ,2000,24361.90889
OM,2000,13577.31239
PK,2000,596.6842953
PA,2000,4099.65797
PE,2000,2338.456984
PH,2000,1060.550031
PW,2000,9216.727266
PG,2000,840.4902737
PL,2000,6874.266195
PR,2000,19020.33023
KP,2000,
PT,2000,18367.52901
PY,2000,1485.216505
PF,2000,
QA,2000,50673.26349
RO,2000,3326.623942
RU,2000,3867.7497
RW,2000,214.8937618
SA,2000,12857.05379
SD,2000,701.5144182
SN,2000,703.0761616
SG,2000,24826.83284
SB,2000,952.9124333
SL,2000,276.1453597
SV,2000,2554.049275
SM,2000,43309.44837
SO,2000,
RS,2000,2584.329393
SS,2000,
ST,2000,740.6551589
SR,2000,2909.936404
SK,2000,9095.647117
SI,2000,15315.6566
SE,2000,38547.76807
SZ,2000,2188.753261
SX,2000,
SC,2000,11464.53864
SY,2000,1385.428885
TC,2000,
TD,2000,367.4638336
TG,2000,411.3618221
TH,2000,2213.547007
TJ,2000,234.3381538
TM,2000,1404.083552
TL,2000,507.6553408
TO,2000,2388.679236
TT,2000,8641.314266
TN,2000,2756.206647
TR,2000,6125.89105
TV,2000,2304.642685
TZ,2000,295.7238971
UG,2000,268.4868206
UA,2000,1210.685742
UY,2000,5180.950587
US,2000,41111.07486
UZ,2000,446.0379633
VC,2000,4105.944227
VE,2000,5244.278277
VI,2000,
VN,2000,531.8583967
VU,2000,2040.738668
PS,2000,1358.873552
WS,2000,2084.775833
YE,2000,778.0618273
ZA,2000,4659.090909
CD,2000,211.404396
ZM,2000,610.5549987
ZW,2000,675.5998965
AW,2001,22873.00011
AD,2001,29298.84421
AF,2001,
AO,2001,1249.44594
AL,2001,2249.670009
AE,2001,45017.66225
AR,2001,5177.960743
AM,2001,986.3614832
AS,2001,
AG,2001,10372.80666
AU,2001,31010.14784
AT,2001,36432.39559
AZ,2001,953.2177059
BI,2001,149.6914792
BE,2001,34802.66017
BJ,2001,527.8744203
BF,2001,355.3581815
BD,2001,361.5308916
BG,2001,2939.495533
BH,2001,18213.19873
BS,2001,24044.2475
BA,2001,2303.834972
BY,2001,2219.516303
BZ,2001,3683.375275
BM,2001,73481.58953
BO,2001,961.9829159
BR,2001,4401.920673
BB,2001,13393.86075
BN,2001,26062.48056
BT,2001,1042.392414
BW,2001,4672.93646
CF,2001,347.7053564
CA,2001,33459.98797
CH,2001,53113.10574
CL,2001,6713.860202
CN,2001,1202.972049
CI,2001,1040.303286
CM,2001,883.849266
CG,2001,1615.222789
CO,2001,3081.956775
KM,2001,640.9094087
CV,2001,1669.043232
CR,2001,4115.331916
CU,2001,3081.734105
CW,2001,
KY,2001,
CY,2001,15686.15118
CZ,2001,11354.06527
DE,2001,34244.11133
DJ,2001,851.3707276
DM,2001,4871.500736
DK,2001,46465.77404
DO,2001,3305.031693
DZ,2001,2567.150874
EC,2001,2665.590163
EG,2001,1161.672074
ER,2001,256.6530159
ES,2001,25026.98928
EE,2001,7587.669933
ET,2001,144.6760824
FI,2001,35659.15858
FJ,2001,3339.158849
FR,2001,33737.683
FO,2001,
FM,2001,2302.101722
