id,year,population-rural,population-urban
VN,2004,59707679,21730021
VU,2004,157574,46561
PS,2004,878906,2357720
WS,2004,140430,38364
YE,2004,14044652,5568044
ZA,2004,19281267,27738185
CD,2004,33066995,19420298
ZM,2004,7129874,4044776
ZW,2004,8340093,4352954
AW,2005,55142,44889
AD,2005,7883,73340
AF,2005,19168962,5691893
AO,2005,10560441,5983935
AL,2005,1594194,1398530
AE,2005,735929,3412954
AR,2005,3832321,34815533
AM,2005,1079823,1935094
AS,2005,7035,52082
AG,2005,58440,24125
AU,2005,2447376,17947424
AT,2005,2811943,5415886
AZ,2005,3995444,4396406
BI,2005,7041918,728474
BE,2005,272758,10205859
BJ,2005,4910890,3271472
BF,2005,10531248,2890681
BD,2005,104762070,38373110
BG,2005,2276769,5463131
BH,2005,102026,777508
BS,2005,58314,270774
BA,2005,2358858,1520970
BY,2005,2671433,6991567
BZ,2005,145991,125929
BM,2005,0,64154
BO,2005,3349547,6005162
BR,2005,31953205,154189198
BB,2005,183457,90111
BN,2005,97460,270355
BT,2005,449015,201402
BW,2005,842743,1033062
CF,2005,2453142,1507755
CA,2005,6422979,25889021
CH,2005,1972769,5464346
CL,2005,2051531,14286218
CN,2005,749352182,554367818
CI,2005,9247343,8146651
CM,2005,9333497,8804237
CG,2005,1382143,2160724
CO,2005,11408788,31775238
KM,2005,433291,167442
CV,2005,202522,276129
CR,2005,1483144,2836986
CU,2005,2694967,8597111
CW,2005,12941,123767
KY,2005,0,48623
CY,2005,327660,704926
CZ,2005,2695557,7515659
DE,2005,21973977,60495445
DJ,2005,180471,596114
DM,2005,23560,46982
DK,2005,766524,4652908
DO,2005,3049300,6294062
DZ,2005,12283659,21677244
EC,2005,5275126,8502005
EG,2005,40893896,30883782
ER,2005,3937181,916885
ES,2005,9925418,33727737
EE,2005,423570,931205
ET,2005,64208983,11958257
FI,2005,896820,4349276
FJ,2005,412303,410181
FR,2005,14448407,48727839
FO,2005,29602,19555
FM,2005,82484,23714
GA,2005,228702,1150763
GB,2005,12131582,48269624
GE,2005,2072973,2288427
GH,2005,11267675,10116359
GN,2005,6434624,3141707
GM,2005,684631,751918
GW,2005,840584,580931
GQ,2005,369095,234553
GR,2005,2834017,8258896
GD,2005,65975,36976
GL,2005,9760,47175
GT,2005,6698019,5980900
GU,2005,10089,148312
GY,2005,545510,215324
HK,2005,0,6813200
HN,2005,3551791,3347034
HR,2005,1936445,2505555
HT,2005,5178313,4082566
HU,2005,3393894,6693171
ID,2005,121361110,103119791
IN,2005,797623132,329520416
IE,2005,1644123,2515791
IR,2005,22758836,47393548
IQ,2005,8550946,18826099
IS,2005,20662,276072
IL,2005,587811,6342289
IT,2005,18702115,39267369
JM,2005,1247489,1396112
JO,2005,1018513,4392487
JP,2005,17916330,109856670
KZ,2005,6858726,8288303
KE,2005,28029164,7756554
KG,2005,3340718,1821882
KH,2005,10795463,2560961
KI,2005,51068,39400
KN,2005,33391,15748
KR,2005,8980158,39157919
XK,2005,,
KW,2005,41632,2254682
LA,2005,4204820,1585826
LB,2005,534878,3451987
LR,2005,1764017,1505769
LY,2005,1292318,4302132
LC,2005,127223,38184
LI,2005,29620,5120
LK,2005,16033040,3610960
LS,2005,1497363,428481
LT,2005,1108561,2213967
LU,2005,62340,402818
LV,2005,716416,1522383
MO,2005,0,468149
MF,2005,,
MA,2005,13518492,16606953
MC,2005,0,33808
MD,2005,1966280,1628907
MG,2005,13020200,5270194
MV,2005,197144,100432
MX,2005,26234584,84497242
MH,2005,15669,36389
MK,2005,887704,1202340
ML,2005,8112891,3828367
MT,2005,25664,378170
MM,2005,35663651,14517369
ME,2005,232780,383040
MN,2005,947590,1578912
MP,2005,6567,57805
MZ,2005,14707473,6302903
MR,2005,1474701,1671463
MU,2005,725799,517454
MW,2005,10979055,1945691
MY,2005,8633268,17210198
NA,2005,1284486,742540
NC,2005,84464,149929
NE,2005,10979467,2204331
NG,2005,85044100,54541791
NI,2005,2403951,3051268
NL,2005,2834761,13485107
NO,2005,1040703,3582588
NP,2005,21451965,3840093
NZ,2005,576596,3557304
OM,2005,696162,1826163
PK,2005,103107943,54863472
PA,2005,1222876,2143053
PE,2005,6921394,20801887
PH,2005,45825954,39995260
PW,2005,4439,15468
PG,2005,5296840,799119
PL,2005,14712016,23453429
PR,2005,225002,3596360
KP,2005,9571769,14241564
PT,2005,4461605,6041725
PY,2005,2518129,3386041
PF,2005,111063,143821
QA,2005,20948,800211
RO,2005,9983156,11336529
RU,2005,37978132,105135753
RW,2005,7611269,1818188
SA,2005,4696298,19993769
SD,2005,21238340,10347531
SN,2005,6636375,4634451
SG,2005,0,4265800
SB,2005,385619,83687
SL,2005,3233726,1886169
SV,2005,2328940,3743598
SM,2005,1781,27994
SO,2005,5490301,2976637
RS,2005,3383615,4057154
SS,2005,6660281,1379070
ST,2005,64923,89692
SR,2005,166431,333092
SK,2005,2387514,2985293
SI,2005,990215,1010259
SE,2005,1415927,7613645
SZ,2005,861201,243441
SX,2005,0,36936
SC,2005,40575,42325
SY,2005,8396412,9770955
TC,2005,3241,23209
TD,2005,7831171,2183242
TG,2005,3590890,1949324
TH,2005,40961567,24597920
TJ,2005,5006716,1798939
TM,2005,2514076,2233763
TL,2005,724252,258637
TO,2005,77583,23377
TT,2005,1168511,128422
TN,2005,3500322,6528678
TR,2005,21824779,45918273
TV,2005,4876,4818
TZ,2005,29178466,9645918
UG,2005,24981731,3743138
UA,2005,15172569,31932581
UY,2005,222154,3103001
US,2005,59316092,236200507
UZ,2005,16569991,9597009
VC,2005,57645,51104
VE,2005,3056641,23669256
VI,2005,6834,101029
VN,2005,59915729,22477771
VU,2005,161011,48364
PS,2005,894481,2425915
WS,2005,141751,38177
YE,2005,14312049,5827612
ZA,2005,19276870,28362686
CD,2005,33779388,20248615
ZM,2005,7270618,4199404
ZW,2005,8375007,4335582
AW,2006,55950,44880
AD,2006,8320,73557
AF,2006,19675341,5955941
AO,2006,10797049,6325360
AL,2006,1548865,1419163
AE,2006,846021,4029618
AR,2006,3795182,35193741
AM,2006,1076544,1926367
AS,2006,7038,51614
AG,2006,59590,23877
AU,2006,2452701,18245199
AT,2006,2825477,5443164
AZ,2006,4022610,4461940
BI,2006,7269124,773455
BE,2006,269184,10278774
BJ,2006,5037663,3406008
BF,2006,10734503,3087754
BD,2006,105005181,39863521
BG,2006,2237951,5461069
BH,2006,110130,840821
BS,2006,59291,276331
BA,2006,2356832,1518325
BY,2006,2610751,6993249
BZ,2006,150538,128447
BM,2006,0,64523
BO,2006,3364209,6153186
BR,2006,31713801,156420514
BB,2006,184853,90070
BN,2006,97680,277017
BT,2006,454503,211065
BW,2006,847373,1048571
CF,2006,2492524,1539578
CA,2006,6444726,26125779
CH,2006,1982344,5501590
CL,2006,2031873,14472657
CN,2006,735901746,575118254
CI,2006,9272769,8389648
CM,2006,9465473,9146464
CG,2006,1406113,2240540
CO,2006,11453119,32388251
KM,2006,444793,171733
CV,2006,199865,282075
CR,2006,1452510,2939983
CU,2006,2686611,8614489
CW,2006,13445,126772
KY,2006,0,50026
CY,2006,334150,714164
CZ,2006,2709931,7528974
DE,2006,21834702,60541749
DJ,2006,182655,604889
DM,2006,23396,47294
DK,2006,755890,4681382
DO,2006,2966537,6512732
DZ,2006,12217969,22289245
EC,2006,5341973,8681530
EG,2006,41551447,31439307
ER,2006,4068510,966526
ES,2006,9988509,34408810
EE,2006,422804,924006
ET,2006,65843219,12447430
FI,2006,893317,4372951
FJ,2006,411844,416216
FR,2006,14392294,49225681
FO,2006,29576,19838
FM,2006,82093,23593
GA,2006,226743,1186164
GB,2006,12048279,48798541
GE,2006,2087950,2310050
GH,2006,11415479,10532300
GN,2006,6546099,3252864
GM,2006,693994,788330
GW,2006,846479,606180
GQ,2006,379728,241789
GR,2006,2801238,8326709
GD,2006,66222,37038
GL,2006,9554,47220
GT,2006,6810486,6184888
GU,2006,9938,148491
GY,2006,549090,216277
HK,2006,0,6857100
HN,2006,3577969,3459459
HR,2006,1926605,2513395
HT,2006,5092775,4295867
HU,2006,3337350,6734020
ID,2006,121296467,106413354
IN,2006,805230122,338059228
IE,2006,1677513,2596624
IR,2006,22542873,48433711
IQ,2006,8750665,19313430
IS,2006,20782,283000
IL,2006,593922,6459778
IT,2006,18689801,39454178
JM,2006,1246983,1406059
JO,2006,1027371,4508629
JP,2006,16535459,111220541
KZ,2006,6962729,8345355
KE,2006,28654308,8103190
KG,2006,3376879,1841521
KH,2006,10939877,2615177
KI,2006,51888,40065
KN,2006,33899,15924
KR,2006,8935266,39436680
XK,2006,,
KW,2006,43466,2373979
LA,2006,4213408,1682522
LB,2006,542494,3537329
LR,2006,1814383,1570408
LY,2006,1305956,4380519
LC,2006,130659,36999
LI,2006,29884,5144
LK,2006,16210085,3647915
LS,2006,1497611,442802
LT,2006,1088684,2181225
LU,2006,61400,411237
LV,2006,710606,1507751
MO,2006,0,479808
MF,2006,,
MA,2006,13483265,16911832
MC,2006,0,34369
MD,2006,1964372,1620837
MG,2006,13286538,5539588
MV,2006,196733,106092
MX,2006,26216247,85900447
MH,2006,15523,36561
MK,2006,892608,1201193
ML,2006,8278822,4046723
MT,2006,24825,380483
MM,2006,35660119,14839951
ME,2006,232060,384794
MN,2006,933320,1626176
MP,2006,6388,55847
MZ,2006,15071833,6515484
MR,2006,1493687,1744026
MU,2006,733931,518767
MW,2006,11292242,2015293
MY,2006,8560782,17766316
NA,2006,1280824,772107
NC,2006,84324,154135
NE,2006,11372896,2306809
NG,2006,86070635,57244274
NI,2006,2420968,3103959
NL,2006,2674876,13671225
NO,2006,1030522,3630155
NP,2006,21660766,3973277
NZ,2006,582580,3602020
OM,2006,690667,1864238
PK,2006,104460041,56445753
PA,2006,1235635,2192874
PE,2006,6889663,21141025
PH,2006,46887019,40479554
PW,2006,4198,15814
PG,2006,5428160,817637
PL,2006,14745032,23396235
PR,2006,226182,3579032
KP,2006,9615772,14354145
PT,2006,4404945,6117343
PY,2006,2551590,3463191
PF,2006,111791,145940
QA,2006,21732,945870
RO,2006,9896426,11297334
RU,2006,37747725,104739535
RW,2006,7712526,1948420
SA,2006,4768909,20603027
SD,2006,21766932,10630603
SN,2006,6797903,4785022
SG,2006,0,4401400
SB,2006,392966,87779
SL,2006,3321903,1959006
SV,2006,2305342,3791350
SM,2006,1798,28332
SO,2006,5598248,3089423
RS,2006,3350548,4061021
SS,2006,6928780,1448113
ST,2006,65353,93453
SR,2006,168656,336530
SK,2006,2395737,2977317
SI,2006,995226,1011642
SE,2006,1413835,7666670
SZ,2006,873244,245009
SX,2006,0,38272
SC,2006,41215,43385
SY,2006,8621301,10183613
TC,2006,3239,24403
TD,2006,8095513,2261309
TG,2006,3658898,2026947
TH,2006,40318349,25565612
TJ,2006,5115051,1839471
TM,2006,2530633,2270962
TL,2006,729968,269085
TO,2006,78058,23559
TT,2006,1176584,126894
TN,2006,3517825,6610075
TR,2006,21698275,46928062
TV,2006,4796,4936
TZ,2006,29765836,10176511
UG,2006,25755919,3955478
UA,2006,14986584,31801166
UY,2006,214699,3115518
US,2006,59380586,238999326
UZ,2006,16813152,9675098
VC,2006,57337,51571
VE,2006,3098401,24092481
VI,2006,6612,101088
VN,2006,60078671,23234329
VU,2006,164442,50212
PS,2006,910309,2496025
WS,2006,143082,37991
YE,2006,14569194,6092520
ZA,2006,19270733,28999020
CD,2006,34488000,21102838
ZM,2006,7418763,4362849
ZW,2006,8407459,4316849
AW,2007,56534,44685
AD,2007,8647,72645
AF,2007,20134247,6214996
AO,2007,11031193,6681631
AL,2007,1502731,1438149
AE,2007,984447,4812900
AR,2007,3758111,35573246
AM,2007,1072859,1917023
AS,2007,7008,50911
AG,2007,60763,23634
AU,2007,2437246,18390354
AT,2007,2835964,5464824
AZ,2007,4051232,4530068
BI,2007,7506807,821505
BE,2007,265961,10359739
BJ,2007,5163280,3544210
BF,2007,10937805,3297270
BD,2007,105101985,41355082
BG,2007,2167172,5378166
BH,2007,119330,913023
BS,2007,60242,281807
BA,2007,2353696,1514969
BY,2007,2555101,7004899
BZ,2007,155201,130995
BM,2007,0,64888
BO,2007,3376696,6299760
BR,2007,31448299,158548677
BB,2007,186249,90028
BN,2007,97858,283582
BT,2007,458782,220583
BW,2007,851511,1063676
CF,2007,2533216,1573681
CA,2007,6447349,26440579
CH,2007,1997270,5553847
CL,2007,2012602,14656290
CN,2007,722214159,595670841
CI,2007,9285767,8663294
CM,2007,9598301,9499375
CG,2007,1432388,2326470
CO,2007,11494379,33004011
KM,2007,456513,176223
CV,2007,196566,287147
CR,2007,1420556,3042670
CU,2007,2676236,8625438
CW,2007,13892,129134
KY,2007,0,51472
CY,2007,340382,722713
CZ,2007,2733000,7565828
DE,2007,21640169,60626203
DJ,2007,184873,613817
DM,2007,23219,47576
DK,2007,748599,4712839
DO,2007,2882966,6732049
DZ,2007,12161827,22935216
EC,2007,5407152,8861245
EG,2007,42252960,31976617
ER,2007,4192988,1016858
ES,2007,10067486,35159317
EE,2007,422596,918084
ET,2007,67476883,12963825
FI,2007,890197,4398523
FJ,2007,412207,423185
FR,2007,14325373,49687199
FO,2007,29563,19991
FM,2007,81643,23454
GA,2007,225170,1222218
GB,2007,11970758,49351705
GE,2007,2081199,2307201
GH,2007,11562646,10963013
GN,2007,6671588,3375379
GM,2007,703573,825833
GW,2007,852069,632268
GQ,2007,390404,249214
GR,2007,2768536,8394466
GD,2007,66479,37107
GL,2007,9342,47213
GT,2007,6922794,6395137
GU,2007,9782,148549
GY,2007,552913,217494
HK,2007,0,6916300
HN,2007,3603575,3574861
HR,2007,1915376,2520624
HT,2007,5005165,4508549
HU,2007,3281402,6774378
ID,2007,121196052,109776756
IN,2007,812456225,346639025
IE,2007,1714488,2684454
IR,2007,22358518,49450701
IQ,2007,8946096,19794534
IS,2007,20943,290623
IL,2007,600185,6579915
IT,2007,18715453,39722857
JM,2007,1246467,1416014
JO,2007,1035737,4625263
JP,2007,15315880,112454870
KZ,2007,7074108,8410084
KE,2007,29288237,8464067
KG,2007,3409340,1859060
KH,2007,11078527,2668761
KI,2007,52675,40726
KN,2007,34379,16099
KR,2007,8926903,39670749
XK,2007,,
KW,2007,45554,2509366
LA,2007,4228056,1785222
LB,2007,545545,3594268
LR,2007,1875903,1646391
LY,2007,1319766,4462342
LC,2007,134275,35874
LI,2007,30143,5165
LK,2007,16360441,3678559
LS,2007,1500223,455561
LT,2007,1073533,2157761
LU,2007,60436,419557
LV,2007,706304,1494021
MO,2007,0,493206
MF,2007,,
MA,2007,13446597,17220489
MC,2007,0,35013
MD,2007,1963366,1613544
MG,2007,13551387,5819636
MV,2007,196339,111900
MX,2007,26199276,87330543
MH,2007,15389,36761
MK,2007,896599,1200021
ML,2007,8448291,4277338
MT,2007,24029,382695
MM,2007,35648890,15180069
ME,2007,231304,386496
MN,2007,919588,1675480
MP,2007,6177,53615
MZ,2007,15439279,6732125
MR,2007,1512103,1817934
MU,2007,741079,519324
MW,2007,11624467,2089291
MY,2007,8483892,18329927
NA,2007,1277591,803109
NC,2007,84098,158302
NE,2007,11781194,2416095
NG,2007,87106947,60080406
NI,2007,2437582,3157951
NL,2007,2532774,13848922
NO,2007,1024994,3684159
NP,2007,21844210,4105812
NZ,2007,587565,3640735
OM,2007,680287,1889452
PK,2007,105828851,58099478
PA,2007,1248010,2243024
PE,2007,6854625,21473785
PH,2007,47936804,40938744
PW,2007,3975,16143
PG,2007,5561262,836361
PL,2007,14779722,23340838
PR,2007,227018,3555977
KP,2007,9653958,14458031
PT,2007,4349078,6193886
PY,2007,2584503,3540782
PF,2007,112416,147945
QA,2007,22784,1129675
RO,2007,9723952,11159030
RU,2007,37585128,104529775
RW,2007,7834794,2093349
SA,2007,4813309,21102315
SD,2007,22300740,10917510
SN,2007,6962267,4942707
SG,2007,0,4588600
SB,2007,400146,92002
SL,2007,3392375,2023640
SV,2007,2282453,3840499
SM,2007,1809,28568
SO,2007,5705261,3205590
RS,2007,3317282,4064297
SS,2007,7214797,1521939
ST,2007,65920,97470
SR,2007,170755,339678
SK,2007,2404552,2970070
SI,2007,1002664,1015458
SE,2007,1409904,7738188
SZ,2007,887745,247232
SX,2007,0,39464
SC,2007,41222,43811
SY,2007,8894799,10666678
TC,2007,3208,25430
TD,2007,8355722,2338644
TG,2007,3727507,2107299
TH,2007,39577436,26499491
TJ,2007,5229021,1882004
TM,2007,2547902,2310334
TL,2007,735575,279907
TO,2007,78530,23759
TT,2007,1184656,125384
TN,2007,3534510,6690590
TR,2007,21561293,47935220
TV,2007,4712,5052
TZ,2007,30378818,10740875
UG,2007,26549637,4179110
UA,2007,14814623,31694727
UY,2007,207681,3130703
US,2007,59435929,241795278
UZ,2007,17087511,9780489
VC,2007,57016,52029
VE,2007,3140055,24515882
VI,2007,6388,101035
VN,2007,60214718,24006382
VU,2007,167889,52112
PS,2007,926356,2568140
WS,2007,144425,37815
YE,2007,14818617,6363545
ZA,2007,19262812,29647436
CD,2007,35200322,21987620
ZM,2007,7574325,4535295
ZW,2007,8441248,4298912
AW,2008,56973,44371
AD,2008,8903,71066
AF,2008,20559067,6473130
AO,2008,11261733,7052708
AL,2008,1456542,1456017
AE,2008,1130137,5668498
AR,2008,3720823,35955260
AM,2008,1071985,1905503
AS,2008,6961,50092
AG,2008,61958,23391
AU,2008,2455345,18793855
AT,2008,2847811,5489115
AZ,2008,4119674,4643726
BI,2008,7751675,872605
BE,2008,262823,10447150
BJ,2008,5287244,3686049
BF,2008,11142357,3517289
BD,2008,105106027,42863940
BG,2008,2126239,5366322
BH,2008,128702,987336
BS,2008,61162,287178
BA,2008,2349116,1512085
BY,2008,2503387,7024613
BZ,2008,159979,133565
BM,2008,0,65273
BO,2008,3387847,6446251
BR,2008,31163822,160601745
BB,2008,187653,89981
BN,2008,97990,290027
BT,2008,462113,230046
BW,2008,855245,1078474
CF,2008,2575096,1610010
CA,2008,6456994,26788779
CH,2008,2019904,5627771
CL,2008,1993654,14837530
CN,2008,708173810,616481190
CI,2008,9306414,8953630
CM,2008,9731478,9863548
CG,2008,1459842,2416633
CO,2008,11532086,33620951
KM,2008,468399,180892
CV,2008,192920,291731
CR,2008,1387599,3145112
CU,2008,2664471,8631884
CW,2008,14264,130707
KY,2008,0,52912
CY,2008,346403,730686
CZ,2008,2762927,7621676
DE,2008,21434841,60675256
DJ,2008,187141,622959
DM,2008,23036,47847
DK,2008,742353,4751268
DO,2008,2798598,6951597
DZ,2008,12111975,23613402
EC,2008,5471176,9041226
EG,2008,42986610,32505312
ER,2008,4313588,1068575
ES,2008,10120932,35833174
EE,2008,423176,913914
ET,2008,68980432,13640758
FI,2008,887391,4426008
FJ,2008,413057,430794
FR,2008,14249186,50121913
FO,2008,29495,20106
FM,2008,81183,23315
GA,2008,223969,1258874
GB,2008,11893520,49913475
GE,2008,2076825,2306975
GH,2008,11705054,11405085
GN,2008,6807172,3507506
GM,2008,713422,864562
GW,2008,857545,659375
GQ,2008,401152,256873
GR,2008,2733071,8453368
GD,2008,66750,37182
GL,2008,9132,47196
GT,2008,7035839,6612468
GU,2008,9632,148678
GY,2008,556841,218898
HK,2008,0,6957800
HN,2008,3629112,3693256
HR,2008,1904710,2529798
HT,2008,4917438,4720817
HU,2008,3225270,6812918
ID,2008,121040638,113202851
IN,2008,819373964,355288370
IE,2008,1737543,2752001
IR,2008,22192088,50468799
IQ,2008,9144731,20285098
IS,2008,20965,296449
IL,2008,606484,6702316
IT,2008,18770433,40056298
JM,2008,1245896,1426038
JO,2008,1043563,4742437
JP,2008,14163655,113540385
KZ,2008,7192642,8481358
KE,2008,29932970,8840307
KG,2008,3441997,1876703
KH,2008,11217517,2723001
KI,2008,53441,41391
KN,2008,34834,16276
KR,2008,8941459,40007239
XK,2008,,
KW,2008,47775,2654446
LA,2008,4245882,1893245
LB,2008,546619,3639469
LR,2008,1943306,1729408
LY,2008,1332624,4544181
LC,2008,137961,34773
LI,2008,30396,5186
LK,2008,16508191,3708809
LS,2008,1503328,468871
LT,2008,1060278,2137953
LU,2008,59615,429035
LV,2008,700357,1476965
MO,2008,0,507528
MF,2008,,
MA,2008,13414415,17540736
MC,2008,0,35686
MD,2008,1963167,1606941
MG,2008,13815240,6111545
MV,2008,195986,117857
MX,2008,26181672,88786367
MH,2008,15267,36978
MK,2008,899763,1199006
ML,2008,8618330,4519969
MT,2008,23355,386024
MM,2008,35636051,15537967
ME,2008,230515,388134
MN,2008,906195,1726639
MP,2008,5961,51384
MZ,2008,15809029,6953496
MR,2008,1529934,1892967
MU,2008,748517,520048
MW,2008,11971385,2166822
MY,2008,8402298,18900050
NA,2008,1274981,835810
NC,2008,83031,160954
NE,2008,12205188,2532707
NG,2008,88151286,63056794
NI,2008,2454180,3213803
NL,2008,2400728,14044865
NO,2008,1023926,3744286
NP,2008,22010132,4239280
NZ,2008,592096,3676804
OM,2008,672241,1921282
PK,2008,107192468,59815615
PA,2008,1260064,2293416
PE,2008,6818052,21807576
PH,2008,48987564,41383723
PW,2008,3769,16459
PG,2008,5695660,855217
PL,2008,14824820,23300939
PR,2008,227833,3533033
KP,2008,9687860,14556034
PT,2008,4290949,6267228
PY,2008,2617002,3619003
PF,2008,113726,149151
QA,2008,23635,1335479
RO,2008,9536351,11001524
RU,2008,37479331,104477078
RW,2008,7970536,2252425
SA,2008,4838490,21527868
SD,2008,22834416,11205649
SN,2008,7130320,5108471
SG,2008,0,4839400
SB,2008,407173,96368
SL,2008,3449565,2082574
SV,2008,2260655,3891121
SM,2008,1816,28733
SO,2008,5813753,3326506
RS,2008,3299514,4050707
SS,2008,7517653,1600733
ST,2008,66571,101682
SR,2008,172758,342614
SK,2008,2414684,2964549
SI,2008,1006130,1015186
SE,2008,1406363,7813274
SZ,2008,903873,250056
SX,2008,0,40459
SC,2008,41935,45021
SY,2008,9174444,11171612
TC,2008,3156,26325
TD,2008,8614810,2415818
TG,2008,3796848,2190643
TH,2008,38772034,27413306
TJ,2008,5348547,1926705
TM,2008,2565679,2351864
TL,2008,741076,291106
TO,2008,78980,23967
TT,2008,1192597,123852
TN,2008,3553038,6775862
TR,2008,21417245,48946266
TV,2008,4623,5165
TZ,2008,31013139,11340651
UG,2008,27364088,4414711
UA,2008,14652285,31605915
UY,2008,201001,3147897
US,2008,59486862,244607104
UZ,2008,17390518,9912282
VC,2008,56685,52473
VE,2008,3181251,24939061
VI,2008,6170,100921
VN,2008,60327876,24794424
VU,2008,171336,54062
PS,2008,945785,2650903
WS,2008,145794,37650
YE,2008,15061844,6641727
ZA,2008,19252566,30308690
CD,2008,35914316,22904722
ZM,2008,7738617,4717910
ZW,2008,8493717,4290324
AW,2009,57381,44037
AD,2009,9162,69497
AF,2009,20971495,6736692
AO,2009,11488666,7437984
AL,2009,1411116,1473187
AE,2009,1256311,6462008
AR,2009,3684176,36339465
AM,2009,1074798,1893356
AS,2009,6920,49325
AG,2009,63155,23145
AU,2009,2475023,19216677
AT,2009,2856992,5508283
AZ,2009,4188204,4759039
BI,2009,8000454,926233
BE,2009,259764,10536729
BJ,2009,5409462,3831321
BF,2009,11347189,3747778
BD,2009,105087224,44415876
BG,2009,2087198,5357245
BH,2009,137027,1054512
BS,2009,62054,292438
BA,2009,2343550,1509896
BY,2009,2455468,7051532
BZ,2009,164860,136156
BM,2009,0,65636
BO,2009,3398657,6594749
BR,2009,30873412,162617510
BB,2009,189068,89938
BN,2009,98072,296328
BT,2009,464927,239615
BW,2009,858677,1093038
CF,2009,2617769,1648478
CA,2009,6470810,27157761
CH,2009,2042435,5701396
CL,2009,1975288,15016441
CN,2009,693852712,637407288
CI,2009,9337874,9263468
CM,2009,9865408,10238537
CG,2009,1486754,2508392
CO,2009,11565605,34236956
KM,2009,480376,185721
CV,2009,189351,296363
CR,2009,1354061,3247363
CU,2009,2652310,8636516
CW,2009,14539,131351
KY,2009,0,54275
CY,2009,352303,738250
CZ,2009,2786024,7657912
DE,2009,21218431,60683876
DJ,2009,189489,632376
DM,2009,22861,48135
DK,2009,737112,4785983
DO,2009,2714120,7170145
DZ,2009,12071252,24312050
EC,2009,5534397,9222027
EG,2009,43731821,33043202
ER,2009,4434862,1123027
ES,2009,10102486,36260460
EE,2009,424069,910446
ET,2009,70491921,14346111
FI,2009,884704,4454167
FJ,2009,413964,438515
FR,2009,14166058,50536863
FO,2009,29397,20203
FM,2009,80790,23193
GA,2009,223118,1296037
GB,2009,11813186,50463084
GE,2009,2085341,2325559
GH,2009,11838422,11853111
GN,2009,6946416,3646832
GM,2009,723712,904620
GW,2009,863203,687702
GQ,2009,412047,264804
GR,2009,2692508,8494577
GD,2009,67033,37263
GL,2009,8963,47360
GT,2009,7150611,6838377
GU,2009,9505,149116
GY,2009,560633,220422
HK,2009,0,6972800
HN,2009,3654995,3814849
HR,2009,1891792,2537286
HT,2009,4831505,4933648
HU,2009,3170565,6852085
ID,2009,120823832,116663062
IN,2009,826110538,364027531
IE,2009,1742990,2792385
IR,2009,22029792,51513162
IQ,2009,9356624,20806575
IS,2009,20667,297832
IL,2009,616589,6869011
IT,2009,18787007,40308358
JM,2009,1245316,1436070
JO,2009,1051687,4863313
JP,2009,13083620,114474338
KZ,2009,7417448,8675253
KE,2009,30592166,9232568
KG,2009,3483856,1899444
KH,2009,11362622,2781603
KI,2009,54197,42075
KN,2009,35272,16459
KR,2009,8933917,40248121
XK,2009,,
KW,2009,49934,2800168
LA,2009,4263158,2004810
LB,2009,549467,3697457
LR,2009,2008511,1812929
LY,2009,1343226,4621099
LC,2009,141539,33661
LI,2009,30646,5205
LK,2009,16700902,3749098
LS,2009,1507150,482723
LT,2009,1048760,2114156
LU,2009,58848,438935
LV,2009,690388,1451281
MO,2009,0,521617
MF,2009,,
MA,2009,13394189,17882375
MC,2009,0,36314
MD,2009,1963364,1602240
MG,2009,14080952,6414743
MV,2009,195693,123967
MX,2009,26163685,90259067
MH,2009,15146,37195
MK,2009,902253,1198305
ML,2009,8786424,4772872
MT,2009,22744,389733
MM,2009,35624271,15916219
ME,2009,229689,389719
MN,2009,893057,1779166
MP,2009,5783,49495
MZ,2009,16178678,7182347
MR,2009,1547074,1969003
MU,2009,754985,520047
MW,2009,12325109,2248229
MY,2009,8316254,19474070
NA,2009,1273216,870282
NC,2009,81965,163615
NE,2009,12645438,2657510
NG,2009,89207351,66173669
NI,2009,2471125,3272204
NL,2009,2274251,14256137
NO,2009,1022966,3805760
NP,2009,22169540,4375403
NZ,2009,597825,3717975
OM,2009,675820,1987404
PK,2009,108518270,61575729
PA,2009,1271765,2344081
PE,2009,6784515,22149788
PH,2009,50056035,41830365
PW,2009,3580,16764
PG,2009,5830720,874109
PL,2009,14877599,23274004
PR,2009,228763,3511647
KP,2009,9719987,14651878
PT,2009,4231103,6337144
PY,2009,2649398,3697985
PF,2009,115168,150244
QA,2009,23930,1540152
RO,2009,9430554,10936933
RU,2009,37404439,104504805
RW,2009,8109108,2420560
SA,2009,4858987,21937388
SD,2009,23355115,11498063
SN,2009,7303255,5283572
SG,2009,0,4987600
SB,2009,414088,100876
SL,2009,3501087,2140095
SV,2009,2240091,3943393
SM,2009,1820,28878
SO,2009,5926542,3454312
RS,2009,3282723,4038084
SS,2009,7835525,1685046
ST,2009,67243,105997
SR,2009,174716,345457
SK,2009,2426037,2960369
SI,2009,1017122,1022547
SE,2009,1403890,7894625
SZ,2009,920469,253209
SX,2009,0,39133
SC,2009,41867,45431
SY,2009,9403204,11628342
TC,2009,3094,27153
TD,2009,8877139,2494186
TG,2009,3867444,2277013
TH,2009,37947751,28329584
TJ,2009,5473836,1973560
TM,2009,2583633,2395329
TL,2009,746474,302682
TO,2009,79392,24165
TT,2009,1200198,122320
TN,2009,3573788,6865812
TR,2009,21271874,49969206
TV,2009,4533,5275
