id,year,population-rural,population-urban
EE,2001,426956,961159
ET,2001,57812945,10143921
FI,2001,914750,4273258
FJ,2001,421200,393500
FR,2001,14647452,46708273
FO,2001,29613,17522
FM,2001,83239,23931
GA,2001,240390,1014909
GB,2001,12562339,46557334
GE,2001,2088014,2298386
GH,2001,10688346,8605046
GN,2001,6106215,2789138
GM,2001,648862,617829
GW,2001,813827,487921
GQ,2001,327170,207422
GR,2001,2966504,7985260
GD,2001,65076,36773
GL,2001,10228,46122
GT,2001,6252373,5226611
GU,2001,10585,145832
GY,2001,533782,213875
HK,2001,0,6714300
HN,2001,3439413,2925627
HR,2001,1965810,2474190
HT,2001,5471868,3248379
HU,2001,3599271,6588305
ID,2001,121285207,90685164
IN,2001,763709430,295791458
IE,2001,1569888,2296355
IR,2001,23561964,43295660
IQ,2001,7710547,16806295
IS,2001,21281,263687
IL,2001,562318,5876682
IT,2001,18640786,38333314
JM,2001,1249286,1356270
JO,2001,979122,3937878
JP,2001,25442515,101706485
KZ,2001,6607947,8250388
KE,2001,25624299,6502052
KG,2001,3199678,1745422
KH,2001,10139838,2332748
KI,2001,47630,36631
KN,2001,31151,15063
KR,2001,9499887,37857475
XK,2001,,
KW,2001,37077,1943527
LA,2001,4212413,1257756
LB,2001,466203,2891397
LR,2001,1659129,1339641
LY,2001,1238892,4019785
LC,2001,115064,43586
LI,2001,28466,5009
LK,2001,15332525,3464475
LS,2001,1495946,375554
LT,2001,1148181,2322637
LU,2001,66922,374603
LV,2001,749063,1588107
MO,2001,0,438080
MF,2001,,
MA,2001,13447823,15573333
MC,2001,0,32366
MD,2001,1971739,1659723
MG,2001,11788628,4447139
MV,2001,197647,80178
MX,2001,26287566,79052311
MH,2001,16347,35837
MK,2001,860340,1204758
ML,2001,7491643,3071125
MT,2001,28923,364105
MM,2001,35537285,13356918
ME,2001,247307,364218
MN,2001,1010889,1408780
MP,2001,6845,61972
MZ,2001,13285824,5499895
MR,2001,1394501,1396902
MU,2001,690412,509469
MW,2001,9914793,1708373
MY,2001,8871187,15054555
NA,2001,1295929,635353
NC,2001,82211,135113
NE,2001,9542234,1854200
NG,2001,81060271,44944721
NI,2001,2330751,2845934
NL,2001,3557438,12488742
NO,2001,1057978,3455773
NP,2001,20351209,3303910
NZ,2001,552428,3328072
OM,2001,637025,1602000
PK,2001,97739262,49117819
PA,2001,1168840,1947569
PE,2001,7002388,19369970
PH,2001,41485414,37812342
PW,2001,5506,13898
PG,2001,4791460,727511
PL,2001,14625682,23622394
PR,2001,216410,3602364
KP,2001,9334671,13708778
PT,2001,4658665,5704057
PY,2001,2404530,3056091
PF,2001,106164,135112
QA,2001,21377,590431
RO,2001,10434781,11697189
RU,2001,38908569,107067904
RW,2001,7373382,1386621
SA,2001,4162232,16729362
SD,2001,19179848,9254962
SN,2001,6021887,4097231
SG,2001,0,4138000
SB,2001,354913,68616
SL,2001,2754940,1540727
SV,2001,2426201,3559098
SM,2001,1717,25750
SO,2001,5051258,2558007
RS,2001,3492398,4011035
SS,2001,5772780,1151675
ST,2001,64686,77097
SR,2001,158479,314833
SK,2001,2357934,3020933
SI,2001,980492,1011568
SE,2001,1417037,7478923
SZ,2001,832349,242412
SX,2001,0,31189
SC,2001,40374,40828
SY,2001,7964031,8736953
TC,2001,2955,17231
TD,2001,6752764,1868153
TG,2001,3327018,1665207
TH,2001,42526213,20542857
TJ,2001,4625369,1663971
TM,2001,2451716,2100046
TL,2001,656835,214518
TO,2001,75808,22696
TT,2001,1137516,134831
TN,2001,3500102,6173498
TR,2001,22222291,41878006
TV,2001,5074,4397
TZ,2001,26983215,7912183
UG,2001,22035572,3052461
UA,2001,15976584,32707281
UY,2001,256061,3070701
US,2001,59176653,225792302
UZ,2001,15658202,9306248
VC,2001,58802,49187
VE,2001,2909095,21961346
VI,2001,7789,100597
VN,2001,59015281,19605719
VU,2001,147731,41554
PS,2001,833714,2164070
WS,2001,136823,38744
YE,2001,13200296,4829693
ZA,2001,19145920,25763818
CD,2001,31025839,17141206
ZM,2001,6739741,3622396
ZW,2001,8285866,4300897
AW,2002,51324,43671
AD,2002,5988,65651
AF,2002,17337061,4865745
AO,2002,9840770,5045804
AL,2002,1724026,1327401
AE,2002,610394,2613575
AR,2002,3943743,33683802
AM,2002,1088298,1958704
AS,2002,6816,51913
AG,2002,55141,24889
AU,2002,2448368,17203032
AT,2002,2763544,5318413
AZ,2002,3939942,4232008
BI,2002,6426712,611015
BE,2002,285288,10047497
BJ,2002,4525292,2889452
BF,2002,9928358,2368041
BD,2002,103089005,33917274
BG,2002,2397994,5470474
BH,2002,85195,647346
BS,2002,55262,253777
BA,2002,2367234,1530345
BY,2002,2866868,6998132
BZ,2002,133129,118637
BM,2002,0,62912
BO,2002,3290522,5552828
BR,2002,32506151,146887617
BB,2002,179309,90215
BN,2002,96523,249884
BT,2002,433461,164994
BW,2002,825363,983613
CF,2002,2343153,1424095
CA,2002,6307525,25054475
CH,2002,1940658,5344095
CL,2002,2112223,13707299
CN,2002,788406300,491993700
CI,2002,9195755,7479232
CM,2002,8938452,7843592
CG,2002,1326064,1957655
CO,2002,11259058,29957246
KM,2002,400385,155643
CV,2002,205943,253197
CR,2002,1565853,2527987
CU,2002,2715016,8497109
CW,2002,11729,117075
KY,2002,0,44742
CY,2002,306760,673117
CZ,2002,2670674,7526242
DE,2002,22128364,60360131
DJ,2002,174019,570415
DM,2002,23951,45855
DK,2002,792950,4582981
DO,2002,3273790,5661471
DZ,2002,12540270,20032707
EC,2002,5066341,7963700
EG,2002,39008477,29294437
ER,2002,3508794,772782
ES,2002,9722744,31708814
EE,2002,425998,953352
ET,2002,59373553,10574791
FI,2002,909949,4290649
FJ,2002,418795,397442
FR,2002,14597923,47205306
FO,2002,29595,18156
FM,2002,83094,23889
GA,2002,236948,1048370
GB,2002,12439896,46930583
GE,2002,2078594,2278406
GH,2002,10828057,8958250
GN,2002,6178065,2867683
GM,2002,657476,649191
GW,2002,820894,509955
GQ,2002,337489,213910
GR,2002,2932325,8051398
GD,2002,65284,36815
GL,2002,10136,46473
GT,2002,6360911,5404827
GU,2002,10482,146759
GY,2002,536565,214064
HK,2002,0,6744100
HN,2002,3469212,3026589
HR,2002,1959106,2480894
HT,2002,5410136,3449499
HU,2002,3547284,6611324
ID,2002,121354706,93683579
IN,2002,772600959,304104764
IE,2002,1586580,2345367
IR,2002,23387582,44339692
IQ,2002,7923806,17314461
IS,2002,21098,266425
IL,2002,569619,6000381
IT,2002,18611507,38447500
JM,2002,1248757,1366496
JO,2002,989262,4048738
JP,2002,23389981,104055019
KZ,2002,6638086,8220862
KE,2002,26205386,6795138
KG,2002,3229232,1761468
KH,2002,10317439,2391897
KI,2002,48483,37316
KN,2002,31715,15219
KR,2002,9382045,38240134
XK,2002,,
KW,2002,38056,2010176
LA,2002,4211946,1333299
LB,2002,484064,3031540
LR,2002,1688348,1382325
LY,2002,1252642,4087747
LC,2002,118033,42184
LI,2002,28780,5041
LK,2002,15436130,3484870
LS,2002,1497133,388354
LT,2002,1142134,2300933
LU,2002,65592,380583
LV,2002,742721,1567452
MO,2002,0,444150
MF,2002,,
MA,2002,13486195,15825248
MC,2002,0,32653
MD,2002,1970765,1652297
MG,2002,12106341,4629688
MV,2002,197801,84942
MX,2002,26291374,80432287
MH,2002,16177,35984
MK,2002,868568,1205873
ML,2002,7638976,3243686
MT,2002,28094,367875
MM,2002,35621348,13639965
ME,2002,241452,370873
MN,2002,994297,1448934
MP,2002,6856,61643
MZ,2002,13628833,5691061
MR,2002,1414775,1462656
MU,2002,698888,511308
MW,2002,10163285,1763493
MY,2002,8824122,15589673
NA,2002,1297062,661241
NC,2002,82924,138566
NE,2002,9883396,1933901
NG,2002,82047309,47177332
NI,2002,2350523,2898054
NL,2002,3373027,12775902
NO,2002,1043822,3494337
NP,2002,20665071,3437791
NZ,2002,556738,3391762
OM,2002,657227,1651182
PK,2002,99172066,50521618
PA,2002,1182733,1995717
PE,2002,6989871,19740038
PH,2002,42570287,38383365
PW,2002,5239,14336
PG,2002,4915149,745118
PL,2002,14608969,23621395
PR,2002,218792,3604909
KP,2002,9399190,13848869
PT,2002,4619439,5800192
PY,2002,2417975,3153396
PF,2002,107995,137037
QA,2002,20832,608913
RO,2002,10261140,11469356
RU,2002,38764328,106643705
RW,2002,7479686,1507837
SA,2002,4298695,17526522
SD,2002,19671360,9515067
SN,2002,6167949,4222101
SG,2002,0,4176000
SB,2002,362703,72177
SL,2002,2870653,1622394
SV,2002,2402482,3605826
SM,2002,1705,26359
SO,2002,5165892,2660032
RS,2002,3470714,4029317
SS,2002,5982237,1204583
ST,2002,64529,79918
SR,2002,160396,319703
SK,2002,2365142,3011770
SI,2002,981768,1012762
SE,2002,1416123,7508835
SZ,2002,839503,242680
SX,2002,0,32566
SC,2002,41470,42230
SY,2002,8041541,8953135
TC,2002,3042,18698
TD,2002,7015473,1944491
TG,2002,3391411,1732263
TH,2002,42247568,21550273
TJ,2002,4711574,1692544
TM,2002,2467440,2132731
TL,2002,674714,224653
TO,2002,76226,22857
TT,2002,1144597,133126
TN,2002,3501725,6280175
TR,2002,22138142,42884158
TV,2002,5066,4464
TZ,2002,27555248,8251249
UG,2002,22764591,3178850
UA,2002,15770412,32432088
UY,2002,247267,3080233
US,2002,59224903,228400290
UZ,2002,15889170,9382680
VC,2002,58498,49652
VE,2002,2929073,22404549
VI,2002,7536,100672
VN,2002,59247582,20291118
VU,2002,150825,43125
PS,2002,848526,2226847
WS,2002,137846,38746
YE,2002,13483844,5067224
ZA,2002,19286394,26522342
CD,2002,31663620,17853340
ZM,2002,6867317,3758106
ZW,2002,8269059,4371863
AW,2003,52770,44245
AD,2003,6651,68992
AF,2003,17975806,5140336
AO,2003,10078444,5342631
AL,2003,1681466,1352193
AE,2003,624255,2744999
AR,2003,3907155,34063256
AM,2003,1085381,1950651
AS,2003,6918,52199
AG,2003,56257,24647
AU,2003,2448129,17447271
AT,2003,2776552,5344871
AZ,2003,3953356,4280744
BI,2003,6617233,647107
BE,2003,280986,10095147
BJ,2003,4653298,3012383
BF,2003,10127775,2531311
BD,2003,103792382,35393604
BG,2003,2356534,5467023
BH,2003,89744,682314
BS,2003,56269,259355
BA,2003,2366919,1528860
BY,2003,2800472,6996528
BZ,2003,137308,121038
BM,2003,0,63325
BO,2003,3312407,5704380
BR,2003,32346573,149406378
BB,2003,180669,90175
BN,2003,96879,256770
BT,2003,439555,176828
BW,2003,831873,1000729
CF,2003,2378817,1450819
CA,2003,6345653,25330347
CH,2003,1952321,5386680
CL,2003,2091912,13903746
CN,2003,775926016,512473984
CI,2003,9213643,7696158
CM,2003,9070122,8153155
CG,2003,1342811,2020607
CO,2003,11312153,30559898
KM,2003,411056,159435
CV,2003,205467,261472
CR,2003,1540112,2631033
CU,2003,2704983,8540943
CW,2003,12108,119145
KY,2003,0,46032
CY,2003,313886,684256
CZ,2003,2676944,7517054
DE,2003,22091923,60442253
DJ,2003,176161,578924
DM,2003,23824,46234
DK,2003,789180,4601394
DO,2003,3211609,5859709
DZ,2003,12447578,20555864
EC,2003,5137160,8142646
EG,2003,39621643,29810834
ER,2003,3653389,819144
ES,2003,9796815,32390830
EE,2003,425074,945646
ET,2003,60968048,11021618
FI,2003,905083,4307931
FJ,2003,416090,401134
FR,2003,14544821,47697653
FO,2003,29606,18702
FM,2003,82964,23852
GA,2003,233821,1081999
GB,2003,12323786,47323791
GE,2003,2062634,2266266
GH,2003,10972858,9328828
GN,2003,6253592,2950989
GM,2003,666291,682257
GW,2003,827737,532822
GQ,2003,347942,220610
GR,2003,2899031,8119293
GD,2003,65505,36864
GL,2003,10026,46739
GT,2003,6472435,5590400
GU,2003,10361,147462
GY,2003,539353,214259
HK,2003,0,6730800
HN,2003,3497487,3130684
HR,2003,1951824,2488176
HT,2003,5339712,3656517
HU,2003,3495810,6633742
ID,2003,121391491,96754126
IN,2003,781270008,312516754
IE,2003,1601606,2394915
IR,2003,23186784,45356387
IQ,2003,8136236,17823295
IS,2003,20877,268644
IL,2003,575782,6113918
IT,2003,18626218,38686985
JM,2003,1248384,1376311
JO,2003,999854,4164146
JP,2003,21461733,106256267
KZ,2003,6690571,8218447
KE,2003,26802589,7102422
KG,2003,3263368,1779932
KH,2003,10484988,2449381
KI,2003,49354,38017
KN,2003,32288,15391
KR,2003,9259819,38599492
XK,2003,,
KW,2003,39004,2077349
LA,2003,4207222,1411847
LB,2003,503774,3186336
LR,2003,1707044,1417178
LY,2003,1265909,4156703
LC,2003,120975,40791
LI,2003,29071,5070
LK,2003,15644018,3528982
LS,2003,1497417,401340
LT,2003,1136002,2279211
LU,2003,64389,387241
LV,2003,736722,1551233
MO,2003,0,450711
MF,2003,,
MA,2003,13516200,16070737
MC,2003,0,32968
MD,2003,1968800,1644074
MG,2003,12427635,4817640
MV,2003,197715,89879
MX,2003,26277134,81779178
MH,2003,16001,36114
MK,2003,875608,1205258
ML,2003,7792444,3427293
MT,2003,27263,371319
MM,2003,35655392,13921760
ME,2003,235760,377688
MN,2003,978107,1490488
MP,2003,6806,60756
MZ,2003,13983563,5889897
MR,2003,1435086,1530581
MU,2003,708741,514070
MW,2003,10418227,1820512
MY,2003,8766488,16124166
NA,2003,1293569,687668
NC,2003,83637,142098
NE,2003,10235677,2018363
NG,2003,83034713,49515433
NI,2003,2368849,2949029
NL,2003,3189732,13035570
NO,2003,1039417,3525438
NP,2003,20953629,3571898
NZ,2003,563808,3463392
OM,2003,680684,1708437
PK,2003,100498110,51921864
PA,2003,1196408,2044397
PE,2003,6971654,20101680
PH,2003,43662356,38942325
PW,2003,4968,14732
PG,2003,5040400,762902
PL,2003,14641519,23563051
PR,2003,220995,3605100
KP,2003,9462213,13986967
PT,2003,4571864,5886957
PY,2003,2449491,3232859
PF,2003,109284,139252
QA,2003,20679,639559
RO,2003,10158919,11415407
RU,2003,38520607,106146861
RW,2003,7520144,1606023
SA,2003,4449349,18402984
SD,2003,20186276,9787703
SN,2003,6320654,4352881
SG,2003,0,4114800
SB,2003,370454,75881
SL,2003,2999579,1713184
SV,2003,2377922,3651444
SM,2003,1729,26971
SO,2003,5275066,2762640
RS,2003,3441670,4038921
SS,2003,6191542,1258363
ST,2003,64512,82943
SR,2003,162302,324565
SK,2003,2371646,3001728
SI,2003,984196,1011537
SE,2003,1415759,7542470
SZ,2003,845364,242565
SX,2003,0,33791
SC,2003,40869,41931
SY,2003,8121807,9176669
TC,2003,3135,20277
TD,2003,7287437,2023797
TG,2003,3456975,1801981
TH,2003,41913550,22574788
TJ,2003,4805792,1723817
TM,2003,2482656,2165381
TL,2003,696825,236544
TO,2003,76664,23027
TT,2003,1152349,131519
TN,2003,3484765,6355035
TR,2003,22043821,43894444
TV,2003,5020,4570
TZ,2003,28081231,8679600
UG,2003,23488187,3350241
UA,2003,15574112,32238838
UY,2003,238498,3086913
US,2003,59231337,230876596
UZ,2003,16113756,9453894
VC,2003,58216,50137
VE,2003,2971840,22825379
VI,2003,7295,100790
VN,2003,59472585,20995815
VU,2003,154146,44806
PS,2003,863610,2291359
WS,2003,139125,38552
YE,2003,13767353,5313953
ZA,2003,19284897,27124346
CD,2003,32354172,18618151
ZM,2003,6996351,3898168
ZW,2003,8303544,4369559
AW,2004,54071,44671
AD,2004,7312,71748
AF,2004,18599587,5419095
AO,2004,10320159,5656556
AL,2004,1638394,1376185
AE,2004,663278,2995380
AR,2004,3869570,34439209
AM,2004,1082669,1942983
AS,2004,6994,52268
AG,2004,57336,24382
AU,2004,2445680,17681720
AT,2004,2793341,5378625
AZ,2004,3971421,4335079
BI,2004,6824362,686409
BE,2004,276681,10144456
BJ,2004,4782596,3140200
BF,2004,10328737,2705521
BD,2004,104352918,36882117
BG,2004,2316218,5464943
BH,2004,95293,725212
BS,2004,57303,265097
BA,2004,2362234,1524489
BY,2004,2735395,6994605
BZ,2004,141584,123456
BM,2004,0,63740
BO,2004,3332162,5855448
BR,2004,32163157,151847126
BB,2004,182062,90143
BN,2004,97195,263602
BT,2004,444771,189122
BW,2004,837582,1017157
CF,2004,2415353,1478242
CA,2004,6384602,25610398
CH,2004,1962980,5426645
CL,2004,2071637,14096604
CN,2004,762817902,533257098
CI,2004,9227933,7916392
CM,2004,9201584,8473376
CG,2004,1361165,2087703
CO,2004,11361680,31165943
KM,2004,422048,163341
CV,2004,204367,269210
CR,2004,1512333,2734003
CU,2004,2700985,8572378
CW,2004,12463,120900
KY,2004,0,47299
CY,2004,320898,694922
CZ,2004,2684795,7512306
DE,2004,22040918,60475342
DJ,2004,178303,587473
DM,2004,23700,46625
DK,2004,780089,4624434
DO,2004,3130973,6076416
DZ,2004,12360286,21101059
EC,2004,5206806,8322285
EG,2004,40250447,30340841
ER,2004,3797968,867554
ES,2004,9862593,33059302
EE,2004,424271,938279
ET,2004,62582932,11483215
FI,2004,900709,4327463
FJ,2004,413764,405231
FR,2004,14494849,48207272
FO,2004,29637,19145
FM,2004,82777,23798
GA,2004,231072,1116053
GB,2004,12220136,47767769
GE,2004,2055036,2263264
GH,2004,11119914,9715600
GN,2004,6337998,3041623
GM,2004,675380,716554
GW,2004,834294,556497
GQ,2004,358493,227490
GR,2004,2866419,8189310
GD,2004,65737,36918
GL,2004,9914,46997
GT,2004,6585111,5782689
GU,2004,10229,147965
GY,2004,542286,214653
HK,2004,0,6783500
HN,2004,3524915,3237511
HR,2004,1943527,2495473
HT,2004,5260576,3869357
HU,2004,3446941,6660205
ID,2004,121390712,99903085
IN,2004,789621844,321004264
IE,2004,1619883,2450379
IR,2004,22973740,46368386
IQ,2004,8345616,18327920
IS,2004,20696,271378
IL,2004,581761,6227239
IT,2004,18678509,39006818
JM,2004,1247926,1386219
JO,2004,1009914,4280086
JP,2004,19624090,108136910
KZ,2004,6767704,8245281
KE,2004,27411351,7423255
KG,2004,3303149,1801551
KH,2004,10643770,2505616
KI,2004,50220,38716
KN,2004,32851,15570
KR,2004,9126528,38912887
XK,2004,,
KW,2004,40151,2156315
LA,2004,4203551,1495561
LB,2004,521544,3332038
LR,2004,1729070,1455573
LY,2004,1279056,4227944
LC,2004,124012,39448
LI,2004,29349,5096
LK,2004,15860126,3574874
LS,2004,1497324,414698
LT,2004,1126390,2250685
LU,2004,63322,394773
LV,2004,726462,1536660
MO,2004,0,458542
MF,2004,,
MA,2004,13541406,16314414
MC,2004,0,33346
MD,2004,1967502,1636443
MG,2004,12752144,5011223
MV,2004,197470,95035
MX,2004,26254853,83126697
MH,2004,15830,36244
MK,2004,882034,1203694
ML,2004,7950607,3622329
MT,2004,26456,374812
MM,2004,35663240,14211929
ME,2004,233452,381218
MN,2004,962478,1533770
MP,2004,6705,59438
MZ,2004,14344378,6094449
MR,2004,1455146,1600279
MU,2004,717461,515925
MW,2004,10688252,1880839
MY,2004,8701747,16663342
NA,2004,1288816,714504
NC,2004,84352,145716
NE,2004,10600491,2108406
NG,2004,84031217,51968033
NI,2004,2386400,2999899
NL,2004,3009850,13271929
NO,2004,1043512,3548398
NP,2004,21215773,3706137
NZ,2004,571187,3516313
OM,2004,694183,1769818
PK,2004,101791727,53359667
PA,2004,1209780,2093555
PE,2004,6948519,20455326
PH,2004,44750420,39480909
PW,2004,4699,15106
PG,2004,5167607,780854
PL,2004,14675719,23506503
PR,2004,223184,3603694
KP,2004,9520256,14119047
PT,2004,4517810,5966051
PY,2004,2484064,3309266
PF,2004,110223,141588
QA,2004,20855,699528
RO,2004,10073097,11378651
RU,2004,38230555,105590657
