id,year,currency,budget-type,sectoral,sectoral-type,l1,l2,l3,l4,l5,value
UG,2000,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,1575000000000
UG,2001,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,1914000000000
UG,2002,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,1969000000000
UG,2003,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,2264000000000
UG,2004,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,2918300000000
UG,2005,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,3146000000000
UG,2006,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,3241000000000
UG,2007,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,3624000000000
UG,2008,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,3800000000000
UG,2009,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,4546000000000
UG,2010,ugandan shillings,actual ,FALSE,,total-revenue-and-grants,,,,,5136000000000
UG,2011,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,7221000000000
UG,2012,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,7771000000000
UG,2013,ugandan shillings,actual,FALSE,,total-revenue-and-grants,,,,,8245000000000
UG,2014,ugandan shillings,budget,FALSE,,total-revenue-and-grants,,,,,9679900000000
UG,2014,ugandan shillings,prel,FALSE,,total-revenue-and-grants,,,,,8874000000000
UG,2015,ugandan shillings,budget,FALSE,,total-revenue-and-grants,,,,,10873600000000
UG,2015,ugandan shillings,proj,FALSE,,total-revenue-and-grants,,,,,10999000000000
UG,2016,ugandan shillings,proj,FALSE,,total-revenue-and-grants,,,,,11872000000000
UG,2017,ugandan shillings,proj,FALSE,,total-revenue-and-grants,,,,,13510000000000
UG,2018,ugandan shillings,proj,FALSE,,total-revenue-and-grants,,,,,15537000000000
UG,2019,ugandan shillings,proj,FALSE,,total-revenue-and-grants,,,,,17726000000000
UG,2000,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1059000000000
UG,2001,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1128000000000
UG,2002,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1254000000000
UG,2003,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1434000000000
UG,2004,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1669200000000
UG,2005,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,1948000000000
UG,2006,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,2267000000000
UG,2007,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,2667000000000
UG,2008,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,3145000000000
UG,2009,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,3758000000000
UG,2010,ugandan shillings,actual ,FALSE,,total-revenue-and-grants,total-revenue,,,,4273000000000
UG,2011,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,6330000000000
UG,2012,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,6634000000000
UG,2013,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,,,,7309000000000
UG,2014,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,,,,8770200000000
UG,2014,ugandan shillings,prel,FALSE,,total-revenue-and-grants,total-revenue,,,,8165000000000
UG,2015,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,,,,9777000000000
UG,2015,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,,,,9777000000000
UG,2016,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,,,,11048000000000
UG,2017,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,,,,12691000000000
UG,2018,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,,,,14656000000000
UG,2019,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,,,,16988000000000
UG,2000,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,928000000000
UG,2001,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,1029000000000
UG,2002,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,1156000000000
UG,2003,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,1338000000000
UG,2004,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,1550500000000
UG,2005,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,1828000000000
UG,2006,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,2142000000000
UG,2007,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,2524000000000
UG,2008,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,3024000000000
UG,2009,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,3560000000000
UG,2010,ugandan shillings,actual ,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,4067000000000
UG,2011,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,4958000000000
UG,2012,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,5983000000000
UG,2013,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,7005000000000
UG,2014,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,8588100000000
UG,2014,ugandan shillings,prel,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,7831000000000
UG,2015,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,9372000000000
UG,2015,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,9372000000000
UG,2016,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,10544000000000
UG,2017,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,12111000000000
UG,2018,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,13963000000000
UG,2019,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,,,16159000000000
UG,2000,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,105000000000
UG,2001,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,141000000000
UG,2002,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,117000000000
UG,2003,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,134000000000
UG,2004,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,135300000000
UG,2005,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,162000000000
UG,2006,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,227000000000
UG,2007,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,261000000000
UG,2008,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,308000000000
UG,2009,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,361000000000
UG,2010,ugandan shillings,actual ,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,352000000000
UG,2011,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,455000000000
UG,2012,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,503000000000
UG,2013,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,599000000000
UG,2014,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,981600000000
UG,2014,ugandan shillings,prel,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,747000000000
UG,2015,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,893000000000
UG,2015,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,893000000000
UG,2016,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,1020000000000
UG,2017,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,1179000000000
UG,2018,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,1387000000000
UG,2019,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,international-trade-taxes,,1722000000000
UG,2000,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,182000000000
UG,2001,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,224000000000
UG,2002,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,284000000000
UG,2003,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,350000000000
UG,2004,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,436900000000
UG,2005,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,560000000000
UG,2006,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,653000000000
UG,2007,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,782000000000
UG,2008,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,862000000000
UG,2009,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,1094000000000
UG,2010,ugandan shillings,actual ,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,1361000000000
UG,2011,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,1750000000000
UG,2012,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,2112000000000
UG,2013,ugandan shillings,actual,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,2588000000000
UG,2014,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,2858900000000
UG,2014,ugandan shillings,prel,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,2756000000000
UG,2015,ugandan shillings,budget,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,3318000000000
UG,2015,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,3318000000000
UG,2016,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,3654000000000
UG,2017,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,4210000000000
UG,2018,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,4855000000000
UG,2019,ugandan shillings,proj,FALSE,,total-revenue-and-grants,total-revenue,tax-revenue,income-taxes,,5713000000000
