"id","year","value","value-ncu"
"d314",2015,11.9778903357392,40515
"d301",2015,10.1342737953549,34279
"d322",2015,5.83388152524107,19733
"d323",2015,2.96320856065937,10023
"d315",2015,4.0547146971409,13715
"d324",2015,3.54591673915479,11994
"d216",2015,3.13261078606671,10596
"d316",2015,5.20327952385562,17600
"d302",2015,4.82249406779164,16312
"d303",2015,2.88190731809912,9748
"d217",2015,2.8547083569517,9656
"d218",2015,3.86964350498558,13089
"d201",2015,2.83223964991686,9580
"d420",2015,2.44613265797621,8274
"d117",2015,3.12758489107208,10579
"d219",2015,2.70600099328696,9153
"d118",2015,,
"d220",2015,8.79827264942859,29760
"d225",2015,3.53320418122719,11951
"d416",2015,5.82353409436977,19698
"d401",2015,6.30720257738271,21334
"d402",2015,4.24244665723455,14350
"d202",2015,2.47362726000568,8367
"d221",2015,3.90807681965042,13219
"d119",2015,5.27778102612901,17852
"d120",2015,5.33099638489571,18032
"d226",2015,1.49949055369294,5072
"d317",2015,4.05530597890497,13717
"d121",2015,2.19927252147511,7439
"d304",2015,4.38760633031484,14841
"d403",2015,2.1809427867888,7377
"d417",2015,3.54650802091886,11996
"d203",2015,4.72315873142712,15976
"d418",2015,1.90244907590971,6435
"d204",2015,4.56853855012164,15453
"d318",2015,7.46936688467115,25265
"d404",2015,4.12419030441965,13950
"d405",2015,3.68812000341471,12475
"d213",2015,4.03845444862885,13660
"d101",2015,29.2669691172777,98995
"d222",2015,3.86254812381668,13065
"d122",2015,4.88280480772724,16516
"d102",2015,,
"d205",2015,3.43800781721119,11629
"d413",2015,1.59468691770893,5394
"d414",2015,5.52730193056844,18696
"d206",2015,11.7650289006724,39795
"d406",2015,4.95878451441081,16773
"d207",2015,5.78184873000252,19557
"d112",2015,3.10659438844743,10508
"d407",2015,1.56926180185373,5308
"d103",2015,6.01067477269935,20331
"d227",2015,1.83001705981058,6190
"d419",2015,3.48353651304493,11783
"d421",2015,2.47599238706198,8375
"d408",2015,6.99988916399599,23677
"d305",2015,6.35539204115479,21497
"d319",2015,3.65116489316005,12350
"d325",2015,3.79809841153256,12847
"d306",2015,3.5816892858813,12115
"d208",2015,5.63077623928148,19046
"d228",2015,5.18051517593875,17523
"d123",2015,2.49668724880459,8445
"d422",2015,2.45352368002715,8299
"d415",2015,2.47333161912364,8366
"d326",2015,6.28296002505566,21252
"d307",2015,3.03534493587646,10267
"d229",2015,,
"d104",2015,3.44658140279027,11658
"d124",2015,2.48072264117457,8391
"d114",2015,6.98067250666357,23612
"d223",2015,2.78671095408313,9426
"d320",2015,5.96248530892728,20168
"d105",2015,3.19292152600231,10800
"d409",2015,4.4626991143523,15095
"d214",2015,2.03075721871388,6869
"d209",2015,3.33926376261075,11295
"d410",2015,2.76601609234052,9356
"d423",2015,2.08190309130632,7042
"d115",2015,,
"d308",2015,,
"d309",2015,9.78364370925875,33093
"d106",2015,3.52019598241755,11907
"d107",2015,,
"d108",2015,2.40799498419341,8145
"d311",2015,4.87038789068167,16474
"d116",2015,5.1967754244508,17578
"d109",2015,5.04304216579143,17058
"d230",2015,2.37192679658486,8023
"d224",2015,2.23977532231421,7576
"d327",2015,6.13898291550352,20765
"d310",2015,3.52433495476607,11921
"d231",2015,4.92389889033042,16655
"d424",2015,9.09568737675806,30766
"d411",2015,3.36468887846595,11381
"d328",2015,7.36559693507607,24914
"d329",2015,6.18480725221929,20920
"d321",2015,2.69742740770788,9124
"d312",2015,6.73085596134209,22767
"d210",2015,3.42529525928359,11586
"d110",2015,5.32892689872145,18025
"d425",2015,2.43874163592528,8249
"d412",2015,4.34000814830685,14680
"d232",2015,2.63386461806987,8909
"d426",2015,3.97341345458065,13440
"d215",2015,3.71324947838787,12560
"d211",2015,3.43120807692434,11606
"d111",2015,2.19897688059307,7438
"d212",2015,3.40430475665895,11515
"d113",2015,1.53289797336315,5185
"d313",2015,3.37917528168578,11430
"d330",2015,4.15375439262338,14050
"d314",2016,10.9557636661619,40515
"d301",2016,9.04962573989323,33466
"d322",2016,5.04157121539979,18644
"d323",2016,2.5829804896749,9552
"d315",2016,3.70870785342245,13715
"d324",2016,3.19140868290862,11802
"d216",2016,2.77848874910067,10275
"d316",2016,4.75195939542054,17573
"d302",2016,4.40502011901215,16290
"d303",2016,2.60001647908544,9615
"d217",2016,2.62678731958773,9714
"d218",2016,3.3030890579333,12215
"d201",2016,2.59055204052403,9580
"d420",2016,2.15275415392607,7961
"d117",2016,2.85853085807719,10571
"d219",2016,2.65815517310555,9830
"d118",2016,,
"d220",2016,8.02232853718438,29667
"d225",2016,3.37555961606069,12483
"d416",2016,5.13351147571066,18984
"d401",2016,5.52858418251709,20445
"d402",2016,3.73683075657636,13819
"d202",2016,2.24090863881238,8287
"d221",2016,3.5745832383807,13219
"d119",2016,4.82848614150282,17856
"d120",2016,5.28467208016295,19543
"d226",2016,1.31717943521843,4871
"d317",2016,3.7092486784831,13717
"d121",2016,2.05783935578161,7610
"d304",2016,3.88501682319506,14367
"d403",2016,1.99483323621563,7377
"d417",2016,3.30525235817591,12223
"d203",2016,4.29117644374486,15869
"d418",2016,1.72333905576823,6373
"d204",2016,4.07890260743888,15084
"d318",2016,6.3306277474643,23411
"d404",2016,3.65597741000886,13520
"d405",2016,3.4026008690933,12583
"d213",2016,3.65381410976625,13512
"d101",2016,30.5547230391369,112993
"d222",2016,3.65678864759984,13523
"d122",2016,4.43097972192346,16386
"d102",2016,,
"d205",2016,2.53836242217109,9387
"d413",2016,1.43832424880452,5319
"d414",2016,5.03697420238425,18627
"d206",2016,10.6848103107752,39513
"d406",2016,4.40069351852693,16274
"d207",2016,5.25898288978197,19448
"d112",2016,3.23900128824601,11978
"d407",2016,1.4339976483193,5303
"d103",2016,4.50669523041477,16666
"d227",2016,1.78715641292519,6609
"d419",2016,3.05295746738166,11290
"d421",2016,2.37638531650576,8788
"d408",2016,6.34874538699615,23478
"d305",2016,5.60997835414525,20746
"d319",2016,3.18410754458982,11775
"d325",2016,3.39502931824417,12555
"d306",2016,2.71926840495925,10056
"d208",2016,4.40880589443672,16304
"d228",2016,4.4655925258052,16514
"d123",2016,2.21900522385597,8206
"d422",2016,2.14464177801629,7931
"d415",2016,2.27741433040641,8422
"d326",2016,5.55156924759481,20530
"d307",2016,2.56729656291598,9494
"d229",2016,,
"d104",2016,3.05917695557916,11313
"d124",2016,2.16465230526042,8005
"d114",2016,6.37173045207387,23563
"d223",2016,2.55864336194555,9462
"d320",2016,5.44746042341926,20145
"d105",2016,2.83770909324208,10494
"d409",2016,3.97614584591496,14704
"d214",2016,1.84150933152073,6810
"d209",2016,2.88935788653437,10685
"d410",2016,2.5467452106112,9418
"d423",2016,1.92398515327019,7115
"d115",2016,,
"d308",2016,,
"d309",2016,8.79570837391702,32527
"d106",2016,3.15057639082938,11651
"d107",2016,,
"d108",2016,1.91479112723911,7081
"d311",2016,4.16354172943095,15397
"d116",2016,4.7992815882276,17748
"d109",2016,4.35364173825019,16100
"d230",2016,2.16951973080629,8023
"d224",2016,2.02782356491542,7499
"d327",2016,5.61511619222145,20765
"d310",2016,3.0824324331872,11399
"d231",2016,4.3744635030853,16177
"d424",2016,8.27759796581222,30611
"d411",2016,3.07675377005035,11378
"d328",2016,4.82253706583565,17834
"d329",2016,5.20841574661099,19261
"d321",2016,2.24442400170662,8300
"d312",2016,5.55887038591362,20557
"d210",2016,3.11650441200829,11525
"d110",2016,4.86958884611239,18008
"d425",2016,2.18898943298977,8095
"d412",2016,3.82228111615941,14135
"d232",2016,2.40910523267522,8909
"d426",2016,3.63434440758277,13440
"d215",2016,3.3528449635133,12399
"d211",2016,2.8844904609885,10667
"d111",2016,2.03052769021868,7509
"d212",2016,3.08540697102079,11410
"d113",2016,1.38802751816387,5133
"d313",2016,3.39881509366874,12569
"d330",2016,3.19519445833319,11816
