country-id,year,short-debt-usd-2012
AF,2000,
AF,2001,
AF,2002,
AF,2003,
AF,2004,
AF,2005,
AF,2006,
AF,2007,
AF,2008,
AF,2009,
AF,2010,38197
AF,2011,-12940783
AF,2012,9000000
AL,2000,15422618
AL,2001,-11321080
AL,2002,921588
AL,2003,170846778
AL,2004,-173579762
AL,2005,170784602
AL,2006,247214246
AL,2007,118155533
AL,2008,539007821
AL,2009,-438002580
AL,2010,-132683990
AL,2011,338978459
AL,2012,575233000
AM,2000,-23226375
AM,2001,-4094916
AM,2002,394748177
AM,2003,381753488
AM,2004,10791854
AM,2005,-168035899
AM,2006,11729231
AM,2007,156319980
AM,2008,-5407920
AM,2009,68726974
AM,2010,95045801
AM,2011,227818696
AM,2012,-61881000
AO,2000,-1064271808
AO,2001,-17242181
AO,2002,-805365710
AO,2003,-215994465
AO,2004,910842645
AO,2005,2547053183
AO,2006,396402186
AO,2007,304092621
AO,2008,165696095
AO,2009,252742691
AO,2010,-434980438
AO,2011,-250637766
AO,2012,240000000
AR,2000,-1084110562
AR,2001,-8281861309
AR,2002,-25446998495
AR,2003,1489522161
AR,2004,-647407342
AR,2005,29170009863
AR,2006,-9879267407
AR,2007,-15467681360
AR,2008,196706314
AR,2009,-1160153755
AR,2010,-749365345
AR,2011,2382073143
AR,2012,-3032000000
AZ,2000,427991682
AZ,2001,-176507303
AZ,2002,-67133794
AZ,2003,63960294
AZ,2004,100263841
AZ,2005,113928512
AZ,2006,671636959
AZ,2007,835372875
AZ,2008,159101303
AZ,2009,-518840590
AZ,2010,86337920
AZ,2011,13486651
AZ,2012,-39000000
BA,2000,23388069
BA,2001,24267975
BA,2002,539859462
BA,2003,-370069289
BA,2004,285256927
BA,2005,864374000
BA,2006,261468046
BA,2007,551035940
BA,2008,-720257289
BA,2009,750635482
BA,2010,-643932201
BA,2011,252237232
BA,2012,-46000000
BD,2000,103999980
BD,2001,8181411
BD,2002,279083433
BD,2003,94324805
BD,2004,121684690
BD,2005,-52676282
BD,2006,665450904
BD,2007,231686930
BD,2008,602671339
BD,2009,43130156
BD,2010,1039081779
BD,2011,767920933
BD,2012,-2038700000
BF,2000,-38723554
BF,2001,-41728815
BF,2002,-92803184
BF,2003,7713401
BF,2004,14017632
BF,2005,-2695281
BF,2006,90233492
BF,2007,79640769
BF,2008,-46290598
BF,2009,-116840549
BF,2010,26379339
BF,2011,102430596
BF,2012,-131000000
BG,2000,473866042
BG,2001,-583720260
BG,2002,1417335439
BG,2003,1536266043
BG,2004,935342679
BG,2005,1825178909
BG,2006,5054953781
BG,2007,7069235027
BG,2008,4352025546
BG,2009,250198076
BG,2010,-3357238779
BG,2011,-2348943270
BG,2012,854632000
BI,2000,-16520976
BI,2001,29223710
BI,2002,-2048148
BI,2003,-131030391
BI,2004,5832434
BI,2005,-3324348
BI,2006,
BI,2007,
BI,2008,17127703
BI,2009,-8694216
BI,2010,9118123
BI,2011,-15265989
BI,2012,7000000
BJ,2000,-96805378
BJ,2001,27025440
BJ,2002,-9373226
BJ,2003,-68147000
BJ,2004,-6920365
BJ,2005,19839560
BJ,2006,
BJ,2007,-44336200
BJ,2008,83820996
BJ,2009,98550690
BJ,2010,141444424
BJ,2011,150652119
BJ,2012,25915000
BO,2000,-20143187
BO,2001,-42120150
BO,2002,-22232473
BO,2003,-84852465
BO,2004,-127811741
BO,2005,-186220780
BO,2006,68428371
BO,2007,546304482
BO,2008,-50687027
BO,2009,67244855
BO,2010,74702850
BO,2011,8005527
BO,2012,85000000
BR,2000,4312277573
BR,2001,-7005175882
BR,2002,-15223703404
BR,2003,3467166336
BR,2004,1712179542
BR,2005,-2515974216
BR,2006,-6101110532
BR,2007,26597424238
BR,2008,-3179449971
BR,2009,3900339860
BR,2010,25978457080
BR,2011,-20994365851
BR,2012,-9557274000
BT,2000,-822730
BT,2001,-2580825
BT,2002,1707594
BT,2003,5757257
BT,2004,-6952437
BT,2005,11721609
BT,2006,10797842
BT,2007,2660103
BT,2008,-11632491
BT,2009,-3487384
BT,2010,1226711
BT,2011,2153194
BT,2012,92000000
BW,2000,-7265403
BW,2001,9762871
BW,2002,-8724465
BW,2003,17177732
BW,2004,-7984068
BW,2005,13867552
BW,2006,-12496018
BW,2007,-2293915
BW,2008,24455767
BW,2009,220088015
BW,2010,121438766
BW,2011,48761149
BW,2012,-26000000
BY,2000,-212906140
BY,2001,196357827
BY,2002,707830891
BY,2003,661191282
BY,2004,1584149881
BY,2005,780466813
BY,2006,1085155090
BY,2007,3278061097
BY,2008,178606569
BY,2009,1694910669
BY,2010,2989591588
BY,2011,1655670863
BY,2012,-1370000000
BZ,2000,-1203249
BZ,2001,1017560
BZ,2002,-6922330
BZ,2003,42714961
BZ,2004,-95605400
BZ,2005,
BZ,2006,
BZ,2007,
BZ,2008,
BZ,2009,
BZ,2010,
BZ,2011,
BZ,2012,
CD,2000,16244456
CD,2001,3060000
CD,2002,-137346761
CD,2003,-498869838
CD,2004,153648905
CD,2005,-124234890
CD,2006,140432039
CD,2007,47566494
CD,2008,29704939
CD,2009,-113884614
CD,2010,117071231
CD,2011,-39754734
CD,2012,-19000000
CF,2000,-42611106
CF,2001,-12056506
CF,2002,-7301
CF,2003,4047712
CF,2004,-3582869
CF,2005,
CF,2006,
CF,2007,-10003003
CF,2008,11643306
CF,2009,-7906811
CF,2010,-2032831
CF,2011,29436367
CF,2012,-26000000
CG,2000,-152779455
CG,2001,-973689480
CG,2002,505207526
CG,2003,-606517173
CG,2004,-61042085
CG,2005,17816979
CG,2006,69157927
CG,2007,52820494
CG,2008,29280583
CG,2009,-85274716
CG,2010,52960100
CG,2011,-20996267
CG,2012,31000000
CI,2000,-574579640
CI,2001,-323263276
CI,2002,-251346824
CI,2003,-158341248
CI,2004,-604886925
CI,2005,-139407416
CI,2006,
CI,2007,
CI,2008,-946
CI,2009,
CI,2010,315700779
CI,2011,475241130
CI,2012,-643000000
CM,2000,-190277580
CM,2001,-434436478
CM,2002,-313212345
CM,2003,-428721667
CM,2004,135175575
CM,2005,-410093846
CM,2006,16172416
CM,2007,136767177
CM,2008,-185367839
CM,2009,
CM,2010,
CM,2011,64579104
CM,2012,65000000
CN,2000,-4523107437
CN,2001,91202264774
CN,2002,19675110371
CN,2003,45827057257
