country,sector,channel,year,out-oda-gross-sector-channel
1,M,J,2006,211630326
2,A,A,2006,73803178
2,B,A,2006,90507827
2,C,A,2006,96438737
2,D,A,2006,64560909
2,E,A,2006,26851515
2,F,A,2006,152817717
2,G,A,2006,11959230
2,H,A,2006,164904276
2,I,A,2006,4764835
2,J,A,2006,9979215
2,K,A,2006,84749816
2,L,A,2006,147093470
2,M,A,2006,76578480
2,M,J,2006,5917108062
2,N,A,2006,5516141
11,J,H,2006,220172917
12,B,A,2006,979865678
12,B,D,2006,159393704
12,B,E,2006,48141648
12,B,H,2006,202719484
12,B,I,2006,59634176
15,A,J,2006,1300972810
15,B,J,2006,1466321576
15,C,J,2006,678545248
15,D,J,2006,1204020309
15,E,J,2006,1075491235
15,F,J,2006,1733716666
15,G,J,2006,499941812
15,H,J,2006,989478368
15,I,J,2006,325944974
15,J,J,2006,37185381
15,M,H,2006,37387269633
21,L,A,2006,861685692
21,M,A,2006,4602586896
27,B,J,2006,208761934
27,E,J,2006,448428
28,A,J,2006,1522449
28,B,J,2006,24509974
28,C,J,2006,2325351
28,D,J,2006,280012551
28,E,J,2006,8940704
28,F,J,2006,6450524
28,G,J,2006,12781681
28,H,J,2006,3328979
28,I,J,2006,4707512
28,J,J,2006,30584575
28,K,J,2006,113726191
28,N,J,2006,30552168
31,B,A,2006,81623730
31,B,D,2006,17027281
31,B,H,2006,147223546
31,B,J,2006,-10004
33,A,J,2006,61402022
33,B,J,2006,161749415
33,C,J,2006,30170106
33,D,J,2006,31909727
33,E,J,2006,50331830
33,J,J,2006,89540
33,K,J,2006,505401514
33,L,J,2006,50497
33,N,J,2006,11758229
AT,A,A,2006,100782895
AT,A,E,2006,13083908
AT,A,F,2006,1056121
AT,A,H,2006,192685
AT,A,I,2006,4175848
AT,A,J,2006,819636
AT,B,A,2006,2073424
AT,B,D,2006,85545
AT,B,E,2006,5881956
AT,B,F,2006,851105
AT,B,H,2006,6217289
AT,B,I,2006,480378
AT,B,J,2006,257665
AT,C,A,2006,3761220
AT,C,E,2006,1073633
AT,C,F,2006,28543
AT,C,H,2006,2002007
AT,C,I,2006,7835853
AT,C,J,2006,45741
AT,D,A,2006,26629569
AT,D,E,2006,9821476
AT,D,F,2006,969163
AT,D,H,2006,6061882
AT,D,I,2006,6917383
AT,D,J,2006,54475
AT,E,A,2006,1387415
AT,E,D,2006,185534
AT,E,E,2006,4791895
AT,E,F,2006,83633
AT,E,H,2006,2803575
AT,E,I,2006,154993
