id,year,value-1,value-2,value-3
AL,1984,1740,1740,1740
AL,1985,,1776,1776
AL,1986,,1812,1812
AL,1987,1848,1848,1848
AL,1988,,2438.333333,2438.333333
AL,1989,,3028.666667,3028.666667
AL,1990,3619,3619,3619
AL,1991,,6827,6827
AL,1992,,10035,10035
AL,1993,13243,13243,13243
AL,1994,,20452,20452
AL,1995,,27661,27661
AL,1996,34870,34870,34870
AL,1997,,56212.66667,56212.66667
AL,1998,,77555.33333,77555.33333
AL,1999,98898,98898,98898
AL,2000,,89823.66667,89823.66667
AL,2001,,80749.33333,80749.33333
AL,2002,71675,71675,71675
AL,2003,,59020.66667,59020.66667
AL,2004,,46366.33333,46366.33333
AL,2005,33712,33712,33712
AL,2006,,26113,26113
AL,2007,,18514,18514
AL,2008,10915,10915,10915
AL,2009,,16079,16079
AL,2010,21243,21243,21243
AL,2011,25520,25520,25520
AL,2012,30740,30740,30740
AL,2013,29580,29580,29580
AL,2014,,,29580
AL,2015,,,29580
AM,1984,196742,196742,196742
AM,1985,,225619.3333,225619.3333
AM,1986,,254496.6667,254496.6667
AM,1987,283374,283374,283374
AM,1988,,317064,317064
AM,1989,,350754,350754
AM,1990,384444,384444,384444
AM,1991,,570717,570717
AM,1992,,756990,756990
AM,1993,943263,943263,943263
AM,1994,,817985.3333,817985.3333
AM,1995,,692707.6667,692707.6667
AM,1996,567430,567430,567430
AM,1997,,552150.6667,552150.6667
AM,1998,,536871.3333,536871.3333
AM,1999,521592,521592,521592
AM,2000,,500838,500838
AM,2001,,480084,480084
AM,2002,459330,459330,459330
AM,2003,,350868.3333,350868.3333
AM,2004,,242406.6667,242406.6667
AM,2005,133945,133945,133945
AM,2006,,104097.3333,104097.3333
AM,2007,,74249.66667,74249.66667
AM,2008,44402,44402,44402
AM,2009,,59793,59793
AM,2010,75184,75184,75184
AM,2011,80190,80190,80190
AM,2012,51852,51852,51852
AM,2013,72956,72956,72956
AM,2014,,,72956
AM,2015,,,72956
AO,1984,4530256,4530256,4530256
AO,1985,,4635014.667,4635014.667
AO,1986,,4739773.333,4739773.333
AO,1987,4844532,4844532,4844532
AO,1988,,4953354,4953354
AO,1989,,5062176,5062176
AO,1990,5170998,5170998,5170998
AO,1991,,5316682,5316682
AO,1992,,5462366,5462366
AO,1993,5608050,5608050,5608050
AO,1994,,5751700,5751700
AO,1995,,5895350,5895350
AO,1996,6039000,6039000,6039000
AO,1997,,6176580,6176580
AO,1998,,6314160,6314160
AO,1999,6451740,6451740,6451740
AO,2000,,6625833,6625833
AO,2001,,6799926,6799926
AO,2002,6974019,6974019,6974019
AO,2003,,7191372,7191372
AO,2004,,7408725,7408725
AO,2005,7626078,7626078,7626078
AO,2006,,7058132,7058132
AO,2007,,6490186,6490186
AO,2008,5922240,5922240,5922240
AO,2009,,6178072,6178072
AO,2010,6433904,6433904,6433904
AO,2011,6599552,6599552,6599552
AO,2012,6636825,6636825,6636825
AO,2013,6434680,6434680,6434680
AO,2014,,,6434680
AO,2015,,,6434680
AZ,1984,33507,33507,33507
AZ,1985,,34510.33333,34510.33333
AZ,1986,,35513.66667,35513.66667
AZ,1987,36517,36517,36517
AZ,1988,,39142,39142
AZ,1989,,41767,41767
AZ,1990,44392,44392,44392
AZ,1991,,110594.6667,110594.6667
AZ,1992,,176797.3333,176797.3333
AZ,1993,243000,243000,243000
AZ,1994,,336858.6667,336858.6667
AZ,1995,,430717.3333,430717.3333
AZ,1996,524576,524576,524576
