"id","year","direction","flow-type","flow-name","value"
"afdb",2003,"out","official","oofs",1289640000
"afdb",2012,"out","official","oofs",3510110000
"afdb",2013,"out","official","oofs",2302030000
"afdb",2011,"out","official","oofs",2977940000
"afdb",2001,"out","official","oofs",969130000
"afdb",2006,"out","official","oofs",955580000
"afdb",2009,"out","official","oofs",3803070000
"afdb",2010,"out","official","oofs",2120970000
"afdb",2008,"out","official","oofs",1139660000
"afdb",2000,"out","official","oofs",766930000
"afdb",2004,"out","official","oofs",1191190000
"afdb",2007,"out","official","oofs",1495250000
"afdb",2002,"out","official","oofs",1032810000
"afdb",2005,"out","official","oofs",1008960000
"ibrd",2001,"out","official","oofs",16991560000
"ibrd",2007,"out","official","oofs",10684010000
"ibrd",2009,"out","official","oofs",22450110000
"ibrd",2010,"out","official","oofs",27534370000
"ibrd",2005,"out","official","oofs",9878120000
"ibrd",2011,"out","official","oofs",15589690000
"ibrd",2000,"out","official","oofs",17870590000
"ibrd",2003,"out","official","oofs",13839480000
"ibrd",2002,"out","official","oofs",14680840000
"ibrd",2006,"out","official","oofs",13357610000
"ibrd",2012,"out","official","oofs",15136130000
"ibrd",2013,"out","official","oofs",16218620000
"ibrd",2008,"out","official","oofs",13621280000
"ibrd",2004,"out","official","oofs",11415560000
"idb",2009,"out","official","oofs",11971220000
"idb",2005,"out","official","oofs",5803600000
"idb",2007,"out","official","oofs",7181710000
"idb",2008,"out","official","oofs",7279280000
"idb",2006,"out","official","oofs",7042280000
"idb",2002,"out","official","oofs",8372490000
"idb",2013,"out","official","oofs",9818310000
"idb",2001,"out","official","oofs",9500270000
"idb",2004,"out","official","oofs",4580370000
"idb",2010,"out","official","oofs",10567600000
"idb",2000,"out","official","oofs",10105110000
"idb",2011,"out","official","oofs",7015850000
"idb",2003,"out","official","oofs",11187800000
"idb",2012,"out","official","oofs",6446510000
"ifad",2007,"out","official","oofs",42880000
"ifad",2013,"out","official","oofs",57450000
"ifad",2000,"out","official","oofs",50260000
"ifad",2005,"out","official","oofs",31610000
"ifad",2011,"out","official","oofs",47700000
"ifad",2006,"out","official","oofs",45330000
"ifad",2002,"out","official","oofs",30560000
"ifad",2008,"out","official","oofs",54140000
"ifad",2012,"out","official","oofs",63390000
"ifad",2003,"out","official","oofs",30820000
"ifad",2004,"out","official","oofs",37340000
"ifad",2009,"out","official","oofs",39550000
"ifad",2010,"out","official","oofs",45900000
"ifad",2001,"out","official","oofs",52590000
"ifc",2013,"out","official","oofs",6736730000
"ifc",2000,"out","official","oofs",1936130000
"ifc",2004,"out","official","oofs",2800760000
"ifc",2012,"out","official","oofs",6414080000
"ifc",2008,"out","official","oofs",5107480000
"ifc",2003,"out","official","oofs",2828890000
"ifc",2009,"out","official","oofs",4688730000
"ifc",2001,"out","official","oofs",1675180000
"ifc",2010,"out","official","oofs",4345450000
"ifc",2007,"out","official","oofs",4622270000
"ifc",2011,"out","official","oofs",4619840000
"ifc",2006,"out","official","oofs",4364090000
"ifc",2002,"out","official","oofs",2141350000
"ifc",2005,"out","official","oofs",2938400000
"islamic-dev-bank",2001,"out","official","oofs",0
"islamic-dev-bank",2005,"out","official","oofs",0
"islamic-dev-bank",2002,"out","official","oofs",0
"islamic-dev-bank",2000,"out","official","oofs",0
"islamic-dev-bank",2004,"out","official","oofs",0
"islamic-dev-bank",2013,"out","official","oofs",0
"islamic-dev-bank",2003,"out","official","oofs",0
"islamic-dev-bank",2010,"out","official","oofs",1548800000
"islamic-dev-bank",2012,"out","official","oofs",1304530000
"islamic-dev-bank",2011,"out","official","oofs",1643650000
"islamic-dev-bank",2009,"out","official","oofs",0
"islamic-dev-bank",2007,"out","official","oofs",0
"islamic-dev-bank",2008,"out","official","oofs",0
"islamic-dev-bank",2006,"out","official","oofs",0
"nordic-dev-fund",2001,"out","official","oofs",0
"nordic-dev-fund",2005,"out","official","oofs",0
"nordic-dev-fund",2000,"out","official","oofs",0
