country,year,out_fdi
US,2000,41424.2597
US,2001,52373.08077
US,2002,2220.95202
US,2003,16726.2296
US,2004,38761.72793
US,2005,33310.11414
US,2006,48027.60812
US,2007,62559.38531
US,2008,54308.40395
US,2009,34749.57341
US,2010,41081.12396
US,2011,42865.42497
US,2012,45016.00
UK,2000,
UK,2001,9108
UK,2002,7873
UK,2003,4887
UK,2004,32110
UK,2005,18173
UK,2006,26549
UK,2007,27395
UK,2008,14321
UK,2009,9584
UK,2010,31082
UK,2011,23239
UK,2012,16660
DE,2000,
DE,2001,3142.581283
DE,2002,-1039.979511
DE,2003,3415.052294
DE,2004,16862.77123
DE,2005,21861.30802
DE,2006,13636.89107
DE,2007,22625.7907
DE,2008,8915.124418
DE,2009,12053.35827
DE,2010,17712.75431
DE,2011,21345.08903
DE,2012,15524
FR,2000,
FR,2001,14762.03856
FR,2002,6703.454859
FR,2003,-2108.699825
FR,2004,5452.346353
FR,2005,16503.70427
FR,2006,12444.70792
FR,2007,13887.88829
FR,2008,32227.16111
FR,2009,15081.52373
FR,2010,12640.09148
FR,2011,7986.378086
FR,2012,9207
FI,2000,
FI,2001,1373.339551
FI,2002,-328.0384335
FI,2003,579.636569
FI,2004,1582.03917
FI,2005,427.7279928
FI,2006,578.695213
FI,2007,1416.360081
FI,2008,496.8997552
FI,2009,1720.093808
FI,2010,2529.37042
FI,2011,-1450.176145
FI,2012,-858
DK,2000,
DK,2001,790.2831114
DK,2002,264.1626042
DK,2003,256.4097546
DK,2004,271.6955895
DK,2005,634.5918662
DK,2006,1059.570944
DK,2007,851.6396061
DK,2008,141.3278854
DK,2009,1397.422466
DK,2010,699.3354843
DK,2011,529.574788
DK,2012,828
BE,2000,
BE,2001,
BE,2002,-289.5441405
BE,2003,-674.2879844
BE,2004,465.1261539
BE,2005,106.1541402
BE,2006,312.1642895
BE,2007,228.3123849
BE,2008,2841.383745
BE,2009,4339.317508
BE,2010,264.0224265
BE,2011,4864.105333
BE,2012,-2849
AT,2000,
AT,2001,-1051.247187
AT,2002,264.425038
AT,2003,386.4245549
AT,2004,744.0529477
AT,2005,965.0266705
AT,2006,2865.085531
AT,2007,7161.127306
AT,2008,1619.340273
AT,2009,1669.029332
AT,2010,4083.752023
AT,2011,5413.238462
AT,2012,3101
AU,2000,
AU,2001,413.2736407
AU,2002,-567.9296057
AU,2003,632.4452261
AU,2004,-268.0227674
AU,2005,1122.329024
AU,2006,2022.053304
AU,2007,2469.022856
AU,2008,1672.542278
AU,2009,795.09515
AU,2010,1975.950806
AU,2011,2349.344053
AU,2012,4195
