year,id-from,id-to,sector,bundle,channel,oof
2006,afdb,DZ,infrastructure,oof-grant,public-sector-unknown,1531501
2006,afdb,DZ,water-and-sanitation,oof-grant,public-sector-unknown,1163792
2006,afdb,bilateral-unspecified,other,oof-grant,unspecified,83212376
2006,afdb,CM,other,oof-grant,public-sector-unknown,12115086
2006,afdb,GA,banking-and-business,oof-grant,public-sector-unknown,1207070
2006,afdb,GA,education,oof-grant,public-sector-unknown,3141714
2006,afdb,GA,general-budget-support,oof-grant,public-sector-unknown,31901576
2006,afdb,GA,health,oof-grant,public-sector-unknown,1377747
2006,afdb,GA,infrastructure,oof-grant,public-sector-unknown,19594
2006,afdb,MU,infrastructure,oof-grant,public-sector-unknown,3540035
2006,afdb,MA,education,oof-grant,public-sector-unknown,9828952
2006,afdb,MA,infrastructure,oof-grant,public-sector-unknown,212297821
2006,afdb,MA,other,oof-grant,public-sector-unknown,58383675
2006,afdb,MA,water-and-sanitation,oof-grant,public-sector-unknown,182344118
2006,afdb,MZ,industry-and-trade,oof-grant,other,23090722
2006,afdb,NA,agriculture-and-food-security,oof-grant,public-sector-unknown,7754603
2006,afdb,NA,infrastructure,oof-grant,public-sector-unknown,21349227
2006,afdb,NG,other,oof-grant,other,35494657
2006,afdb,NG,water-and-sanitation,oof-grant,public-sector-unknown,9045570
2006,afdb,ZA,other,oof-grant,public-sector-unknown,56507060
2006,afdb,south-of-sahara,banking-and-business,oof-grant,public-sector-unknown,5483836
2006,afdb,south-of-sahara,other,oof-grant,public-sector-unknown,23029972
2006,afdb,SZ,agriculture-and-food-security,oof-grant,public-sector-unknown,1892982
2006,afdb,SZ,infrastructure,oof-grant,public-sector-unknown,19635818
2006,afdb,TN,agriculture-and-food-security,oof-grant,public-sector-unknown,15788979
2006,afdb,TN,education,oof-grant,public-sector-unknown,3774251
2006,afdb,TN,environment,oof-grant,public-sector-unknown,4542684
2006,afdb,TN,infrastructure,oof-grant,public-sector-unknown,44121992
2006,afdb,TN,other,oof-grant,public-sector-unknown,82002587
2006,asdb,bilateral-unspecified,other,oof-grant,unspecified,5119390000
2006,AU,africa,other,oof-export-credit,unspecified,3338014
2006,AU,america,other,oof-export-credit,unspecified,505101
2006,AU,AR,other,oof-export-credit,unspecified,1746121
2006,AU,asia,other,oof-export-credit,unspecified,3528258
2006,AU,BD,other,oof-export-credit,unspecified,1578759
2006,AU,bilateral-unspecified,education,oof-export-credit,unspecified,1245495
2006,AU,bilateral-unspecified,environment,oof-export-credit,unspecified,1029145
2006,AU,bilateral-unspecified,governance-and-security,oof-export-credit,unspecified,1090335
2006,AU,bilateral-unspecified,industry-and-trade,oof-export-credit,unspecified,257655
2006,AU,bilateral-unspecified,infrastructure,oof-export-credit,unspecified,6269958
2006,AU,bilateral-unspecified,other,oof-export-credit,unspecified,148745885
2006,AU,bilateral-unspecified,other-social-services,oof-export-credit,unspecified,4889035
2006,AU,BR,other,oof-export-credit,unspecified,3098668
2006,AU,KH,other,oof-export-credit,unspecified,3539560
2006,AU,CL,other,oof-export-credit,unspecified,2828853
2006,AU,CN,other,oof-export-credit,unspecified,26165626
2006,AU,HR,other,oof-export-credit,unspecified,240513
2006,AU,EG,other,oof-export-credit,unspecified,2438900
2006,AU,europe,other,oof-export-credit,unspecified,5863777
2006,AU,FJ,other,oof-export-credit,unspecified,3361523
2006,AU,GH,other,oof-export-credit,unspecified,1158147
2006,AU,IN,other,oof-export-credit,unspecified,20208860
2006,AU,ID,other,oof-export-credit,unspecified,17668090
2006,AU,IQ,other,oof-export-credit,unspecified,2762528
2006,AU,JO,other,oof-export-credit,unspecified,2720279
2006,AU,KE,other,oof-export-credit,unspecified,3489116
2006,AU,KI,other,oof-export-credit,unspecified,815090
