country,sector,year,out-oda-gross-sector
1,M,2006,211630326
2,A,2006,73803178
2,B,2006,90507827
2,C,2006,96438737
2,D,2006,64560909
2,E,2006,26851515
2,F,2006,152817717
2,G,2006,11959230
2,H,2006,164904276
2,I,2006,4764835
2,J,2006,9979215
2,K,2006,84749816
2,L,2006,147093470
2,M,2006,5993686543
2,N,2006,5516141
11,J,2006,220172917
12,B,2006,1449754691
15,A,2006,1300972810
15,B,2006,1466321576
15,C,2006,678545248
15,D,2006,1204020309
15,E,2006,1075491235
15,F,2006,1733716666
15,G,2006,499941812
15,H,2006,989478368
15,I,2006,325944974
15,J,2006,37185381
15,M,2006,37387269633
21,L,2006,861685692
21,M,2006,4602586896
27,B,2006,208761934
27,E,2006,448428
28,A,2006,1522449
28,B,2006,24509974
28,C,2006,2325351
28,D,2006,280012551
28,E,2006,8940704
28,F,2006,6450524
28,G,2006,12781681
28,H,2006,3328979
28,I,2006,4707512
28,J,2006,30584575
28,K,2006,113726191
28,N,2006,30552168
31,B,2006,245864554
33,A,2006,61402022
33,B,2006,161749415
33,C,2006,30170106
33,D,2006,31909727
33,E,2006,50331830
33,J,2006,89540
33,K,2006,505401514
33,L,2006,50497
33,N,2006,11758229
AT,A,2006,120111095
AT,B,2006,15847365
AT,C,2006,14747000
AT,D,2006,50453951
AT,E,2006,9620898
AT,F,2006,8307839
AT,G,2006,4900376
AT,H,2006,12436277
AT,I,2006,9562926
AT,J,2006,4339675
AT,K,2006,119337999
AT,M,2006,865329144
AT,N,2006,19227397
AU,A,2006,255351817
AU,B,2006,299714813
AU,C,2006,10697785
AU,D,2006,854432215
AU,E,2006,38283438
AU,F,2006,67100561
AU,G,2006,33907290
AU,H,2006,127780180
AU,I,2006,13797024
AU,J,2006,29671997
AU,K,2006,418514280
AU,L,2006,684264
AU,M,2006,461127828
AU,N,2006,313414202
BE,A,2006,176863597
BE,B,2006,135513903
BE,C,2006,54774722
BE,D,2006,166647695
BE,E,2006,82070297
BE,F,2006,37120281
BE,G,2006,56671498
BE,H,2006,71763403
BE,I,2006,17083296
BE,J,2006,8419805
BE,K,2006,251130579
BE,L,2006,10249798
BE,M,2006,463442759
BE,N,2006,99406908
CA,A,2006,225234605
CA,B,2006,273647576
CA,C,2006,58789907
CA,D,2006,414940060
CA,E,2006,67308561
CA,F,2006,35411893
CA,G,2006,64298743
CA,H,2006,136004567
CA,I,2006,53835175
CA,J,2006,41881197
CA,K,2006,401735457
CA,L,2006,52081495
CA,M,2006,334539760
CA,N,2006,346654019
CH,A,2006,66529790
CH,B,2006,61511717
CH,C,2006,44873912
CH,D,2006,202339217
CH,E,2006,15989256
CH,F,2006,53526112
CH,G,2006,65640997
CH,H,2006,83253317
CH,I,2006,72084749
CH,J,2006,38656870
CH,K,2006,647499483
CH,L,2006,49077634
CH,M,2006,138603261
CH,N,2006,247945144
DE,A,2006,1476578757
DE,B,2006,273270863
DE,C,2006,376725492
DE,D,2006,722823042
DE,E,2006,261569968
DE,F,2006,470698245
DE,G,2006,688010594
DE,H,2006,279225787
DE,I,2006,171391366
DE,J,2006,161210784
DE,K,2006,812453492
DE,L,2006,96449752
DE,M,2006,3340997139
DE,N,2006,393565662
DK,A,2006,62962073
DK,B,2006,80530478
DK,C,2006,111465407
DK,D,2006,146953367
DK,E,2006,28132915
DK,F,2006,122893828
DK,G,2006,23203370
DK,H,2006,73069782
DK,I,2006,26894165
DK,J,2006,138270652
DK,K,2006,150794077
DK,L,2006,56428570
DK,M,2006,124855158
DK,N,2006,103226534
ES,A,2006,239471362
ES,B,2006,158331974
ES,C,2006,73770759
ES,D,2006,202921829
ES,E,2006,157000977
ES,F,2006,284989199
ES,G,2006,9699146
ES,H,2006,114192362
ES,I,2006,36498662
ES,J,2006,44083867
ES,K,2006,430009273
ES,L,2006,11748612
ES,M,2006,569938038
ES,N,2006,147396129
EU,A,2006,737945694
EU,B,2006,677078640
EU,C,2006,417578301
EU,D,2006,1877684991
EU,E,2006,496576060
EU,F,2006,1179324257
EU,G,2006,188069458
EU,H,2006,639354321
EU,I,2006,400026192
EU,J,2006,180967871
EU,K,2006,2035149893
EU,L,2006,939538589
EU,M,2006,61076
EU,N,2006,1518588547
FI,A,2006,46383303
FI,B,2006,43945673
FI,C,2006,17778990
FI,D,2006,80153310
FI,E,2006,19073659
FI,F,2006,10223245
FI,G,2006,6975519
FI,H,2006,19186051
FI,I,2006,11799940
FI,J,2006,13787793
FI,K,2006,178354278
FI,L,2006,25109423
FI,N,2006,89753205
FR,A,2006,1606681671
FR,B,2006,311201250
FR,C,2006,240021850
FR,D,2006,87857825
FR,E,2006,423635306
FR,F,2006,316703258
FR,G,2006,56393107
FR,H,2006,226623444
FR,I,2006,51768375
FR,J,2006,186859535
FR,K,2006,1614680040
FR,L,2006,306797235
FR,M,2006,4381021436
FR,N,2006,36510943
GB,A,2006,499981849
GB,B,2006,876754621
GB,C,2006,67988457
GB,D,2006,918065626
GB,E,2006,108660170
GB,F,2006,174253375
GB,G,2006,88476523
GB,H,2006,222138265
GB,I,2006,72102102
GB,J,2006,55015937
GB,K,2006,198324028
GB,L,2006,688339143
GB,M,2006,3579340530
GB,N,2006,681292725
GR,A,2006,26908535
GR,B,2006,36559027
GR,C,2006,1179268
GR,D,2006,53206661
GR,E,2006,9663976
GR,F,2006,16718589
GR,G,2006,1764698
GR,H,2006,3395187
GR,I,2006,9511882
GR,J,2006,2588091
GR,K,2006,38552040
GR,L,2006,3799376
GR,N,2006,22975467
IE,A,2006,62203504
IE,B,2006,151107591
IE,C,2006,16439492
IE,D,2006,84109843
IE,E,2006,33871688
IE,F,2006,3812613
IE,G,2006,2979571
IE,H,2006,35550237
IE,I,2006,3197001
IE,J,2006,1627889
IE,K,2006,62668526
IE,L,2006,20656049
IE,N,2006,136288857
IT,A,2006,71127242
IT,B,2006,81865114
IT,C,2006,41412488
IT,D,2006,46862230
IT,E,2006,35782352
IT,F,2006,129478864
IT,G,2006,16157378
IT,H,2006,38677120
IT,I,2006,78680299
IT,J,2006,3937747
IT,K,2006,189097894
IT,L,2006,48213908
IT,M,2006,1800341459
IT,N,2006,84099685
JP,A,2006,1075984069
JP,B,2006,478038199
JP,C,2006,999638664
JP,D,2006,393614401
JP,E,2006,231466775
JP,F,2006,3265548250
JP,G,2006,45000082
JP,H,2006,1065652640
JP,I,2006,270939413
JP,J,2006,427344188
JP,K,2006,3061813206
JP,L,2006,165126736
JP,M,2006,5519305311
JP,N,2006,410351030
KR,A,2006,56036661
KR,B,2006,39762555
KR,C,2006,18087013
KR,D,2006,54749603
KR,E,2006,6348144
KR,F,2006,109607004
KR,G,2006,1154686
KR,H,2006,22944591
KR,I,2006,19342151
KR,J,2006,3007444
KR,K,2006,36738965
KR,N,2006,23775444
LU,A,2006,36678059
LU,B,2006,52682264
LU,C,2006,12776633
LU,D,2006,7331965
LU,E,2006,8035666
LU,F,2006,3412626
LU,G,2006,4614625
LU,H,2006,16311245
LU,I,2006,4022557
LU,J,2006,2985407
LU,K,2006,51916539
LU,N,2006,44622558
NL,A,2006,614315882
NL,B,2006,274461364
NL,C,2006,154909552
NL,D,2006,416818975
NL,E,2006,68247973
NL,F,2006,60642641
NL,G,2006,370926910
NL,H,2006,113064833
NL,I,2006,49477968
NL,J,2006,136409430
NL,K,2006,1859870596
