country,year,from-oda-capital
51,2006,9467857
52,2006,11096486
53,2006,1619282
54,2006,1655459
55,2006,374206701
56,2006,96069014
57,2006,27416325
59,2006,5298253
63,2006,13491342
64,2006,11526223
65,2006,24897505
66,2006,6030936
67,2006,771356
AF,2006,2911233
AG,2006,713606
AL,2006,29730597
AM,2006,45376367
AO,2006,214870970
AR,2006,13227214
AZ,2006,32081222
BA,2006,7539566
BB,2006,7807703
BD,2006,358137629
BF,2006,14273380
BI,2006,10444201
BJ,2006,12484343
BO,2006,12841211
BR,2006,293282801
BT,2006,2180806
BW,2006,13079099
BY,2006,4034262
BZ,2006,1474663
CD,2006,24990526
CF,2006,61049087
CG,2006,160131707
CI,2006,84746215
CK,2006,71658
CL,2006,16511739
CM,2006,150230204
CN,2006,1578111465
CO,2006,42702852
CR,2006,31653407
CV,2006,12841355
DJ,2006,7151922
DM,2006,1787787
DO,2006,67059003
DZ,2006,145636041
EC,2006,54407837
EG,2006,590745330
ER,2006,2118012
ET,2006,17419079
FJ,2006,1596561
GA,2006,49994044
GD,2006,808180
GE,2006,62201895
GH,2006,42264021
GM,2006,13690782
GN,2006,63389053
GQ,2006,2268128
GT,2006,36121026
GW,2006,7935395
GY,2006,1677681
HN,2006,6262186
HR,2006,16628709
HT,2006,20636249
ID,2006,2113949910
IN,2006,1791229089
IQ,2006,364333
IR,2006,24091862
JM,2006,98090468
JO,2006,131022166
KE,2006,158557124
KG,2006,43427244
KH,2006,7471495
KI,2006,209756
KM,2006,2891043
KN,2006,1243690
KP,2006,93124
KZ,2006,5454116
LA,2006,15572288
LB,2006,32969559
LC,2006,6054167
LK,2006,372704174
LS,2006,13914207
MA,2006,200407328
MD,2006,4735441
MG,2006,27118342
MK,2006,24342188
ML,2006,23217131
MM,2006,1764305
MN,2006,25448625
MR,2006,45247590
MU,2006,44053647
MV,2006,1349293
MW,2006,26613609
MX,2006,72378084
MY,2006,143820906
MZ,2006,20439979
NA,2006,16027956
NE,2006,5333186
NG,2006,622762768
NI,2006,3180853
NP,2006,48989845
OM,2006,23089316
PA,2006,12594217
PE,2006,228938662
PG,2006,40043045
PH,2006,747642767
PK,2006,366329724
PS,2006,1842784
PY,2006,59310847
RS,2006,4846815
RW,2006,20666562
SB,2006,1110871
SC,2006,9446392
SD,2006,1815544
SL,2006,9078772
SN,2006,36424808
SR,2006,19038700
ST,2006,3380712
SV,2006,33793131
SY,2006,150926992
SZ,2006,11685628
TC,2006,361956
TD,2006,30412937
TG,2006,7649210
TH,2006,1052716745
TJ,2006,1146868
TM,2006,2162754
TN,2006,200153740
TO,2006,1172240
TR,2006,480583233
TT,2006,14041030
TZ,2006,28281286
UA,2006,10428397
UG,2006,31318730
UY,2006,11099026
UZ,2006,18292359
VC,2006,1537851
VN,2006,213573069
VU,2006,1595278
WF,2006,298486
WS,2006,2116166
YE,2006,92758766
YT,2006,207518
ZA,2006,21486552
ZM,2006,14895195
ZW,2006,10794888
51,2007,22235928
52,2007,5102834
53,2007,11699640
54,2007,6580
55,2007,500187907
56,2007,9601808
59,2007,4003901
63,2007,391558
65,2007,6984621
66,2007,5950960
67,2007,812980
AF,2007,1959767
AG,2007,702565
AL,2007,32048021
AM,2007,34807665
AO,2007,181113759
AR,2007,47956744
AZ,2007,35746610
BA,2007,9603668
BD,2007,369878637
BF,2007,5813289
BI,2007,5598961
BJ,2007,3310721
BO,2007,102211262
BR,2007,163385719
BT,2007,2055459
BW,2007,9738542
BY,2007,3932950
BZ,2007,1441956
CD,2007,88624266
CF,2007,49113513
CG,2007,27780133
CI,2007,105667432
CK,2007,69715
CL,2007,21103037
CM,2007,127596896
CN,2007,1745386227
CO,2007,40446572
CR,2007,43459325
CU,2007,2680954
CV,2007,13433437
DJ,2007,7891661
DM,2007,2471332
DO,2007,101414914
DZ,2007,13303102
EC,2007,48744109
EG,2007,600097597
ER,2007,1573424
ET,2007,25985981
FJ,2007,1582236
GA,2007,46067133
GD,2007,1018287
GE,2007,54637380
GH,2007,12652159
GM,2007,28837126
GN,2007,43944192
GQ,2007,2605423
GT,2007,58468805
GW,2007,7312008
GY,2007,1058451
HN,2007,1921665
HR,2007,19230544
HT,2007,31499730
ID,2007,2527973189
IN,2007,1938774848
IR,2007,26690860
JM,2007,84024735
JO,2007,206417517
KE,2007,249742616
KG,2007,36338752
KH,2007,12523486
KI,2007,204994
KM,2007,3210330
KN,2007,978574
KP,2007,3129201
KZ,2007,5087336
LA,2007,16912336
LB,2007,14682706
LC,2007,2866865
LK,2007,445994162
LR,2007,44044239
LS,2007,17932513
MA,2007,278915507
MD,2007,11882565
ME,2007,2356399
MG,2007,13322546
MK,2007,26936672
ML,2007,5436101
MM,2007,3707081
MN,2007,27654130
MR,2007,6812026
MU,2007,23297331
MV,2007,1295510
MW,2007,4542670
MX,2007,128515365
MY,2007,170776842
MZ,2007,15027945
NA,2007,4300246
NE,2007,305673
NG,2007,86670815
NI,2007,13075752
NP,2007,57419960
PA,2007,158435391
PE,2007,472416436
PG,2007,36522740
PH,2007,793751682
PK,2007,337122633
PS,2007,140992
PY,2007,58572149
RS,2007,13123082
RW,2007,2555623
SB,2007,1140240
SC,2007,3915572
SD,2007,88
SL,2007,3115943
SN,2007,15857808
SR,2007,104142502
ST,2007,11045401
SV,2007,120633767
SY,2007,133780745
SZ,2007,11739414
TC,2007,325971
TD,2007,32486194
TG,2007,7347037
TH,2007,906576847
TJ,2007,2440070
TM,2007,10819538
TN,2007,199440908
TO,2007,1870067
TR,2007,466190895
TZ,2007,10919073
UA,2007,11451364
UG,2007,13959116
UY,2007,11989252
UZ,2007,5007098
VC,2007,865919
VN,2007,252847213
VU,2007,1601994
WF,2007,571849
WS,2007,1588108
YE,2007,117529698
YT,2007,4428073
ZA,2007,190590980
ZM,2007,16293599
ZW,2007,178550
51,2008,35427421
52,2008,6436498
53,2008,7200331
55,2008,240153235
56,2008,12077850
57,2008,81246
59,2008,8448097
60,2008,2011267
63,2008,131892
64,2008,16524010
65,2008,4361900
66,2008,6144275
67,2008,856670
AF,2008,655870
AG,2008,210813
AL,2008,35954811
AM,2008,40817315
AO,2008,38567524
AR,2008,37783266
AZ,2008,36037453
BA,2008,18258906
BD,2008,401816142
BF,2008,6848298
BI,2008,6175016
BJ,2008,2335060
BO,2008,9242035
BR,2008,152052988
BT,2008,2307415
BW,2008,8369781
BY,2008,3854621
BZ,2008,664058
CD,2008,154864898
CF,2008,9274893
CG,2008,30354543
CI,2008,173619127
CK,2008,33993
CL,2008,22661697
CM,2008,120480743
CN,2008,1828878499
CO,2008,47557671
CR,2008,48185397
CV,2008,13595574
DJ,2008,9006093
DM,2008,2193589
DO,2008,64292095
DZ,2008,16767680
EC,2008,64517294
EG,2008,601122485
ER,2008,3992191
ET,2008,3243563
FJ,2008,1518726
GA,2008,32850304
GD,2008,1198897
GE,2008,52624252
GH,2008,16476321
GM,2008,2663820
GN,2008,102188460
GQ,2008,2523454
GT,2008,30823902
GW,2008,6178594
GY,2008,185116
HN,2008,1837508
HR,2008,26882412
HT,2008,18409150
ID,2008,2580968504
IN,2008,2002480646
IR,2008,29432033
JM,2008,71141732
JO,2008,154171638
KE,2008,230028461
KG,2008,34801304
KH,2008,7775861
KI,2008,12448
KM,2008,8271443
KN,2008,923834
KP,2008,107671
KZ,2008,28333199
LA,2008,20307168
LB,2008,15025756
LC,2008,4028481
LK,2008,456007980
LR,2008,68625263
LS,2008,18134030
MA,2008,235179303
MD,2008,13282927
ME,2008,5940749
MG,2008,11297590
MK,2008,7393628
ML,2008,5852599
MM,2008,2562699
MN,2008,28586753
MR,2008,5427892
MU,2008,40399349
MV,2008,1281766
MW,2008,117940
MX,2008,155787640
MY,2008,138594606
MZ,2008,15580688
NA,2008,6716672
NE,2008,405433
NG,2008,172906674
NI,2008,7712319
NP,2008,57464168
PA,2008,15981444
PE,2008,247950225
PG,2008,122687880
PH,2008,1028388526
PK,2008,403688735
PS,2008,1809648
PY,2008,61215225
RS,2008,10731315
RW,2008,975737
SB,2008,1141542
SC,2008,959441
SD,2008,1530796
SL,2008,141964
SN,2008,12615680
SR,2008,1499212
ST,2008,1039358
SV,2008,44535922
SY,2008,124663287
SZ,2008,5246519
TD,2008,86433109
TG,2008,137594975
TH,2008,1135046589
TJ,2008,37134341
TM,2008,27087578
TN,2008,195020445
TO,2008,201205
TR,2008,450977878
TZ,2008,4986084
UA,2008,12476209
UG,2008,8300641
UY,2008,15435752
UZ,2008,30101577
VC,2008,1227204
VN,2008,337485545
VU,2008,1236972
WF,2008,573714
WS,2008,1283597
YE,2008,105364576
YT,2008,4836961
ZA,2008,39697990
ZM,2008,22641711
ZW,2008,2051005
51,2009,123605878
52,2009,7726291
53,2009,1272582
54,2009,45676
55,2009,66686303
56,2009,8389485
59,2009,11005508
63,2009,3322939
64,2009,1951205
65,2009,2540226
66,2009,67958
67,2009,873817
AF,2009,3922331
AG,2009,215493
AL,2009,42123542
AM,2009,45152805
AO,2009,62210104
AR,2009,37103598
AZ,2009,45833069
BA,2009,19905643
BB,2009,1341098
BD,2009,462540343
BF,2009,12131364
BI,2009,2959911
BJ,2009,5724154
BO,2009,15136541
BR,2009,280949946
BT,2009,2453016
BW,2009,10920579
BY,2009,3864451
BZ,2009,1486105
CD,2009,155714140
CF,2009,4518401
CG,2009,34908934
CI,2009,93048969
CK,2009,150631
CL,2009,25645011
CM,2009,123357209
CN,2009,1904509144
CO,2009,59954182
CR,2009,35945309
CU,2009,1398245
CV,2009,16847517
