Code,year,Budget type,value
AF,2010,Actual,170.2588543
AF,2011,Actual,203.1188203
AF,2012,Actual,193.9772828
AF,2013,Actual,181.3214523
AF,2014,Actual,154.631385
AF,2015,Projected ,171.6772057
AG,2010,Actual,4535.622083
AG,2011,Actual,4147.563764
AG,2012,Actual,4445.182724
AG,2013,Actual,4201.975908
AG,2014,Projected ,4643.2084
AG,2015,Projected ,5142.264369
AL,2010,Actual,2511.268389
AL,2011,Actual,2553.761877
AL,2012,Actual,2556.654455
AL,2013,Actual,2525.861767
AL,2014,Projected ,2865.405101
AL,2015,Projected ,3163.587015
AM,2010,Actual,1218.098694
AM,2011,Actual,1253.172916
AM,2012,Actual,1469.133027
AM,2013,Projected ,1626.767785
AM,2014,Projected ,1631.26039
AM,2015,Projected ,1613.262325
AO,2010,Actual,3600.906162
AO,2011,Actual,3354.591474
AO,2012,Actual,3060.219871
AO,2013,Actual,2826.574957
AO,2014,Projected ,2683.2352
AO,2015,Projected ,3473.215554
AT,2010,Actual,21132.57618
AT,2011,Actual,21692.7269
AT,2012,Actual,21953.03476
AT,2013,Actual,22331.38443
AT,2014,Projected ,22489.36124
AT,2015,Projected ,22629.6975
AU,2010,Actual,13786.05192
AU,2011,Actual,13692.65345
AU,2012,Actual,14780.85127
AU,2013,Actual,15141.9008
AU,2014,Actual,15553.8499
AU,2015,Projected ,16639.14871
AZ,2010,Actual,8748.962646
AZ,2011,Actual,7330.628136
AZ,2012,Actual,6459.152488
AZ,2013,Projected ,6659.83011
AZ,2014,Projected ,7407.70677
AZ,2015,Projected ,6423.313139
BA,2010,Actual,4046.162574
BA,2011,Actual,4051.06531
BA,2012,Actual,4063.850983
BA,2013,Actual,4126.45941
BA,2014,Projected ,4203.137158
BA,2015,Projected ,4356.480112
BD,2010,Actual,275.7326233
BD,2011,Actual,292.477677
BD,2012,Actual,310.8305722
BD,2013,Actual,307.863815
BD,2014,Projected ,313.9953745
BD,2015,Projected ,320.8707439
BE,2010,Actual,20314.37496
BE,2011,Actual,20725.79837
BE,2012,Actual,21089.18812
BE,2013,Actual,21339.10745
BE,2014,Projected ,21591.5074
BE,2015,Projected ,21759.82002
BF,2010,Actual,242.2441235
BF,2011,Actual,245.7423729
BF,2012,Actual,273.2484888
BF,2013,Projected ,306.6279124
BF,2014,Projected ,345.7622704
BF,2015,Projected ,359.4861511
BI,2010,Actual,153.1210493
BI,2011,Actual,145.8213201
BI,2012,Actual,123.2716019
BI,2013,Actual,104.2896818
BI,2014,Actual,103.2796107
BI,2015,Projected ,97.51784257
BJ,2010,Actual,324.2620478
BJ,2011,Actual,307.0121625
BJ,2012,Actual,322.1650309
BJ,2013,Projected ,344.4984254
BJ,2014,Projected ,357.4376735
BJ,2015,Projected ,377.5001425
BO,2010,Actual,1989.33225
BO,2011,Actual,2010.402636
BO,2012,Actual,2073.55641
BO,2013,Projected ,2138.628428
BO,2014,Projected ,2015.071424
BO,2015,Projected ,2257.034836
BR,2010,Actual,5488.363565
BR,2011,Actual,5486.857597
BR,2012,Actual,5411.303776
BR,2013,Actual,5324.469437
BR,2014,Actual,4975.419651
BR,2015,Projected ,
BT,2010,Actual,2067.641113
BT,2011,Actual,1619.264321
BT,2012,Projected ,1579.052887
BT,2013,Projected ,1365.679665
BT,2014,Projected ,1228.782967
BT,2015,Projected ,1055.975072
BW,2010,Actual,4474.513871
BW,2011,Actual,4187.325436
BW,2012,Actual,4928.016505
BW,2013,Projected ,4930.425243
BW,2014,Projected ,4576.792818
BW,2015,Projected ,4552.190152
BY,2010,Actual,19801.14644
BY,2011,Actual,11612.53218
BY,2012,Actual,7244.844799
BY,2013,Actual,6338.258393
BY,2014,Actual,5112.342049
BY,2015,Projected ,3988.613701
BZ,2010,Actual,2052.991494
BZ,2011,Actual,2100.586078
BZ,2012,Actual,2053.252235
BZ,2013,Actual,1990.823444
BZ,2014,Actual,2044.203822
BZ,2015,Projected ,2073.357647
CA,2010,Actual,15994.93803
CA,2011,Actual,16002.06281
CA,2012,Actual,16175.6609
CA,2013,Actual,16289.67278
CA,2014,Actual,16347.95768
CA,2015,Projected ,16888.1259
CD,2010,Actual,78.52259154
CD,2011,Actual,77.05800485
CD,2012,Actual,91.31903662
CD,2013,Actual,76.04505673
CD,2014,Projected ,86.46110442
CD,2015,Projected ,89.60520206
CF,2010,Actual,107.328402
CF,2011,Actual,101.178067
CF,2012,Actual,109.062686
CF,2013,Actual,31.74533401
CF,2014,Projected ,29.02061176
CF,2015,Projected ,39.41376919
CG,2010,Actual,2355.351421
CG,2011,Actual,2450.845745
CG,2012,Actual,2570.938467
CG,2013,Actual,3140.061436
CG,2014,Projected ,3553.16083
CG,2015,Projected ,5047.368366
CH,2010,Actual,16520.2493
CH,2011,Actual,17257.95678
CH,2012,Actual,17380.38489
CH,2013,Projected ,17830.76268
CH,2014,Projected ,18129.88417
CH,2015,Projected ,18587.00215
CI,2010,Actual,491.3300148
CI,2011,Actual,368.1014417
CI,2012,Actual,503.0291934
CI,2013,Actual,533.8512772
CI,2014,Projected ,538.668973
CI,2015,Projected ,592.9318093
CL,2010,Actual,4218.809171
CL,2011,Actual,4622.187719
CL,2012,Actual,4785.350576
CL,2013,Actual,4618.557211
CL,2014,Projected ,4463.211668
CL,2015,Projected ,4555.486821
CM,2010,Actual,430.8766689
CM,2011,Actual,474.1839289
CM,2012,Actual,480.4732925
