id,colour,detail,source-title,source-link
DZ,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
AO,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
BJ,Red,More than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
BW,Orange,2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
BF,Green,More than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
BI,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CM,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CV,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CF,Green,More than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
TD,Orange,2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
KM,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CG,Orange,2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CI,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
CD,Orange,2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
DJ,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
EG,Green,More than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
GQ,Red,Less than 2,World Bank Statistical Capacity Indicators,http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#
