id,year,value,value-ncu
d314,2015,62.3996992061,211065.8674
d301,2015,51.1402127547,172980.8557
d322,2015,33.7706426979,114228.5954
d323,2015,30.4958429862,103151.6439
d315,2015,38.264264459,129428.1907
d324,2015,77.1044155084,260804.3075
d216,2015,26.8204782312,90719.7883
d316,2015,48.6136357397,164434.7541
d302,2015,32.3500539063,109423.4792
d303,2015,31.2956643295,105857.0253
d217,2015,29.2048916866,98785.0242
d218,2015,40.7310081646,137771.9072
d201,2015,28.4454870978,96216.35175
d420,2015,47.8774706085,161944.6887
d117,2015,48.7454332136,164880.5567
d219,2015,41.9055783911,141744.87
d118,2015,26.9976911971,91319.20799
d220,2015,53.9879213112,182613.179
d225,2015,32.2922377545,109227.9171
d416,2015,43.4775774136,147062.1286
d401,2015,66.3730882999,224505.785
d402,2015,62.4865022959,211359.4773
d202,2015,31.5423421147,106691.4085
d221,2015,32.0488684864,108404.7249
d119,2015,53.2001209035,179948.4582
d120,2015,44.4397484987,150316.6551
d226,2015,33.5265103216,113402.822
d317,2015,37.7001536589,127520.096
d121,2015,42.1149329931,142453.0082
d304,2015,52.9602658003,179137.1526
d403,2015,38.8390550495,131372.4096
d417,2015,51.0707125501,172745.7725
d203,2015,57.8944718848,195827.0165
d418,2015,42.408416761,143445.7118
d204,2015,66.690790821,225580.4081
d318,2015,50.170133483,169699.5799
d404,2015,47.1401353603,159450.6654
d405,2015,37.2318788419,125936.1648
d213,2015,28.6562165364,96929.14031
d101,2015,153.9426273931,520708.186
d222,2015,39.3227551957,133008.5167
d122,2015,39.9658532867,135183.7845
d102,2015,,
d205,2015,38.5309006054,130330.0827
d413,2015,34.2404785875,115817.8069
d414,2015,51.9865852087,175843.6954
d206,2015,44.0868696498,149123.0487
d406,2015,42.986101587,145399.7204
d207,2015,28.8191525074,97480.26832
d112,2015,42.1759486296,142659.3925
d407,2015,35.3583151809,119598.8692
d103,2015,57.5171663288,194550.7872
d227,2015,42.0300766689,142165.9832
d419,2015,36.6725181925,124044.1374
d421,2015,35.1577880313,118920.5897
d408,2015,50.3990621722,170473.9271
d305,2015,35.6107584955,120452.7542
d319,2015,33.9096310154,114698.7209
d325,2015,42.9912107641,145417.0021
d306,2015,52.7989191977,178591.4006
d208,2015,31.774358093,107476.1984
d228,2015,43.4346117468,146916.798
