id,year,value,value-ncu
d314,2015,889792.7278,3009708000
d301,2015,749891.9147,2536496000
d322,2015,238286.5509,8.06E+08
d323,2015,98982.34115,334806000
d315,2015,379751.5999,1284503000
d324,2015,140684.8527,475864000
d216,2015,0,0
d316,2015,1160503.397,3925382000
d302,2015,938245.9032,3173600000
d303,2015,295.640882,1.00E+06
d217,2015,66424.59338,224680000
d218,2015,137047.5829,463561000
d201,2015,292220.317,988430000
d420,2015,34914.00561,118096000
d117,2015,213985.4617,723802000
d219,2015,143581.5421,485662000
d118,2015,203471.585,688239000
d220,2015,136685.7185,462337000
d225,2015,0,0
d416,2015,64758.06572,219043000
d401,2015,230737.0654,780464000
d402,2015,26860.74798,90856000
d202,2015,295640.882,1.00E+09
d221,2015,139388.1718,471478000
d119,2015,6504.099405,2.20E+07
d120,2015,152281.6619,515090000
d226,2015,46119.9776,1.56E+08
d317,2015,192166.5733,6.50E+08
d121,2015,85809.17473,290248000
d304,2015,2591982.357,8767334000
d403,2015,0,0
d417,2015,298609.1165,1010040000
d203,2015,0,0
d418,2015,48535.3636,164170000
d204,2015,35476.90584,1.20E+08
d318,2015,452251.6134,1529733000
d404,2015,64779.94315,219117000
d405,2015,39024.59643,1.32E+08
d213,2015,168948.4167,571465000
d101,2015,1374654.417,4649744000
d222,2015,233786.0098,790777000
d122,2015,157232.1685,531835000
d102,2015,,
d205,2015,1191488000,1191488000
d413,2015,1793478000,1793478000
d414,2015,860694000,860694000
d206,2015,311278000,311278000
d406,2015,172388000,172388000
d207,2015,1417218000,1417218000
d112,2015,275421000,275421000
d407,2015,651736000,651736000
d103,2015,96692000,96692000
d227,2015,0,0
d419,2015,1099456000,1099456000
d421,2015,247100000,247100000
d408,2015,1146692000,1146692000
d305,2015,1442023000,1442023000
d319,2015,820502000,820502000
d325,2015,78325000,78325000
d306,2015,1089639000,1089639000
d208,2015,1299454000,1299454000
d228,2015,0,0
d123,2015,8580000,8580000
d422,2015,923181000,923181000
d415,2015,3646594000,3646594000
d326,2015,4889787000,4889787000
d307,2015,84960000,84960000
d229,2015,,
d104,2015,899967000,899967000
d124,2015,575610000,575610000
d114,2015,230880000,230880000
d223,2015,3.65E+08,3.65E+08
d320,2015,951396000,951396000
d105,2015,0,0
d409,2015,0,0
d214,2015,1168283000,1168283000
d209,2015,0,0
d410,2015,198376000,198376000
d423,2015,79900000,79900000
d115,2015,,
d308,2015,0,0
d309,2015,562178000,562178000
d106,2015,549786000,549786000
d107,2015,,
d108,2015,0,0
d311,2015,1742471000,1742471000
d116,2015,0,0
d109,2015,257571000,257571000
d230,2015,1024315000,1024315000
d224,2015,348018000,348018000
d327,2015,6.70E+08,6.70E+08
d310,2015,339754000,339754000
d231,2015,2.16E+08,2.16E+08
d424,2015,904421000,904421000
d411,2015,0,0
d328,2015,5624868000,5624868000
d329,2015,585041000,585041000
d321,2015,794373000,794373000
d312,2015,993538000,993538000
d210,2015,800612000,800612000
d110,2015,1.41E+09,1.41E+09
d425,2015,162225000,162225000
d412,2015,0,0
d111,2015,299140000,299140000
d232,2015,1.82E+08,1.82E+08
d426,2015,202246000,202246000
d215,2015,562912000,562912000
d211,2015,103476000,103476000
d212,2015,0,0
d113,2015,0,0
d313,2015,1707016000,1707016000
d330,2015,978294000,978294000
