id,year,value,value-ncu
AD,1995,,105
AD,1996,,120
AD,1997,,184
AD,1998,,484
AD,1999,,111
AD,2000,,110
AD,2001,,134
AD,2002,,185
AD,2003,,177
AD,2004,,185
AD,2005,,166
AD,2006,,177
AD,2007,,185
AD,2008,,178
AD,2009,,442
AD,2010,,779
AD,2011,,763
AD,2012,,1542
AD,2013,,1267
AE,1995,1575.9185634093,2141
AE,1996,1480.469715585,2130
AE,1997,1519.0106976353,2161
AE,1998,1525.7983160196,2076
AE,1999,1387.9250474625,2055
AE,2000,1284.6163576334,2123
AE,2001,1459.5284097075,2355
AE,2002,1280.4867560224,2144
AE,2003,1300.3790775228,2266
AE,2004,1142.9522471619,2161
AE,2005,993.5666624015,2189
AE,2006,937.6882730397,2313
AE,2007,862.0659937719,2393
AE,2008,854.01487404,2810
AE,2009,1115.1037079232,3112
AE,2010,950.654268971,2945
AE,2011,873.561124932,3134
AE,2012,853.914330528,3136
AE,2013,1073.8191292301,4051
AF,1995,,
AF,1996,,
AF,1997,,
AF,1998,,
AF,1999,,
AF,2000,,
AF,2001,,
AF,2002,2.893583525,50
AF,2003,2.7406116612,63
AF,2004,4.3055164224,108
AF,2005,3.692263073,106
AF,2006,4.9984208664,156
AF,2007,5.3143439141,181
AF,2008,9.1910661223,367
AF,2009,10.5124221733,409
AF,2010,11.9551003136,464
AF,2011,11.0211214275,475
AF,2012,11.9978366729,611
AF,2013,10.863966297,645
AG,1995,325.8406202744,632
AG,1996,306.4331470155,615
AG,1997,326.3810114775,665
AG,1998,343.1871592152,712
AG,1999,360.6323592,750
AG,2000,370.652062776,760
AG,2001,368.38963824,780
AG,2002,360.4955416868,772
AG,2003,370.00944071,785
AG,2004,361.511158674,795
AG,2005,422.5163789262,962
AG,2006,471.1877170491,1083
AG,2007,499.1358191708,1217
AG,2008,501.2694660294,1258
AG,2009,440.1131598945,1107
AG,2010,475.1441321942,1229
AG,2011,474.5073321885,1245
AG,2012,456.3664310128,1232
AG,2013,399.670624848,1056
AL,1995,25.8016882627,1057
AL,1996,23.8492821554,1261
AL,1997,17.4040066752,1472
AL,1998,18.906471188,1870
AL,1999,29.6281899672,2802
AL,2000,28.592758076,2888
AL,2001,30.5945950344,3189
AL,2002,30.783500901,3215
AL,2003,38.2278328432,3619
AL,2004,55.4897513142,4594
AL,2005,58.3843079753,4831
AL,2006,63.8792260848,5292
AL,2007,61.1072675064,4839
AL,2008,76.0641966016,5696
AL,2009,34.6464185994,2994
AL,2010,28.5337584488,2837
AL,2011,30.6640408826,3041
AL,2012,28.0263411184,3032
AL,2013,29.4418891508,3164
AM,1995,19.7617069355,3235
AM,1996,16.8000783156,3378
AM,1997,12.8666107504,3608
AM,1998,15.65278792,5048
AM,1999,15.0280922824,5146
AM,2000,11.2003789046,3814
AM,2001,16.7541863016,6116
AM,2002,15.9960467784,6087
AM,2003,20.208755286,8115
AM,2004,22.511318796,8856
AM,2005,40.7501928924,14172
AM,2006,54.9059791365,18159
AM,2007,78.0150321344,22112
AM,2008,78.7465820863,21149
AM,2009,65.0554417525,21275
AM,2010,61.9281005,22450
AM,2011,65.5737812976,24712
AM,2012,62.9082673918,25274
AM,2013,64.0303200075,27075
AO,1995,,
AO,1996,26400.7292031772,1
AO,1997,22373.4654707604,3
AO,1998,8907.9398726028,3
AO,1999,1733.2193816073,27
AO,2000,378.985697167,110
AO,2001,289.4310225345,385
AO,2002,105.865766424,615
AO,2003,77.8824426996,1428
AO,2004,88.397078469,2534
AO,2005,81.424531658,3092
AO,2006,149.7637038456,5928
AO,2007,136.2102539935,5795
AO,2008,188.0833154584,9368
AO,2009,172.8946736076,8429
AO,2010,115.6083535224,7992
AO,2011,119.0446692316,10444
AO,2012,118.396144462,11303
AO,2013,174.8262038325,17193
AR,1995,688.172713242,140
AR,1996,673.7829344741,137
AR,1997,716.446461977,145
AR,1998,779.1510791335,155
AR,1999,839.8150296296,164
AR,2000,780.5001637818,154
AR,2001,773.7809286459,151
AR,2002,190.2197397315,155
AR,2003,222.179918396,184
AR,2004,237.131452119,215
AR,2005,268.6529373244,268
AR,2006,273.26753982,330
AR,2007,297.7885196715,429
AR,2008,320.8211123113,571
AR,2009,319.049518977,735
AR,2010,216.941144097,615
AR,2011,242.7671819893,851
AR,2012,323.8372998718,1474
AR,2013,281.786715635,1825
AT,1995,1096.1730146124,642
AT,1996,1057.4135035616,656
AT,1997,991.6377267342,707
AT,1998,1032.5735141274,749
AT,1999,1047.4251504375,795
AT,2000,924.9739068096,818
AT,2001,902.6505415266,839
AT,2002,961.465677315,858
AT,2003,1171.3225943352,883
AT,2004,1333.908533802,930
AT,2005,1383.075413182,982
AT,2006,1418.442169371,1018
AT,2007,1608.8505532814,1079
AT,2008,1833.590853353,1165
AT,2009,1810.977222977,1235
AT,2010,1748.968945667,1270
AT,2011,1883.6026467225,1331
AT,2012,1775.3760733965,1381
AT,2013,1814.140320051,1390
AU,1995,1725.5867663952,1394
AU,1996,1895.0395319328,1474
AU,1997,1915.6274638763,1591
AU,1998,1701.8547538994,1678
AU,1999,1901.006854865,1850
AU,2000,1755.9821459835,1977
AU,2001,1600.7376131568,2096
AU,2002,1778.2952999043,2283
AU,2003,2149.164535651,2378
AU,2004,2577.8063677051,2611
AU,2005,2694.4444781839,2753
AU,2006,2714.9419378506,2949
AU,2007,3140.8158245412,3198
AU,2008,3229.53191691,3445
AU,2009,3158.1807624628,3638
AU,2010,3682.67889682,3850
AU,2011,4255.3272412216,4132
AU,2012,4296.0300120309,4147
AU,2013,4034.5682057312,4216
AZ,1995,21.129055504,4
AZ,1996,21.7121861605,5
AZ,1997,22.0725077835,5
AZ,1998,18.3828859236,4
AZ,1999,21.0866156705,5
AZ,2000,16.506428151,5
AZ,2001,14.993756386,5
AZ,2002,16.3279247184,6
AZ,2003,17.6793972579,7
AZ,2004,23.312382603,10
AZ,2005,27.1154712387,13
AZ,2006,37.7614136636,19
AZ,2007,54.6595684192,32
AZ,2008,54.6522193663,37
AZ,2009,93.1203833874,53
AZ,2010,85.1720162535,55
AZ,2011,79.8090421757,61
AZ,2012,90.3813370877,71
AZ,2013,89.5215588602,71
BA,1995,,0
BA,1996,,1
BA,1997,,2
BA,1998,1.9383757496,2
BA,1999,2.673870261,3
BA,2000,2.1625193022,3
BA,2001,2.6737094276,4
BA,2002,2.6775893932,4
BA,2003,3.9575706395,5
BA,2004,8.496465036,10
BA,2005,10.6881104161,13
BA,2006,13.1924470541,17
BA,2007,8.756963116,11
BA,2008,14.9807679813,19
BA,2009,38.1314706756,51
BA,2010,30.9009151528,44
BA,2011,33.7653568701,47
BA,2012,28.90588327,44
BA,2013,7.4350893265,11
BB,1995,442.9097346816,612
BB,1996,453.6170514336,636
BB,1997,456.177885849,645
BB,1998,449.35404032,695
BB,1999,459.575583879,746
BB,2000,486.6985385064,792
BB,2001,514.8109246566,858
BB,2002,553.2304819364,932
BB,2003,543.3833445354,927
BB,2004,530.9314610606,958
BB,2005,511.0234590391,983
BB,2006,528.8334265247,1067
BB,2007,594.816932593,1235
BB,2008,644.1410819304,1341
BB,2009,621.5554531095,1365
BB,2010,599.9095562499,1269
BB,2011,595.6393916704,1232
BB,2012,614,1228
BB,2013,611.6840418568,1228
BD,1995,9.605154879,162
BD,1996,9.372537172,170
BD,1997,8.058860336,160
BD,1998,7.5001776979,167
BD,1999,7.3610522112,177
BD,2000,7.390024608,192
BD,2001,7.7955777966,222
BD,2002,7.98291683,245
BD,2003,7.5818637768,244
BD,2004,8.2087145838,283
BD,2005,7.3509500448,288
BD,2006,7.8672226096,346
BD,2007,7.7396389826,371
BD,2008,7.869141657,405
BD,2009,8.4570935827,467
BD,2010,9.1687781694,554
BD,2011,8.9312613936,624
BD,2012,8.4370363066,671
BD,2013,10.3622646153,871
BE,1995,368.62987524,200
BE,1996,382.6793077467,219
BE,1997,327.14248044,218
BE,1998,268.6131859875,185
BE,1999,288.6070590416,208
BE,2000,258.0918031617,219
BE,2001,259.6846872288,232
BE,2002,214.061496228,185
BE,2003,404.8425029518,298
BE,2004,424.107654868,290
BE,2005,458.011382496,320
BE,2006,459.530343443,326
BE,2007,480.95528192,320
BE,2008,559.3376051988,354
BE,2009,558.6018066594,378
BE,2010,511.8095752511,371
BE,2011,540.3738694152,381
BE,2012,516.8009141868,402
BE,2013,548.934825684,420
BF,1995,7.3261808165,2177
BF,1996,8.0135707792,2449
BF,1997,7.7880688074,2758
BF,1998,7.9942340787,3089
BF,1999,8.4410595534,3554
BF,2000,6.687583539,3230
