country,year,income-share-top-10pc
VC,2006,
VE,2006,33.17
VI,2006,
VN,2006,27.79
VU,2006,
PS,2006,
WS,2006,
YE,2006,
ZA,2006,57.54
CD,2006,34.69
ZM,2006,43.14
ZW,2006,
AW,2007,
AD,2007,
AF,2007,
AO,2007,
AL,2007,
AE,2007,
AR,2007,34.7
AM,2007,24.62
AS,2007,
AG,2007,
AU,2007,
AT,2007,
AZ,2007,
BI,2007,
BE,2007,
BJ,2007,
BF,2007,
BD,2007,
BG,2007,22.17
BH,2007,
BS,2007,
BA,2007,27.25
BY,2007,23.14
BZ,2007,
BM,2007,
BO,2007,45.37
BR,2007,43.82
BB,2007,
BN,2007,
BT,2007,29.36
BW,2007,
CF,2007,
CA,2007,
CH,2007,
CL,2007,
CN,2007,
CI,2007,
CM,2007,30.36
CG,2007,
CO,2007,47.84
KM,2007,
CV,2007,
CR,2007,38.72
CU,2007,
CW,2007,
KY,2007,
CY,2007,
CZ,2007,
DE,2007,
DJ,2007,
DM,2007,
DK,2007,
DO,2007,38.35
DZ,2007,
EC,2007,43.25
EG,2007,
ER,2007,
ES,2007,
EE,2007,
ET,2007,
FI,2007,
FJ,2007,
FR,2007,
FO,2007,
FM,2007,
GA,2007,
GB,2007,
GE,2007,30
GH,2007,
GN,2007,30.34
GM,2007,
GW,2007,
GQ,2007,
GR,2007,
GD,2007,
GL,2007,
GT,2007,
GU,2007,
GY,2007,
HK,2007,
HN,2007,43.81
HR,2007,
HT,2007,
HU,2007,25.44
ID,2007,
IN,2007,
IE,2007,
IR,2007,
IQ,2007,25.24
IS,2007,
IL,2007,
IT,2007,
JM,2007,
JO,2007,
JP,2007,
KZ,2007,25.23
KE,2007,
KG,2007,27.87
KH,2007,37.25
KI,2007,
KN,2007,
KR,2007,
XK,2007,
KW,2007,
LA,2007,
LB,2007,
LR,2007,30.1
LY,2007,
LC,2007,
LI,2007,
LK,2007,32.94
LS,2007,
LT,2007,
LU,2007,
LV,2007,27.89
MO,2007,
MF,2007,
MA,2007,33.22
MC,2007,
MD,2007,27.41
MG,2007,
MV,2007,
MX,2007,
MH,2007,
MK,2007,
ML,2007,
MT,2007,
MM,2007,
ME,2007,23.88
MN,2007,
MP,2007,
MZ,2007,
MR,2007,
MU,2007,
MW,2007,
MY,2007,34.76
NA,2007,
NC,2007,
NE,2007,
NG,2007,
NI,2007,
NL,2007,
NO,2007,
NP,2007,
NZ,2007,
OM,2007,
PK,2007,
PA,2007,
PE,2007,39.34
PH,2007,
PW,2007,
PG,2007,
PL,2007,26.89
PR,2007,
KP,2007,
PT,2007,
PY,2007,42.21
PF,2007,
QA,2007,35.9
RO,2007,25.63
RU,2007,34.45
RW,2007,
SA,2007,
SD,2007,
SN,2007,
SG,2007,
SB,2007,
SL,2007,
SV,2007,36.13
SM,2007,
SO,2007,
RS,2007,23.53
SS,2007,
ST,2007,
SR,2007,
SK,2007,24.27
SI,2007,
SE,2007,
SZ,2007,
SX,2007,
SC,2007,60.16
SY,2007,
TC,2007,
TD,2007,
TG,2007,
TH,2007,
TJ,2007,25.44
TM,2007,
TL,2007,
TO,2007,
TT,2007,
TN,2007,
TR,2007,29.44
TV,2007,
TZ,2007,29.61
UG,2007,
UA,2007,23.88
UY,2007,36.31
US,2007,
UZ,2007,
VC,2007,
VE,2007,
VI,2007,
VN,2007,
VU,2007,
PS,2007,30.16
WS,2007,
YE,2007,
ZA,2007,
CD,2007,
ZM,2007,
ZW,2007,
AW,2008,
AD,2008,
AF,2008,23.21
AO,2008,
AL,2008,28.99
AE,2008,
AR,2008,33.59
AM,2008,25.4
