country,year,from_trademispricing
AE,2001,0.00
AE,2002,0.00
AE,2003,0.00
AE,2004,0.00
AE,2005,0.00
AE,2006,0.00
AE,2007,0.00
AE,2008,0.00
AE,2009,1426.99
AE,2010,0.00
AE,2011,0.00
AF,2001,
AF,2002,2878.71
AF,2003,1809.71
AF,2004,1196.80
AF,2005,881.51
AF,2006,251.99
AF,2007,0.00
AF,2008,0.00
AF,2009,0.00
AF,2010,0.00
AF,2011,0.00
AG,2001,
AG,2002,
AG,2003,
AG,2004,
AG,2005,
AG,2006,
AG,2007,
AG,2008,
AG,2009,
AG,2010,
AG,2011,0.00
AL,2001,26.04
AL,2002,2.55
AL,2003,22.95
AL,2004,15.31
AL,2005,95.67
AL,2006,113.77
AL,2007,256.71
AL,2008,135.93
AL,2009,50.60
AL,2010,42.32
AL,2011,264.05
AM,2001,572.41
AM,2002,174.78
AM,2003,447.24
AM,2004,384.37
AM,2005,526.96
AM,2006,481.52
AM,2007,826.18
AM,2008,974.63
AM,2009,834.93
AM,2010,1000.74
AM,2011,1064.84
AO,2001,
AO,2002,
AO,2003,
AO,2004,
AO,2005,
AO,2006,
AO,2007,
AO,2008,
AO,2009,
AO,2010,2164.77
AO,2011,0.00
AR,2001,884.45
AR,2002,1427.19
AR,2003,0.00
AR,2004,1780.42
AR,2005,1020.35
AR,2006,0.00
AR,2007,1269.35
AR,2008,5211.05
AR,2009,0.00
AR,2010,0.00
AR,2011,0.00
AW,2001,
AW,2002,
AW,2003,
AW,2004,
AW,2005,
AW,2006,
AW,2007,
AW,2008,
AW,2009,
AW,2010,
AW,2011,
AZ,2001,
AZ,2002,
AZ,2003,
AZ,2004,
AZ,2005,
AZ,2006,
AZ,2007,
AZ,2008,
AZ,2009,
AZ,2010,
AZ,2011,
BA,2001,962.25
BA,2002,0.00
BA,2003,0.00
BA,2004,0.00
BA,2005,0.00
BA,2006,0.00
BA,2007,0.00
BA,2008,0.00
BA,2009,0.00
BA,2010,0.00
BA,2011,0.00
BB,2001,28.42
BB,2002,357.75
BB,2003,386.28
BB,2004,636.43
BB,2005,555.39
BB,2006,68.21
BB,2007,52.30
BB,2008,0.00
BB,2009,0.00
BB,2010,24.40
BB,2011,0.00
BD,2001,1034.09
BD,2002,389.80
BD,2003,1086.81
BD,2004,1043.64
BD,2005,540.72
BD,2006,2662.01
BD,2007,2067.82
BD,2008,1036.70
BD,2009,401.05
BD,2010,2189.87
BD,2011,1662.32
BF,2001,338.53
BF,2002,232.41
BF,2003,158.59
BF,2004,402.08
BF,2005,254.31
BF,2006,255.07
BF,2007,395.44
BF,2008,406.87
BF,2009,434.05
BF,2010,402.18
BF,2011,516.95
BG,2001,1359.69
BG,2002,2541.13
BG,2003,3174.63
BG,2004,3755.27
BG,2005,2724.80
BG,2006,2044.70
BG,2007,1844.93
BG,2008,1152.92
BG,2009,911.39
BG,2010,765.46
BG,2011,1711.21
BH,2001,
BH,2002,
BH,2003,
BH,2004,
BH,2005,
BH,2006,
BH,2007,
BH,2008,
BH,2009,
BH,2010,
BH,2011,
BI,2001,0.00
BI,2002,12.47
BI,2003,4.22
BI,2004,0.00
BI,2005,46.10
BI,2006,201.88
BI,2007,37.73
BI,2008,33.83
BI,2009,56.84
BI,2010,57.60
BI,2011,163.76
BJ,2001,0.00
BJ,2002,0.00
BJ,2003,93.35
BJ,2004,147.75
BJ,2005,44.50
BJ,2006,0.00
BJ,2007,0.00
BJ,2008,0.00
BJ,2009,0.00
BJ,2010,206.09
BJ,2011,0.00
BN,2001,0.00
BN,2002,1132.15
BN,2003,1503.69
BN,2004,799.23
BN,2005,1066.66
BN,2006,0.00
BN,2007,1346.21
BN,2008,232.29
BN,2009,554.60
BN,2010,0.00
BN,2011,0.00
BO,2001,344.51
BO,2002,475.56
BO,2003,0.00
BO,2004,0.00
BO,2005,0.00
BO,2006,0.00
BO,2007,0.00
BO,2008,0.00
BO,2009,0.00
BO,2010,0.00
BO,2011,0.00
BR,2001,0.00
BR,2002,27289.65
BR,2003,32202.46
BR,2004,34985.37
BR,2005,32787.34
BR,2006,17756.32
BR,2007,19975.17
BR,2008,27095.33
BR,2009,27374.39
BR,2010,29054.97
BR,2011,29509.56
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BT,2001,
BT,2002,
BT,2003,
BT,2004,
BT,2005,
BT,2006,
BT,2007,
BT,2008,
BT,2009,
BT,2010,
BT,2011,
BW,2001,115.02
BW,2002,115.76
BW,2003,0.00
BW,2004,195.86
BW,2005,243.01
BW,2006,628.47
BW,2007,1253.23
BW,2008,1257.00
BW,2009,1180.65
BW,2010,215.17
BW,2011,1289.91
BY,2001,
BY,2002,4939.64
BY,2003,6019.47
BY,2004,6443.64
BY,2005,5713.83
BY,2006,6595.07
BY,2007,9984.60
BY,2008,13360.69
BY,2009,10288.37
BY,2010,8974.91
BY,2011,14747.46
BZ,2001,131.54
BZ,2002,76.06
BZ,2003,102.97
BZ,2004,103.63
BZ,2005,106.36
BZ,2006,85.02
BZ,2007,142.91
BZ,2008,146.17
BZ,2009,106.08
BZ,2010,76.67
BZ,2011,114.90
CD,2001,629.73
CD,2002,597.45
CD,2003,744.96
CD,2004,997.73
CD,2005,1416.70
CD,2006,741.88
CD,2007,262.06
CD,2008,0.00
CD,2009,347.88
CD,2010,333.07
CD,2011,0.00
CF,2001,63.69
CF,2002,122.85
CF,2003,19.16
CF,2004,7.86
CF,2005,16.00
CF,2006,0.00
CF,2007,3.17
CF,2008,0.00
CF,2009,35.06
CF,2010,33.80
CF,2011,28.35
CG,2001,3434.57
CG,2002,0.00
CG,2003,2333.10
CG,2004,5831.64
CG,2005,1077.49
CG,2006,2916.85
CG,2007,1871.41
CG,2008,2406.70
CG,2009,750.77
CG,2010,1861.61
CG,2011,754.49
CI,2001,90.98
CI,2002,2214.15
CI,2003,3192.82
CI,2004,3475.55
CI,2005,4868.88
CI,2006,3205.54
CI,2007,3624.53
CI,2008,2248.77
CI,2009,1207.35
CI,2010,1834.57
CI,2011,978.73
CL,2001,2519.55
CL,2002,4569.28
CL,2003,4176.98
CL,2004,4797.99
CL,2005,5462.61
CL,2006,4780.00
CL,2007,5098.23
CL,2008,10217.64
CL,2009,4579.06
CL,2010,5606.44
CL,2011,5339.71
CM,2001,589.76
CM,2002,164.63
CM,2003,367.07
CM,2004,1071.64
CM,2005,527.46
CM,2006,1086.89
CM,2007,1316.43
CM,2008,1434.67
CM,2009,200.55
CM,2010,331.01
CM,2011,458.29
CN,2001,290086.34
CN,2002,141580.48
CN,2003,141663.30
CN,2004,167803.49
CN,2005,164522.40
CN,2006,161459.60
CN,2007,169598.93
CN,2008,132091.60
CN,2009,117420.15
CN,2010,133175.26
CN,2011,143639.57
CO,2001,3118.16
CO,2002,2413.15
CO,2003,3201.64
CO,2004,3804.62
CO,2005,2405.94
CO,2006,932.38
CO,2007,867.46
CO,2008,3359.09
CO,2009,1756.38
CO,2010,0.00
CO,2011,1624.19
CR,2001,3179.46
CR,2002,3841.78
CR,2003,5861.74
CR,2004,7788.51
CR,2005,8733.92
CR,2006,8557.85
CR,2007,8138.08
CR,2008,9016.23
CR,2009,11686.15
CR,2010,19563.85
CR,2011,21864.05
CV,2001,
CV,2002,19.34
CV,2003,28.19
CV,2004,6.79
CV,2005,10.13
CV,2006,21.51
CV,2007,11.88
CV,2008,14.21
CV,2009,3.58
CV,2010,4.64
CV,2011,0.00
DJ,2001,306.76
DJ,2002,245.47
DJ,2003,302.58
DJ,2004,303.25
DJ,2005,318.87
DJ,2006,402.22
DJ,2007,351.88
DJ,2008,397.25
DJ,2009,339.84
DJ,2010,395.33
DJ,2011,456.57
DM,2001,20.29
DM,2002,14.77
DM,2003,22.28
DM,2004,30.18
DM,2005,48.68
DM,2006,53.31
DM,2007,85.13
DM,2008,166.52
DM,2009,131.68
DM,2010,124.48
DM,2011,172.35
DO,2001,1455.91
DO,2002,654.63
DO,2003,524.45
DO,2004,0.00
DO,2005,0.00
DO,2006,863.64
DO,2007,390.06
DO,2008,1130.39
DO,2009,4127.57
DO,2010,4275.56
DO,2011,3924.35
DZ,2001,4031.32
DZ,2002,1217.30
DZ,2003,1108.71
DZ,2004,1410.93
DZ,2005,0.00
DZ,2006,438.37
DZ,2007,0.00
DZ,2008,0.00
DZ,2009,1441.32
DZ,2010,0.00
DZ,2011,0.00
EC,2001,2118.57
EC,2002,587.47
EC,2003,42.28
EC,2004,1461.11
EC,2005,2075.08
EC,2006,945.37
EC,2007,917.07
EC,2008,5768.91
EC,2009,452.95
EC,2010,780.02
EC,2011,1406.72
EG,2001,1863.95
EG,2002,2922.11
EG,2003,2646.54
EG,2004,7058.41
EG,2005,5573.62
EG,2006,8334.74
EG,2007,7756.45
EG,2008,4475.73
EG,2009,0.00
EG,2010,1184.50
EG,2011,3875.03
ER,2001,
ER,2002,
ER,2003,
ER,2004,
ER,2005,
ER,2006,
ER,2007,
ER,2008,
ER,2009,
ER,2010,
ER,2011,
ET,2001,1384.20
ET,2002,692.06
ET,2003,204.06
ET,2004,95.26
ET,2005,1341.78
ET,2006,1783.30
ET,2007,1815.62
ET,2008,2043.83
ET,2009,2537.29
ET,2010,3071.68
ET,2011,2873.33
FJ,2001,282.59
FJ,2002,113.54
FJ,2003,296.95
FJ,2004,306.94
FJ,2005,194.13
FJ,2006,306.40
FJ,2007,260.55
FJ,2008,403.47
FJ,2009,254.85
FJ,2010,295.64
FJ,2011,342.44
GA,2001,1962.94
GA,2002,966.93
GA,2003,506.71
GA,2004,467.74
GA,2005,0.00
GA,2006,0.00
GA,2007,0.00
GA,2008,0.00
GA,2009,218.97
GA,2010,355.63
GA,2011,131.70
GD,2001,
GD,2002,42.34
GD,2003,53.03
GD,2004,29.68
GD,2005,62.02
GD,2006,51.02
GD,2007,65.78
GD,2008,60.82
GD,2009,51.18
GD,2010,62.84
GD,2011,72.03
GE,2001,605.98
GE,2002,601.46
GE,2003,880.20
GE,2004,857.11
GE,2005,680.49
GE,2006,984.77
GE,2007,515.13
GE,2008,893.48
GE,2009,627.35
GE,2010,345.08
GE,2011,226.44
GH,2001,1195.91
GH,2002,0.00
GH,2003,0.00
GH,2004,0.00
GH,2005,0.00
GH,2006,0.00
GH,2007,0.00
GH,2008,0.00
GH,2009,0.00
GH,2010,0.00
GH,2011,0.00
GM,2001,18.83
GM,2002,21.27
GM,2003,12.68
GM,2004,33.97
GM,2005,22.65
GM,2006,25.58
GM,2007,28.54
GM,2008,26.99
GM,2009,37.46
GM,2010,44.18
GM,2011,34.67
GN,2001,423.61
GN,2002,158.67
GN,2003,205.68
GN,2004,523.39
GN,2005,466.56
GN,2006,478.03
GN,2007,745.38
GN,2008,285.39
GN,2009,0.00
GN,2010,394.61
GN,2011,432.48
GQ,2001,1947.95
GQ,2002,244.63
GQ,2003,0.00
GQ,2004,860.50
GQ,2005,324.85
GQ,2006,579.86
GQ,2007,1344.46
GQ,2008,2141.65
GQ,2009,4723.44
GQ,2010,3815.86
GQ,2011,3276.19
GT,2001,3683.66
GT,2002,2358.44
GT,2003,2219.53
GT,2004,2212.87
GT,2005,2246.29
GT,2006,1254.38
GT,2007,1309.60
GT,2008,1120.53
GT,2009,4046.96
GT,2010,2313.22
GT,2011,2936.33
GW,2001,25.38
GW,2002,63.67
GW,2003,7.70
GW,2004,41.72
GW,2005,22.00
GW,2006,14.49
GW,2007,201.10
GW,2008,1.85
GW,2009,29.62
GW,2010,65.74
GW,2011,102.31
GY,2001,149.94
GY,2002,106.43
GY,2003,105.72
GY,2004,142.45
GY,2005,223.06
GY,2006,135.33
GY,2007,282.02
GY,2008,251.83
GY,2009,223.04
GY,2010,246.41
GY,2011,276.47
HN,2001,3922.38
HN,2002,4203.11
HN,2003,4265.54
HN,2004,4511.06
HN,2005,4434.05
HN,2006,4280.64
HN,2007,4028.49
HN,2008,4048.52
HN,2009,3275.49
HN,2010,3770.38
HN,2011,3593.04
HR,2001,982.85
HR,2002,658.20
HR,2003,894.22
HR,2004,396.95
HR,2005,155.51
HR,2006,0.00
HR,2007,0.00
HR,2008,0.00
HR,2009,0.00
HR,2010,0.00
HR,2011,0.00
HT,2001,3.87
HT,2002,20.95
HT,2003,74.54
HT,2004,77.41
HT,2005,66.00
HT,2006,131.29
HT,2007,119.32
HT,2008,136.76
HT,2009,38.89
HT,2010,66.70
HT,2011,56.00
HU,2001,0.00
HU,2002,0.00
HU,2003,0.00
HU,2004,0.00
HU,2005,0.00
HU,2006,0.00
HU,2007,0.00
HU,2008,0.00
HU,2009,0.00
HU,2010,0.00
HU,2011,0.00
ID,2001,964.07
ID,2002,33604.65
ID,2003,29349.21
ID,2004,33140.79
ID,2005,26947.01
ID,2006,27247.92
ID,2007,25989.38
ID,2008,37025.72
ID,2009,23837.72
ID,2010,14589.84
ID,2011,15834.34
IN,2001,12274.95
IN,2002,12906.05
IN,2003,15409.60
IN,2004,26466.35
IN,2005,26194.02
IN,2006,35428.86
IN,2007,35802.77
IN,2008,50783.36
IN,2009,31324.81
IN,2010,65038.05
IN,2011,78555.17
IQ,2001,
IQ,2002,
IQ,2003,
IQ,2004,
IQ,2005,
IQ,2006,
IQ,2007,
IQ,2008,12604.57
IQ,2009,18132.91
IQ,2010,18388.34
IQ,2011,12401.83
IR,2001,0.00
IR,2002,0.00
IR,2003,0.00
IR,2004,0.00
IR,2005,0.00
IR,2006,0.00
IR,2007,0.00
IR,2008,0.00
IR,2009,0.00
IR,2010,0.00
IR,2011,0.00
JM,2001,355.10
JM,2002,431.08
JM,2003,661.99
JM,2004,596.86
JM,2005,906.03
JM,2006,411.21
JM,2007,33.52
JM,2008,607.80
JM,2009,576.16
JM,2010,179.15
JM,2011,228.86
JO,2001,0.00
JO,2002,0.00
JO,2003,0.00
JO,2004,224.81
JO,2005,0.00
JO,2006,0.00
JO,2007,0.00
JO,2008,116.52
JO,2009,152.64
JO,2010,0.00
JO,2011,0.00
KE,2001,142.34
KE,2002,0.00
KE,2003,0.00
KE,2004,22.83
KE,2005,0.00
KE,2006,0.00
KE,2007,0.00
KE,2008,0.00
KE,2009,0.00
KE,2010,0.00
KE,2011,0.00
KG,2001,
KG,2002,0.00
KG,2003,0.00
KG,2004,0.00
KG,2005,0.00
KG,2006,0.00
KG,2007,0.00
KG,2008,0.00
KG,2009,0.00
KG,2010,0.00
KG,2011,0.00
KH,2001,392.42
KH,2002,427.69
KH,2003,498.00
KH,2004,592.39
KH,2005,0.00
KH,2006,0.00
KH,2007,0.00
KH,2008,0.00
KH,2009,0.00
KH,2010,0.00
KH,2011,0.00
KI,2001,
KI,2002,
KI,2003,
KI,2004,
KI,2005,
KI,2006,
KI,2007,
KI,2008,
KI,2009,
KI,2010,
KI,2011,
KM,2001,45.24
KM,2002,17.95
KM,2003,9.15
KM,2004,21.60
KM,2005,21.63
KM,2006,32.22
KM,2007,23.31
KM,2008,21.61
KM,2009,29.19
KM,2010,27.74
KM,2011,100.29
KN,2001,
KN,2002,66.34
KN,2003,20.88
KN,2004,34.16
KN,2005,55.10
KN,2006,46.05
KN,2007,49.43
KN,2008,29.53
KN,2009,52.18
KN,2010,71.21
KN,2011,46.56
KW,2001,754.64
KW,2002,1063.33
KW,2003,0.00
KW,2004,153.51
KW,2005,1509.64
KW,2006,1568.04
KW,2007,730.49
KW,2008,0.00
KW,2009,2314.76
KW,2010,0.00
KW,2011,2235.54
KZ,2001,1716.32
KZ,2002,3986.24
KZ,2003,354.84
KZ,2004,0.00
KZ,2005,0.00
KZ,2006,0.00
KZ,2007,0.00
KZ,2008,0.00
KZ,2009,0.00
KZ,2010,909.21
KZ,2011,2677.20
LA,2001,0.00
LA,2002,0.00
LA,2003,0.00
LA,2004,12.70
LA,2005,0.00
LA,2006,185.03
LA,2007,169.55
LA,2008,228.19
LA,2009,232.87
LA,2010,86.93
LA,2011,491.23
LB,2001,1473.10
LB,2002,717.21
LB,2003,0.00
LB,2004,288.48
LB,2005,1428.76
LB,2006,495.16
LB,2007,1297.34
LB,2008,1558.44
LB,2009,1059.28
LB,2010,571.99
LB,2011,285.57
LC,2001,
LC,2002,26.31
LC,2003,76.99
LC,2004,79.69
LC,2005,94.05
LC,2006,229.12
LC,2007,29.29
LC,2008,0.00
LC,2009,8.78
LC,2010,0.00
LC,2011,0.00
LK,2001,0.00
LK,2002,0.00
LK,2003,0.00
LK,2004,0.00
LK,2005,0.00
LK,2006,0.00
LK,2007,0.00
LK,2008,0.00
LK,2009,0.00
LK,2010,0.00
LK,2011,0.00
LR,2001,
LR,2002,1827.91
LR,2003,1506.42
LR,2004,1426.66
LR,2005,1453.44
LR,2006,2191.20
LR,2007,2458.97
LR,2008,740.83
LR,2009,1280.09
LR,2010,805.85
LR,2011,403.01
LS,2001,37.69
LS,2002,38.38
LS,2003,0.00
LS,2004,0.00
LS,2005,0.00
LS,2006,194.50
LS,2007,340.58
LS,2008,377.54
LS,2009,391.33
LS,2010,0.00
LS,2011,373.06
LT,2001,0.00
LT,2002,2633.38
LT,2003,3125.78
LT,2004,1648.00
LT,2005,1972.51
LT,2006,1111.75
LT,2007,1144.07
LT,2008,1813.86
LT,2009,999.59
LT,2010,1577.11
LT,2011,4044.91
LV,2001,1956.14
LV,2002,2210.53
LV,2003,2380.55
LV,2004,3413.04
LV,2005,3279.81
LV,2006,3673.73
LV,2007,3337.35
LV,2008,2554.08
LV,2009,2101.38
LV,2010,1715.11
LV,2011,3750.60
LY,2001,4716.21
