country,year,in_ha
AE,2000,0
AE,2001,0
AE,2002,0
AE,2003,0
AE,2004,0
AE,2005,0
AE,2006,0
AE,2007,0
AE,2008,0
AE,2009,0
AE,2010,0
AE,2011,0
AE,2012,0
AF,2000,181520000
AF,2001,586850000
AF,2002,1114860000
AF,2003,529980000
AF,2004,462590000
AF,2005,340470000
AF,2006,380570000
AF,2007,351100000
AF,2008,930030000
AF,2009,692670000
AF,2010,642440000
AF,2011,767980000
AF,2012,492140000
AG,2000,0
AG,2001,0
AG,2002,20000
AG,2003,0
AG,2004,0
AG,2005,80000
AG,2006,10000
AG,2007,10000
AG,2008,0
AG,2009,120000
AG,2010,0
AG,2011,0
AG,2012,0
AI,2000,170000
AI,2001,10000
AI,2002,0
AI,2003,0
AI,2004,0
AI,2005,80000
AI,2006,10000
AI,2007,0
AI,2008,0
AI,2009,140000
AI,2010,0
AI,2011,0
AI,2012,0
AL,2000,46430000
AL,2001,29030000
AL,2002,29650000
AL,2003,12130000
AL,2004,6350000
AL,2005,4820000
AL,2006,3260000
AL,2007,1860000
AL,2008,6060000
AL,2009,1350000
AL,2010,2520000
AL,2011,1740000
AL,2012,1350000
AM,2000,13630000
AM,2001,27760000
AM,2002,33040000
AM,2003,20210000
AM,2004,14600000
AM,2005,13990000
AM,2006,14390000
AM,2007,9520000
AM,2008,3160000
AM,2009,2690000
AM,2010,5620000
AM,2011,5750000
AM,2012,7460000
AO,2000,168730000
AO,2001,159750000
AO,2002,290450000
AO,2003,340020000
AO,2004,234120000
AO,2005,126860000
AO,2006,62060000
AO,2007,31580000
AO,2008,15110000
AO,2009,9240000
AO,2010,3600000
AO,2011,10670000
AO,2012,14350000
AR,2000,1910000
AR,2001,1910000
AR,2002,13870000
AR,2003,46120000
AR,2004,1180000
AR,2005,1800000
AR,2006,710000
AR,2007,1260000
AR,2008,980000
AR,2009,3670000
AR,2010,1820000
AR,2011,4220000
AR,2012,470000
AW,2000,0
AW,2001,0
AW,2002,0
AW,2003,0
AW,2004,0
AW,2005,0
AW,2006,0
AW,2007,0
AW,2008,0
AW,2009,0
AW,2010,0
AW,2011,0
