country,year,out-oof-net
FR,2004,-255860000
DE,2004,-1180360000
GR,2004,4300000
IT,2004,601970000
JP,2004,-2456760000
KR,2004,350820000
LU,2004,0
NL,2004,174930000
NZ,2004,7760000
NO,2004,460000
PT,2004,-800420000
ES,2004,29750000
SE,2004,-79730000
CH,2004,0
GB,2004,-162730000
US,2004,-800390000
1,2004,-898890000
4,2004,0
5,2004,-1723070000
7,2004,0
8,2004,141620000
9,2004,1040940000
EU,2004,2166210000
14,2004,-4238110000
16,2004,-1741040000
18,2004,-11730000
19,2004,650070000
22,2004,0
24,2004,0
25,2004,0
KW,2004,0
SA,2004,0
TR,2004,1131630000
AE,2004,0
AU,2005,-156650000
AT,2005,362900000
BE,2005,464900000
CA,2005,-752680000
DK,2005,-9960000
FI,2005,0
FR,2005,-1614680000
DE,2005,7870080000
GR,2005,0
IT,2005,-1312790000
JP,2005,-1798240000
KR,2005,755540000
LU,2005,0
NL,2005,172540000
NZ,2005,9580000
NO,2005,6970000
PT,2005,-3090000
ES,2005,76150000
SE,2005,-5000000
CH,2005,0
GB,2005,-102640000
US,2005,-1195650000
1,2005,-395110000
4,2005,0
5,2005,2043350000
7,2005,0
8,2005,21220000
9,2005,42230000
EU,2005,1827110000
14,2005,-3050380000
16,2005,-386260000
18,2005,620000
19,2005,423310000
22,2005,0
24,2005,0
25,2005,0
KW,2005,0
SA,2005,0
TR,2005,494750000
AE,2005,0
AU,2006,316090000
AT,2006,-508900000
BE,2006,-499170000
CA,2006,457400000
DK,2006,-91320000
FI,2006,0
FR,2006,-2637420000
DE,2006,-6308090000
GR,2006,9420000
IT,2006,-1086880000
JP,2006,3690650000
KR,2006,998360000
LU,2006,0
NL,2006,378200000
NZ,2006,10620000
NO,2006,6820000
PT,2006,-22020000
ES,2006,0
SE,2006,-2150000
CH,2006,24370000
GB,2006,-186340000
US,2006,-4448160000
1,2006,-486890000
4,2006,0
5,2006,3109300000
7,2006,0
8,2006,40810000
9,2006,536320000
EU,2006,2067060000
14,2006,-5620810000
16,2006,-2929270000
18,2006,13140000
19,2006,1788210000
22,2006,0
24,2006,0
25,2006,0
KW,2006,0
SA,2006,0
TR,2006,-151630000
AE,2006,0
AU,2007,-32450000
AT,2007,-638550000
BE,2007,-166250000
CA,2007,-4980000
DK,2007,-123090000
FI,2007,100380000
FR,2007,-1187300000
DE,2007,-2509370000
GR,2007,3610000
IT,2007,-265280000
JP,2007,-316600000
KR,2007,938180000
LU,2007,0
NL,2007,0
NZ,2007,9970000
NO,2007,6190000
PT,2007,-229470000
ES,2007,6060000
SE,2007,-50300000
CH,2007,0
GB,2007,-38620000
US,2007,-1760050000
1,2007,116870000
4,2007,0
5,2007,4062010000
7,2007,0
8,2007,49050000
9,2007,1505550000
EU,2007,4708020000
14,2007,91730000
16,2007,1556080000
18,2007,7930000
19,2007,2128250000
22,2007,0
24,2007,0
25,2007,0
KW,2007,0
SA,2007,0
TR,2007,-43600000
AE,2007,0
AU,2008,-150100000
AT,2008,97680000
BE,2008,-131850000
