country-id,year,remittance-usd-2012
AF,2000,
AF,2001,
AF,2002,
AF,2003,
AF,2004,
AF,2005,
AF,2006,
AF,2007,
AF,2008,129632344
AF,2009,291159610
AF,2010,502561086
AF,2011,458398264
AF,2012,460495910
AG,2000,27260202
AG,2001,34482261
AG,2002,22175435
AG,2003,25124034
AG,2004,25775470
AG,2005,21764489
AG,2006,22750128
AG,2007,23066046
AG,2008,23540294
AG,2009,22229535
AG,2010,21095079
AG,2011,20914647
AG,2012,20556413
AL,2000,1125719315
AL,2001,1272802391
AL,2002,1275565742
AL,2003,1261442488
AL,2004,1361287487
AL,2005,1432027902
AL,2006,1452143264
AL,2007,1397194315
AL,2008,1258896519
AL,2009,1228869217
AL,2010,1154055814
AL,2011,1072047570
AL,2012,1027055053
AM,2000,185874744
AM,2001,198211064
AM,2002,281489603
AM,2003,347943532
AM,2004,781604701
AM,2005,729294163
AM,2006,846608821
AM,2007,859508331
AM,2008,912665020
AM,2009,765533616
AM,2010,949097702
AM,2011,1825623808
AM,2012,2122901855
AO,2000,
AO,2001,
AO,2002,
AO,2003,
AO,2004,
AO,2005,
AO,2006,
AO,2007,
AO,2008,97149987
AO,2009,219438
AO,2010,22992600
AO,2011,215623
AO,2012,45000
AR,2000,85080186
AR,2001,188844366
AR,2002,506393177
AR,2003,557546134
AR,2004,581696429
AR,2005,736821551
AR,2006,854431196
AR,2007,849853187
AR,2008,836673513
AR,2009,796437025
AR,2010,744710420
AR,2011,723100784
AR,2012,570242919
AZ,2000,192217756
AZ,2001,344495273
AZ,2002,595638679
AZ,2003,530284190
AZ,2004,651938413
AZ,2005,1479254886
AZ,2006,1589032698
AZ,2007,2024916673
AZ,2008,1917204831
AZ,2009,1813261175
AZ,2010,1790618015
AZ,2011,1963946975
AZ,2012,1990179931
BA,2000,3429855169
BA,2001,3198510148
BA,2002,2897610887
BA,2003,2731069803
BA,2004,2869245410
BA,2005,2722353173
BA,2006,2662935466
BA,2007,2868820750
BA,2008,2509509421
BA,2009,2070851613
BA,2010,1833501287
BA,2011,1829402005
BA,2012,1838499023
BD,2000,2567092738
BD,2001,2869700237
BD,2002,3890910129
BD,2003,4181293831
BD,2004,4590480960
BD,2005,5681798603
BD,2006,7137836324
BD,2007,8087249693
BD,2008,10224383683
BD,2009,11343934505
BD,2010,11118597143
BD,2011,12261415120
BD,2012,14084934570
BF,2000,138547009
BF,2001,101655226
BF,2002,110004335
BF,2003,82915041
BF,2004,62262580
BF,2005,76333434
BF,2006,91493909
BF,2007,101752713
BF,2008,102189125
BF,2009,101956691
BF,2010,126984615
BF,2011,116292320
BF,2012,120344764
BI,2000,
BI,2001,
BI,2002,
BI,2003,
BI,2004,81234
BI,2005,118948
BI,2006,17635
BI,2007,283591
BI,2008,4802630
BI,2009,35065196
BI,2010,39320685
BI,2011,46269355
BI,2012,46433647
BJ,2000,173815859
BJ,2001,167611265
BJ,2002,141771607
BJ,2003,84565599
BJ,2004,87215076
BJ,2005,194270171
BJ,2006,248736199
BJ,2007,273378893
BJ,2008,204478457
BJ,2009,128926085
BJ,2010,147082744
BJ,2011,136701016
BJ,2012,139433074
BO,2000,255556612
BO,2001,284900689
BO,2002,251004617
BO,2003,353365189
BO,2004,451389968
BO,2005,692375781
BO,2006,1078706738
BO,2007,1720848890
BO,2008,1545741823
BO,2009,1432202155
BO,2010,1194713968
BO,2011,1119568100
BO,2012,1110532104
BR,2000,3884349272
BR,2001,4926610338
BR,2002,7642540902
BR,2003,8158369625
BR,2004,9095334331
BR,2005,5540195276
BR,2006,5464670126
BR,2007,4646353203
BR,2008,4450967494
BR,2009,3586490730
BR,2010,2783278679
BR,2011,2515911767
BR,2012,2582640380
BT,2000,
BT,2001,
BT,2002,
BT,2003,
BT,2004,
BT,2005,
BT,2006,3021956
BT,2007,3912166
BT,2008,4134880
BT,2009,5653394
BT,2010,10142594
BT,2011,11242798
BT,2012,10442902
BW,2000,40485042
BW,2001,42174529
BW,2002,47375487
BW,2003,51364926
BW,2004,104387673
BW,2005,125759349
BW,2006,117857228
BW,2007,105749885
BW,2008,54528451
BW,2009,17996381
BW,2010,21296882
BW,2011,18454690
BW,2012,16360530
BY,2000,387912755
BY,2001,367125160
BY,2002,306981991
BY,2003,426228814
BY,2004,422275466
BY,2005,273804476
BY,2006,329041430
BY,2007,313290703
BY,2008,522261506
BY,2009,557520223
BY,2010,564893759
BY,2011,932309326
BY,2012,1053099975
BZ,2000,31795581
BZ,2001,36824669
BZ,2002,33676125
BZ,2003,41307782
BZ,2004,41784974
BZ,2005,52233665
BZ,2006,71472456
BZ,2007,78136913
BZ,2008,79989211
BZ,2009,84326399
BZ,2010,82788164
BZ,2011,76504249
BZ,2012,75945648
CG,2000,26023466
CG,2001,36443945
CG,2002,3423012
CG,2003,31326367
CG,2004,29446021
CG,2005,18424530
CG,2006,17894124
CG,2007,18197637
CG,2008,
CG,2009,
CG,2010,
CG,2011,
CG,2012,
CI,2000,241850006
CI,2001,232818638
CI,2002,217204060
CI,2003,210888592
CI,2004,213850589
CI,2005,211214995
CI,2006,205036900
CI,2007,202277858
CI,2008,188001839
CI,2009,322842072
CI,2010,384062409
CI,2011,348707077
CI,2012,373477569
CL,2000,27322158
CL,2001,27636523
CL,2002,29918724
CL,2003,27116084
CL,2004,21823426
CL,2005,20973293
CL,2006,3394767
CL,2007,3192586
CL,2008,3174616
CL,2009,5776343
CL,2010,4835570
CL,2011,
CL,2012,
CM,2000,54485851
CM,2001,36893779
CM,2002,59198959
CM,2003,104950001
CM,2004,128677921
CM,2005,93241556
CM,2006,150106794
CM,2007,174705915
CM,2008,150916077
CM,2009,187265796
CM,2010,118615595
CM,2011,109080713
CM,2012,114858955
CN,2000,10385572893
CN,2001,13797455072
CN,2002,21589305461
CN,2003,29734464786
CN,2004,37436930945
CN,2005,42768784894
CN,2006,46789500002
CN,2007,57795486822
CN,2008,60922573587
CN,2009,52548642027
CN,2010,61643218474
CN,2011,64067083079
CN,2012,57798943374
CO,2000,3597351262
CO,2001,4750576205
CO,2002,5887518703
CO,2003,7855126277
CO,2004,6935360291
CO,2005,6084512976
CO,2006,6870613050
CO,2007,6629936358
CO,2008,6302118992
CO,2009,5720395747
CO,2010,4704274388
CO,2011,4436111391
CO,2012,4122703613
