id,region,aid-type,year,value
DE,far-east-asia,bilateral,2013,1181227458.11
DE,far-east-asia,multilateral,2013,273712443.70
DE,middle-east,bilateral,2013,889987374.85
DE,middle-east,multilateral,2013,286673238.02
DE,north-central-america,bilateral,2013,544973238.48
DE,north-central-america,multilateral,2013,224903307.15
DE,north-of-sahara,bilateral,2013,685341157.44
DE,north-of-sahara,multilateral,2013,258082928.47
DE,oceania,bilateral,2013,14450000.00
DE,oceania,multilateral,2013,36183859.26
DE,south-america,bilateral,2013,969326761.52
DE,south-america,multilateral,2013,140425820.50
DE,south-central-asia,bilateral,2013,2034415167.04
DE,south-central-asia,multilateral,2013,653637224.06
DE,south-of-sahara,bilateral,2013,2388868842.56
DE,south-of-sahara,multilateral,2013,1716979738.33
DE,unspecified,bilateral,2013,1958750000.00
DE,unspecified,multilateral,2013,317687445.70
DK,europe,bilateral,2013,22610000.00
DK,europe,multilateral,2013,93829180.58
DK,far-east-asia,bilateral,2013,85388128.57
DK,far-east-asia,multilateral,2013,48794058.22
DK,middle-east,bilateral,2013,145725961.35
DK,middle-east,multilateral,2013,65166848.73
DK,north-central-america,bilateral,2013,5087786.26
DK,north-central-america,multilateral,2013,36125085.46
DK,north-of-sahara,bilateral,2013,15579797.05
DK,north-of-sahara,multilateral,2013,30471823.47
DK,oceania,bilateral,2013,0.00
DK,oceania,multilateral,2013,6122621.84
DK,south-america,bilateral,2013,21572213.74
DK,south-america,multilateral,2013,22444121.33
DK,south-central-asia,bilateral,2013,231935910.08
DK,south-central-asia,multilateral,2013,107832810.99
DK,south-of-sahara,bilateral,2013,745620202.95
DK,south-of-sahara,multilateral,2013,292040392.33
DK,unspecified,bilateral,2013,1033790000.00
DK,unspecified,multilateral,2013,91043057.05
ES,europe,bilateral,2013,4130000.00
ES,europe,multilateral,2013,336262427.02
ES,far-east-asia,bilateral,2013,24890000.00
ES,far-east-asia,multilateral,2013,63374389.94
ES,middle-east,bilateral,2013,47570000.00
ES,middle-east,multilateral,2013,97479014.61
ES,north-central-america,bilateral,2013,158668859.10
ES,north-central-america,multilateral,2013,72835837.94
ES,north-of-sahara,bilateral,2013,85423822.61
