id,year,value,original-value
AE,2000,NR,NR
AE,2001,NR,NR
AE,2002,NR,NR
AE,2003,NR,NR
AE,2004,NR,NR
AE,2005,NR,NR
AE,2006,NR,NR
AE,2007,NR,NR
AE,2008,NR,NR
AE,2009,NR,NR
AE,2010,NR,NR
AE,2011,NR,NR
AE,2012,NR,NR
AE,2013,NR,NR
AF,2000,NA,NA
AF,2001,NA,NA
AF,2002,NA,NA
AF,2003,NA,NA
AF,2004,NA,NA
AF,2005,NA,NA
AF,2006,NA,NA
AF,2007,NA,NA
AF,2008,NA,NA
AF,2009,NA,NA
AF,2010,NA,NA
AF,2011,NA,NA
AF,2012,NA,NA
AF,2013,NA,NA
AG,2000,NA,NA
AG,2001,NA,NA
AG,2002,NA,NA
AG,2003,NA,NA
AG,2004,NA,NA
AG,2005,NA,NA
AG,2006,NA,NA
AG,2007,NA,NA
AG,2008,NA,NA
AG,2009,NA,NA
AG,2010,NA,NA
AG,2011,NA,NA
AG,2012,NA,NA
AG,2013,NA,NA
AL,2000,NA,NA
AL,2001,NA,NA
AL,2002,1.2485,1.2485
AL,2003,1.2485625,NA
AL,2004,1.248625,1.248625
AL,2005,1.249,1.249
AL,2006,1.24920833333333,NA
AL,2007,1.24941666666667,NA
AL,2008,1.249625,1.249625
AL,2009,1.24940625,NA
AL,2010,1.2491875,NA
AL,2011,1.24896875,NA
AL,2012,1.24875,1.24875
AL,2013,NA,NA
AM,2000,NA,NA
AM,2001,1.196375,1.196375
AM,2002,1.211125,1.211125
AM,2003,1.225875,1.225875
AM,2004,1.22825,1.22825
AM,2005,1.239125,1.239125
AM,2006,1.24325,1.24325
AM,2007,1.242,1.242
AM,2008,1.246125,1.246125
AM,2009,1.246875,1.246875
AM,2010,1.24525,1.24525
AM,2011,1.245,1.245
AM,2012,1.246125,1.246125
AM,2013,NA,NA
AO,2000,0.87575,0.87575
AO,2001,0.894486111111111,NA
AO,2002,0.913222222222222,NA
AO,2003,0.931958333333333,NA
AO,2004,0.950694444444445,NA
AO,2005,0.969430555555556,NA
AO,2006,0.988166666666667,NA
AO,2007,1.00690277777778,NA
AO,2008,1.02563888888889,NA
AO,2009,1.044375,1.044375
AO,2010,NA,NA
AO,2011,NA,NA
AO,2012,NA,NA
AO,2013,NA,NA
AR,2000,1.215875,1.215875
AR,2001,1.192875,1.192875
AR,2002,1.188125,1.188125
AR,2003,1.19425,1.19425
AR,2004,1.214125,1.214125
AR,2005,1.2245,1.2245
AR,2006,1.22825,1.22825
AR,2007,1.2295,1.2295
AR,2008,1.233625,1.233625
AR,2009,1.23275,1.23275
AR,2010,1.238875,1.238875
AR,2011,1.24025,1.24025
AR,2012,NA,NA
AR,2013,NA,NA
AS,2000,NR,NR
AS,2001,NR,NR
AS,2002,NR,NR
AS,2003,NR,NR
AS,2004,NR,NR
AS,2005,NR,NR
AS,2006,NR,NR
AS,2007,NR,NR
AS,2008,NR,NR
AS,2009,NR,NR
AS,2010,NR,NR
AS,2011,NR,NR
AS,2012,NR,NR
AS,2013,NR,NR
AT,2000,1.2465,1.2465
AT,2001,1.2429375,NR
AT,2002,1.239375,NR
AT,2003,1.2358125,NR
AT,2004,1.23225,1.23225
AT,2005,NR,NR
AT,2006,NR,NR
AT,2007,NR,NR
AT,2008,NR,NR
AT,2009,NR,NR
AT,2010,NR,NR
AT,2011,NR,NR
AT,2012,NR,NR
AT,2013,NR,NR
AU,2000,NR,NR
AU,2001,1.147625,1.147625
AU,2002,1.1603125,NR
AU,2003,1.173,1.173
AU,2004,NR,NR
AU,2005,NR,NR
AU,2006,NR,NR
AU,2007,NR,NR
AU,2008,NR,NR
AU,2009,NR,NR
AU,2010,NR,NR
AU,2011,NR,NR
AU,2012,NR,NR
AU,2013,NR,NR
AW,2000,NR,NR
AW,2001,NR,NR
AW,2002,NR,NR
AW,2003,NR,NR
AW,2004,NR,NR
AW,2005,NR,NR
AW,2006,NR,NR
AW,2007,NR,NR
AW,2008,NR,NR
AW,2009,NR,NR
AW,2010,NR,NR
AW,2011,NR,NR
AW,2012,NR,NR
AW,2013,NR,NR
AZ,2000,NA,NA
AZ,2001,1.23625,1.23625
AZ,2002,1.238,NA
AZ,2003,1.23975,NA
AZ,2004,1.2415,NA
AZ,2005,1.24325,NA
AZ,2006,1.245,NA
AZ,2007,1.24675,NA
AZ,2008,1.2485,1.2485
AZ,2009,NA,NA
AZ,2010,NA,NA
AZ,2011,NA,NA
AZ,2012,NA,NA
AZ,2013,NA,NA
BA,2000,NA,NA
BA,2001,1.248875,1.248875
BA,2002,1.249125,NA
BA,2003,1.249375,NA
BA,2004,1.249625,1.249625
BA,2005,1.24970833333333,NA
BA,2006,1.24979166666667,NA
BA,2007,1.249875,1.249875
BA,2008,NA,NA
BA,2009,NA,NA
BA,2010,NA,NA
BA,2011,NA,NA
BA,2012,NA,NA
BA,2013,NA,NA
BB,2000,NA,NA
BB,2001,NA,NA
BB,2002,NA,NA
BB,2003,NA,NA
BB,2004,NA,NA
BB,2005,NA,NA
