id,year,total-unemployment
CY,2001,4
CZ,2001,8.100000381
DE,2001,7.800000191
DJ,2001,
DM,2001,
DK,2001,4.199999809
DO,2001,15.69999981
DZ,2001,27.29999924
EC,2001,8.399999619
EG,2001,9.399999619
ER,2001,7.400000095
ES,2001,10.69999981
EE,2001,12.39999962
ET,2001,7.599999905
FI,2001,9.100000381
FJ,2001,6.099999905
FR,2001,8.600000381
FO,2001,
FM,2001,
GA,2001,20.70000076
GB,2001,4.800000191
GE,2001,11.19999981
GH,2001,10
GN,2001,1.899999976
GM,2001,7.199999809
GW,2001,6.800000191
GQ,2001,6.300000191
GR,2001,10.19999981
GD,2001,
GL,2001,
GT,2001,1.299999952
GU,2001,
GY,2001,11.69999981
HK,2001,5.099999905
HN,2001,4.099999905
HR,2001,20.5
HT,2001,7.599999905
HU,2001,5.699999809
ID,2001,8.100000381
IN,2001,4
IE,2001,3.700000048
IR,2001,12.19999981
IQ,2001,18.39999962
IS,2001,2.299999952
IL,2001,9.300000191
IT,2001,9.600000381
JM,2001,15
JO,2001,15.80000019
JP,2001,5
KZ,2001,10.39999962
KE,2001,9.699999809
KG,2001,7.800000191
KH,2001,1.700000048
KI,2001,
KN,2001,
KR,2001,4
XK,2001,
KW,2001,0.800000012
LA,2001,1.899999976
LB,2001,8.199999809
LR,2001,3.700000048
LY,2001,20
LC,2001,
LI,2001,
LK,2001,7.900000095
LS,2001,36.90000153
LT,2001,16.79999924
LU,2001,1.799999952
LV,2001,13.10000038
MO,2001,6.5
MF,2001,
MA,2001,12.5
MC,2001,
MD,2001,7.300000191
MG,2001,4
MV,2001,11.30000019
MX,2001,2.5
MH,2001,
MK,2001,30.5
ML,2001,8.300000191
MT,2001,7.099999905
MM,2001,3.599999905
ME,2001,21
MN,2001,6.099999905
MP,2001,
MZ,2001,8.399999619
MR,2001,32.40000153
MU,2001,6.800000191
MW,2001,7.699999809
MY,2001,3.5
NA,2001,21.5
NC,2001,
NE,2001,5
NG,2001,7.599999905
NI,2001,6
NL,2001,2.099999905
NO,2001,3.400000095
NP,2001,3.799999952
NZ,2001,5.400000095
OM,2001,8.699999809
PK,2001,7.400000095
PA,2001,14
PE,2001,5.099999905
PH,2001,11
PW,2001,
PG,2001,2.799999952
PL,2001,18.20000076
PR,2001,11.60000038
KP,2001,4.800000191
PT,2001,4
PY,2001,7.599999905
PF,2001,
QA,2001,0.899999976
RO,2001,6.599999905
RU,2001,9
RW,2001,0.600000024
SA,2001,4.599999905
SD,2001,15
SN,2001,10.10000038
SG,2001,3.700000048
SB,2001,4.599999905
SL,2001,3.299999952
SV,2001,7
SM,2001,
SO,2001,6.900000095
RS,2001,12.80000019
SS,2001,
ST,2001,
SR,2001,8.100000381
SK,2001,19.29999924
SI,2001,5.699999809
SE,2001,5.099999905
SZ,2001,22.79999924
SX,2001,
SC,2001,
SY,2001,11.60000038
TC,2001,
TD,2001,6.900000095
TG,2001,7.199999809
TH,2001,2.599999905
TJ,2001,11.89999962
TM,2001,11
TL,2001,9.899999619
TO,2001,
TT,2001,10.80000019
TN,2001,15.10000038
TR,2001,8.399999619
TV,2001,
TZ,2001,5.099999905
UG,2001,2.400000095
UA,2001,10.89999962
UY,2001,9.5
US,2001,4.800000191
UZ,2001,11
VC,2001,
VE,2001,12.80000019
VI,2001,
VN,2001,2.799999952
VU,2001,
PS,2001,24.89999962
WS,2001,
YE,2001,14
ZA,2001,25.39999962
CD,2001,8.199999809
ZM,2001,15.10000038
ZW,2001,5.099999905
AW,2002,
AD,2002,
AF,2002,4.599999905
AO,2002,6.800000191
AL,2002,13.39999962
AE,2002,3.200000048
AR,2002,17.89999962
AM,2002,27.79999924
AS,2002,
AG,2002,
AU,2002,6.400000095
AT,2002,4
AZ,2002,10
BI,2002,7.300000191
BE,2002,7.5
BJ,2002,0.699999988
BF,2002,3
BD,2002,3.400000095
BG,2002,18.10000038
BH,2002,6.5
BS,2002,9
BA,2002,24.5
BY,2002,6.5
BZ,2002,10
BM,2002,
BO,2002,5.400000095
BR,2002,9.100000381
BB,2002,10.30000019
BN,2002,3.900000095
BT,2002,1.899999976
BW,2002,20.20000076
CF,2002,7
CA,2002,7.699999809
CH,2002,2.900000095
CL,2002,8.899999619
CN,2002,4.400000095
CI,2002,4.099999905
CM,2002,5.400000095
CG,2002,6.699999809
CO,2002,15.80000019
KM,2002,6.699999809
CV,2002,7.199999809
CR,2002,6.400000095
CU,2002,3.299999952
CW,2002,
KY,2002,
CY,2002,3.299999952
CZ,2002,7.300000191
DE,2002,8.600000381
DJ,2002,
DM,2002,
DK,2002,4.599999905
DO,2002,16.10000038
DZ,2002,25.89999962
EC,2002,8.399999619
EG,2002,10.19999981
ER,2002,7.5
ES,2002,11.60000038
EE,2002,9.399999619
ET,2002,7
FI,2002,9
FJ,2002,5.800000191
FR,2002,8.699999809
FO,2002,
