id,year,value-1,value-2,value-3,value-4
AE,2015,663,421,0,1084
AF,2015,257554,82,1174306,1431942
AG,2015,15,0,0,15
AI,2015,1,0,0,1
AL,2015,104,830,0,934
AM,2015,19319,66,0,19385
AO,2015,15555,30143,0,45698
AR,2015,3207,1077,0,4284
AT,2015,72216,80075,0,152291
AU,2015,36917,20677,0,57594
AW,2015,2,0,0,2
AZ,2015,1278,220,618220,619718
BA,2015,6798,23,98324,105145
BB,2015,0,0,0,0
BD,2015,231958,0,0,231958
BE,2015,35314,36009,0,71323
BF,2015,34017,143,0,34160
BG,2015,16557,9499,0,26056
BH,2015,247,113,0,360
BI,2015,53363,2931,25000,81294
BJ,2015,530,178,0,708
BN,2015,0,0,0,0
BO,2015,775,0,0,775
BQ,2015,0,0,0,0
BR,2015,8707,20815,0,29522
BS,2015,8,21,0,29
BW,2015,2130,135,0,2265
BY,2015,1809,279,0,2088
BZ,2015,35,720,0,755
CA,2015,135888,19642,0,155530
CD,2015,383095,983,1555112,1939190
CF,2015,7330,334,216392,224056
CG,2015,44955,4342,0,49297
CH,2015,73336,32701,0,106037
CI,2015,1980,649,308272,310901
CL,2015,1849,1064,0,2913
CM,2015,342973,5373,92657,441003
CN,2015,301052,677,0,301729
CO,2015,226,115,6939067,6939408
CR,2015,3616,3283,0,6899
CU,2015,303,25,0,328
CV,2015,0,0,0,0
CW,2015,48,30,0,78
CY,2015,7067,2252,0,9319
CZ,2015,3644,659,0,4303
DE,2015,316115,420625,0,736740
DJ,2015,19365,2641,0,22006
DK,2015,27326,2948,0,30274
DM,2015,0,0,0,0
DO,2015,615,758,0,1373
DZ,2015,94182,6593,0,100775
EC,2015,121535,11583,0,133118
EE,2015,168,86,0,254
EG,2015,212500,38171,0,250671
ER,2015,2549,1,0,2550
ES,2015,5798,11020,0,16818
ET,2015,736086,2131,0,738217
FI,2015,12703,24366,0,37069
FJ,2015,12,8,0,20
FM,2015,3,11,0,14
FR,2015,273126,63057,0,336183
GA,2015,943,1941,0,2884
GB,2015,123067,45870,0,168937
GD,2015,1,0,0,1
GE,2015,1979,733,268416,271128
GH,2015,17406,1859,0,19265
GM,2015,7854,0,0,7854
GN,2015,8839,198,0,9037
GQ,2015,0,0,0,0
GR,2015,30239,26141,0,56380
GT,2015,226,125,0,351
GW,2015,8684,123,0,8807
GY,2015,11,1,0,12
HK,2015,133,2315,0,2448
HN,2015,30,9,174000,174039
HR,2015,522,53,0,575
HT,2015,3,11,0,14
HU,2015,4393,36693,0,41086
ID,2015,5957,7591,0,13548
IE,2015,6125,5055,0,11180
IL,2015,38500,6591,0,45091
IN,2015,201381,6480,0,207861
IQ,2015,277701,7420,4403287,4688408
IR,2015,979437,42,0,979479
IS,2015,179,161,0,340
IT,2015,118047,60156,0,178203
JM,2015,12,5,0,17
JO,2015,2781479,24935,0,2806414
JP,2015,2474,13831,0,16305
KE,2015,553912,39969,0,593881
KG,2015,354,158,0,512
KH,2015,76,27,0,103
KM,2015,0,0,0,0
KN,2015,0,0,0,0
KR,2015,1463,5442,0,6905
KW,2015,741,900,0,1641
KY,2015,12,4,0,16
KZ,2015,708,97,0,805
LA,2015,0,0,0,0
LB,2015,1523523,12139,0,1535662
LC,2015,1,1,0,2
LI,2015,150,97,0,247
LK,2015,784,608,44934,46326
LR,2015,36505,15,0,36520
LS,2015,31,4,0,35
LT,2015,1093,82,0,1175
LU,2015,1332,2395,0,3727
LV,2015,208,179,0,387
LY,2015,9305,27479,434869,471653
MA,2015,3908,1565,0,5473
