id,year,budget-type,l1,l2,l3,l4,l5,value
UG,2012,actual,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,2.11E+12
UG,2013,actual,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,2.59E+12
UG,2014,budget,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,2.86E+12
UG,2014,actual,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,2.76E+12
UG,2015,proj,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,3.32E+12
UG,2016,proj,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,3.65E+12
UG,2017,proj,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,4.21E+12
UG,2018,proj,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,4.86E+12
UG,2019,proj,total-revenue-and-grants,revenue,tax-revenue,income-taxes,,5.71E+12
UG,2000,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,328000000000.00
UG,2001,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,3.25E+11
UG,2002,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,3.61E+11
UG,2003,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,3.89E+11
UG,2004,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,4.47E+11
UG,2005,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,4.98E+11
UG,2006,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,5.67E+11
UG,2007,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,6.53E+11
UG,2008,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,8.15E+11
UG,2009,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,9.21E+11
UG,2010,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,1.03E+12
UG,2011,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,1.19E+12
UG,2012,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,1.45E+12
UG,2013,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,1.47E+12
UG,2014,budget,total-revenue-and-grants,revenue,tax-revenue,excises,,1.79E+12
UG,2014,actual,total-revenue-and-grants,revenue,tax-revenue,excises,,1.76E+12
UG,2015,proj,total-revenue-and-grants,revenue,tax-revenue,excises,,2.09E+12
UG,2016,proj,total-revenue-and-grants,revenue,tax-revenue,excises,,2.44E+12
UG,2017,proj,total-revenue-and-grants,revenue,tax-revenue,excises,,2.78E+12
UG,2018,proj,total-revenue-and-grants,revenue,tax-revenue,excises,,3.15E+12
UG,2019,proj,total-revenue-and-grants,revenue,tax-revenue,excises,,3.48E+12
UG,2000,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,313000000000.00
UG,2001,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,3.39E+11
UG,2002,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,3.93E+11
UG,2003,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,4.66E+11
UG,2004,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,5.31E+11
UG,2005,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,6.08E+11
UG,2006,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,6.96E+11
UG,2007,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,8.29E+11
UG,2008,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,1.04E+12
UG,2009,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,1.18E+12
UG,2010,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,1.33E+12
UG,2011,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,1.57E+12
UG,2012,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,1.92E+12
UG,2013,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,2.35E+12
UG,2014,budget,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,2.95E+12
UG,2014,actual,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,2.57E+12
UG,2015,proj,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,3.07E+12
UG,2016,proj,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,3.43E+12
UG,2017,proj,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,3.94E+12
UG,2018,proj,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,4.57E+12
UG,2019,proj,total-revenue-and-grants,revenue,tax-revenue,value-added-tax,,5.25E+12
UG,2000,actual,total-revenue-and-grants,revenue,nontax-revenue,,,81000000000.00
UG,2001,actual,total-revenue-and-grants,revenue,nontax-revenue,,,53000000000
UG,2002,actual,total-revenue-and-grants,revenue,nontax-revenue,,,98000000000
UG,2003,actual,total-revenue-and-grants,revenue,nontax-revenue,,,96000000000
UG,2004,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.19E+11
UG,2005,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.21E+11
UG,2006,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.25E+11
UG,2007,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.44E+11
UG,2008,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.21E+11
UG,2009,actual,total-revenue-and-grants,revenue,nontax-revenue,,,1.98E+11
UG,2010,actual,total-revenue-and-grants,revenue,nontax-revenue,,,2.06E+11
UG,2011,actual,total-revenue-and-grants,revenue,nontax-revenue,,,2.51E+11
UG,2012,actual,total-revenue-and-grants,revenue,nontax-revenue,,,2.59E+11
UG,2013,actual,total-revenue-and-grants,revenue,nontax-revenue,,,3.04E+11
UG,2014,budget,total-revenue-and-grants,revenue,nontax-revenue,,,1.82E+11
