country,year,population-15-64
AF,2005,48.65
AF,2006,48.67
AF,2007,48.68
AF,2008,48.74
AF,2009,48.91
AF,2010,49.23
AF,2011,49.71
AF,2012,50.31
AO,2005,49.77
AO,2006,49.73
AO,2007,49.7
AO,2008,49.69
AO,2009,49.71
AO,2010,49.77
AO,2011,49.87
AO,2012,50.01
AL,2005,64.93
AL,2006,65.36
AL,2007,65.77
AL,2008,66.18
AL,2009,66.6
AL,2010,67.07
AL,2011,67.58
AL,2012,68.1
AR,2005,63.45
AR,2006,63.69
AR,2007,63.93
AR,2008,64.14
AR,2009,64.34
AR,2010,64.5
AR,2011,64.64
AR,2012,64.76
AM,2005,66.5
AM,2006,67.03
AM,2007,67.57
AM,2008,68.1
AM,2009,68.57
AM,2010,68.94
AM,2011,69.19
AM,2012,69.34
AG,2005,64.41
AG,2006,64.72
AG,2007,65.12
AG,2008,65.57
AG,2009,66.05
AG,2010,66.53
AG,2011,67.02
AG,2012,67.5
AZ,2005,67.57
AZ,2006,68.46
AZ,2007,69.33
AZ,2008,70.13
AZ,2009,70.83
AZ,2010,71.38
AZ,2011,71.79
AZ,2012,72.07
BI,2005,51.85
BI,2006,52.42
BI,2007,52.89
BI,2008,53.24
BI,2009,53.45
BI,2010,53.54
BI,2011,53.51
BI,2012,53.37
BJ,2005,52.67
BJ,2006,52.88
BJ,2007,53.08
BJ,2008,53.28
BJ,2009,53.48
BJ,2010,53.7
BJ,2011,53.93
BJ,2012,54.16
BF,2005,50.94
BF,2006,51.03
BF,2007,51.13
BF,2008,51.24
BF,2009,51.37
BF,2010,51.52
BF,2011,51.69
BF,2012,51.89
BD,2005,61.4
BD,2006,61.87
BD,2007,62.32
BD,2008,62.78
BD,2009,63.25
BD,2010,63.73
BD,2011,64.22
BD,2012,64.71
BA,2005,67.96
BA,2006,67.76
BA,2007,67.58
BA,2008,67.45
BA,2009,67.42
BA,2010,67.53
BA,2011,67.8
BA,2012,68.2
BY,2005,69.79
BY,2006,70.16
BY,2007,70.52
BY,2008,70.84
BY,2009,71.08
BY,2010,71.21
BY,2011,71.22
BY,2012,71.13
BZ,2005,57.99
BZ,2006,58.51
BZ,2007,59.04
BZ,2008,59.58
BZ,2009,60.12
BZ,2010,60.65
BZ,2011,61.16
BZ,2012,61.67
BO,2005,57.26
BO,2006,57.63
BO,2007,58.04
BO,2008,58.46
BO,2009,58.88
BO,2010,59.27
BO,2011,59.62
BO,2012,59.94
BR,2005,66.26
BR,2006,66.52
BR,2007,66.78
BR,2008,67.05
BR,2009,67.33
BR,2010,67.6
BR,2011,67.87
BR,2012,68.13
BT,2005,61.93
BT,2006,62.91
BT,2007,63.75
BT,2008,64.48
BT,2009,65.13
BT,2010,65.73
BT,2011,66.28
BT,2012,66.77
BW,2005,61.03
BW,2006,61.35
BW,2007,61.61
BW,2008,61.84
BW,2009,62.06
BW,2010,62.26
BW,2011,62.47
BW,2012,62.68
CF,2005,54.17
CF,2006,54.37
CF,2007,54.6
CF,2008,54.87
CF,2009,55.16
CF,2010,55.46
CF,2011,55.77
CF,2012,56.08
CL,2005,67.08
