country,year,gdp-usd-2005
AW,2005,2331005587
AD,2005,2539759286
AF,2005,6275076016
AO,2005,28233699240
AL,2005,8376483740
AE,2005,1.80617E+11
AR,2005,1.83193E+11
AM,2005,4900436759
AS,2005,
AG,2005,1001970945
AU,2005,6.93663E+11
AT,2005,3.04984E+11
AZ,2005,13245421881
BI,2005,1117254387
BE,2005,3.7735E+11
BJ,2005,4358015993
BF,2005,5462709055
BD,2005,60277560976
BG,2005,28895083540
BH,2005,15969151306
BS,2005,7706222000
BA,2005,10948051122
BY,2005,30210091837
BZ,2005,1114200000
BM,2005,4868136000
BO,2005,9549196256
BR,2005,8.82186E+11
BB,2005,3891500000
BN,2005,9531402830
BT,2005,818869145.8
BW,2005,9931223496
CF,2005,1350300947
CA,2005,1.13376E+12
CH,2005,3.84754E+11
CL,2005,1.24404E+11
CN,2005,2.2569E+12
CI,2005,16363437145
CM,2005,16587921221
CG,2005,6087002682
CO,2005,1.4652E+11
KM,2005,387036131.7
CV,2005,1090445839
CR,2005,19964893807
CU,2005,42644200000
CW,2005,
KY,2005,
CY,2005,16997801392
CZ,2005,1.30052E+11
DE,2005,2.76625E+12
DJ,2005,708633194.7
DM,2005,361615917.8
DK,2005,2.57676E+11
DO,2005,33969724872
DZ,2005,1.03199E+11
EC,2005,41507085000
EG,2005,89685724889
ER,2005,1098425900
ES,2005,1.1308E+12
EE,2005,13902449126
ET,2005,12173919387
FI,2005,1.95778E+11
FJ,2005,3006725015
FR,2005,2.13656E+12
FO,2005,1730894295
FM,2005,249845592.6
GA,2005,8665736618
GB,2005,2.32136E+12
GE,2005,6411147323
GH,2005,10731883141
GN,2005,2937072009
GM,2005,624173996.3
GW,2005,572853553.5
GQ,2005,8217368425
GR,2005,2.40076E+11
GD,2005,700431791.3
GL,2005,1702543477
GT,2005,27211230374
GU,2005,
GY,2005,824880550.3
HK,2005,1.8157E+11
HN,2005,9672095584
HR,2005,44821408831
HT,2005,4154289832
HU,2005,1.10322E+11
ID,2005,2.85869E+11
IN,2005,8.34215E+11
IE,2005,2.02578E+11
IR,2005,1.92015E+11
IQ,2005,49954890353
IS,2005,16286323127
IL,2005,1.33959E+11
IT,2005,1.78628E+12
JM,2005,11075778481
JO,2005,12582876895
JP,2005,4.57188E+12
KZ,2005,57123671734
KE,2005,18737895401
KG,2005,2459876152
KH,2005,6293046162
KI,2005,106147384.5
KN,2005,536410666.4
KR,2005,8.44863E+11
XK,2005,3743116980
KW,2005,80797945205
LA,2005,2735550177
LB,2005,21860696517
LR,2005,542000000
LY,2005,44000000000
LC,2005,908558306.8
LI,2005,3658356378
LK,2005,24405791045
LS,2005,1368405301
LT,2005,25962254181
LU,2005,37643013481
LV,2005,16041840426
MO,2005,11792570016
MF,2005,
MA,2005,59523857868
MC,2005,4280072626
MD,2005,2988172424
MG,2005,5038577519
MV,2005,992473987.3
MX,2005,8.70215E+11
MH,2005,137556822.8
MK,2005,5985809060
ML,2005,5305317555
MT,2005,5980795756
MM,2005,
ME,2005,2257181943
MN,2005,2523359941
MP,2005,
MZ,2005,6578515331
MR,2005,2184444849
MU,2005,6283796155
MW,2005,2754995877
MY,2005,1.43533E+11
NA,2005,7261301442
NC,2005,
NE,2005,3405134555
NG,2005,1.12248E+11
NI,2005,6322582497
NL,2005,6.38471E+11
NO,2005,3.0406E+11
NP,2005,8130258976
NZ,2005,1.13834E+11
OM,2005,30905071771
PK,2005,1.09502E+11
PA,2005,15464700000
PE,2005,79385073422
PH,2005,1.03066E+11
PW,2005,206328827.4
PG,2005,4901584516
PL,2005,3.03912E+11
PR,2005,82809000000
KP,2005,
PT,2005,1.91848E+11
PY,2005,8734651354
PF,2005,
QA,2005,44530493222
RO,2005,99172613716
RU,2005,7.64001E+11
RW,2005,2581286407
SA,2005,3.2846E+11
SD,2005,26524992225
SN,2005,8707015064
SG,2005,1.25429E+11
SB,2005,413909879.3
SL,2005,1627853086
SV,2005,17093800000
SM,2005,1375416604
SO,2005,
RS,2005,25234408773
SS,2005,
ST,2005,113808749.4
SR,2005,1793557833
SK,2005,61328471583
SI,2005,35717733757
SE,2005,3.7058E+11
SZ,2005,2584077931
SX,2005,
SC,2005,919103262
SY,2005,28858965517
TC,2005,
TD,2005,6646663021
TG,2005,2115154090
TH,2005,1.76352E+11
TJ,2005,2312319579
TM,2005,8104355717
TL,2005,479100000
TO,2005,264812953.8
TT,2005,16088526686
TN,2005,32282960678
TR,2005,4.8298E+11
TV,2005,21839580.57
TZ,2005,14141916592
UG,2005,9013834490
UA,2005,86142018069
UY,2005,17362872710
US,2005,1.30954E+13
UZ,2005,14307509839
VC,2005,551431645.4
VE,2005,1.45513E+11
VI,2005,
VN,2005,57633255739
VU,2005,394962552.3
PS,2005,4015865744
WS,2005,412220560.3
YE,2005,16753787028
ZA,2005,2.47052E+11
CD,2005,7191141825
ZM,2005,7178556337
ZW,2005,5755215232
AW,2006,2385903552
AD,2006,2712207294
AF,2006,6623602375
AO,2006,34087962369
AL,2006,8795307928
AE,2006,1.98385E+11
AR,2006,1.98703E+11
AM,2006,5547196574
AS,2006,
AG,2006,1137617186
AU,2006,7.14769E+11
AT,2006,3.16176E+11
AZ,2006,17815092430
BI,2006,1177414708
BE,2006,3.87413E+11
BJ,2006,4521535485
BF,2006,5832414795
BD,2006,64273563733
BG,2006,30773263970
BH,2006,17001883593
BS,2006,7900177115
BA,2006,11626830292
BY,2006,33230492799
BZ,2006,1166538878
BM,2006,5138018933
BO,2006,10007272035
BR,2006,9.1708E+11
BB,2006,4113569293
BN,2006,9950567280
