country,Year,gni-usd-current
FM,2006,261712111
GA,2006,8186570986
GB,2006,2.49657E+12
GE,2006,7925536179
GH,2006,20282900370
GN,2006,2495966911
GM,2006,629986484.5
GW,2006,572930733.6
GQ,2006,5163241438
GR,2006,2.55709E+11
GD,2006,675877692
GL,2006,1657464900
GT,2006,29550730543
GU,2006,
GY,2006,1414530341
HK,2006,1.98108E+11
HN,2006,10312960196
HR,2006,48686994353
HT,2006,4886368636
HU,2006,1.06468E+11
ID,2006,3.49038E+11
IN,2006,9.41772E+11
IE,2006,1.9522E+11
IR,2006,2.19296E+11
IQ,2006,66036590841
IS,2006,15679904581
IL,2006,1.50273E+11
IT,2006,1.87864E+12
JM,2006,11289359441
JO,2006,15510471590
JP,2006,4.48114E+12
KZ,2006,71653837567
KE,2006,22433138251
KG,2006,2785955209
KH,2006,6969124788
KI,2006,159262048.2
KN,2006,597171969
KR,2006,9.5323E+11
XK,2006,4137690290
KW,2006,1.12527E+11
LA,2006,3262376790
LB,2006,22622074295
LR,2006,452028581.8
LY,2006,57559375000
LC,2006,963576680.5
LI,2006,3508014026
LK,2006,27878568680
LS,2006,1870691271
LT,2006,29633582377
LU,2006,32358516247
LV,2006,19346550678
MO,2006,13091178725
MF,2006,
MA,2006,64702592087
MC,2006,4663488363
MD,2006,3809124198
MG,2006,5432496994
MV,2006,1262675806
MX,2006,9.4613E+11
MH,2006,184178423
MK,2006,6533076884
ML,2006,5865228551
MT,2006,6155761129
MM,2006,
ME,2006,2741482660
MN,2006,3371388770
MP,2006,
MZ,2006,6471915757
MR,2006,2962575600
MU,2006,6783037334
MW,2006,3078197716
MY,2006,1.57978E+11
NA,2006,7926841950
NC,2006,
NE,2006,3647941605
NG,2006,1.40787E+11
NI,2006,6522370943
NL,2006,6.95913E+11
NO,2006,3.40286E+11
NP,2006,9112239664
NZ,2006,1.02587E+11
OM,2006,36137841644
PK,2006,1.39768E+11
PA,2006,18395300000
PE,2006,84900584591
PH,2006,1.2095E+11
PW,2006,177600000
PG,2006,4931135411
PL,2006,3.31981E+11
PR,2006,56396000000
KP,2006,
PT,2006,1.95698E+11
PY,2006,9341275165
PF,2006,
QA,2006,57601646692
RO,2006,1.1862E+11
RU,2006,9.60499E+11
RW,2006,3082535902
SA,2006,3.85392E+11
SD,2006,32983242336
SN,2006,9270535718
SG,2006,1.40392E+11
SB,2006,460935444.9
SL,2006,1847768983
SV,2006,18113200000
SM,2006,1288429276
SO,2006,
RS,2006,28807569126
SS,2006,
ST,2006,126522622.3
SR,2006,2606231778
SK,2006,66872579350
SI,2006,38483823658
SE,2006,4.04203E+11
SZ,2006,2961922183
SX,2006,
SC,2006,972815884.3
SY,2006,32393616325
TC,2006,
TD,2006,7631373371
TG,2006,2165013506
TH,2006,1.98726E+11
TJ,2006,2728873190
TM,2006,9976886836
TL,2006,1269900000
TO,2006,301174817.6
TT,2006,17525105284
TN,2006,32795942900
TR,2006,5.24126E+11
TV,2006,37831569.74
TZ,2006,14154069390
UG,2006,9694756671
UA,2006,1.06031E+11
UY,2006,19142824256
US,2006,1.41416E+13
UZ,2006,16941896203
VC,2006,585342309.7
VE,2006,1.82433E+11
VI,2006,
VN,2006,64945527299
VU,2006,416942386.5
PS,2006,
WS,2006,418677240.9
YE,2006,17846205725
ZA,2006,2.55868E+11
CD,2006,8354101302
ZM,2006,9533639310
ZW,2006,5131054872
AW,2007,
AD,2007,3245411584
AF,2007,9873643577
AO,2007,52849863628
AL,2007,11006054606
AE,2007,2.66523E+11
AR,2007,2.5551E+11
AM,2007,9485061182
AS,2007,
AG,2007,1243156878
AU,2007,8.12524E+11
AT,2007,3.70521E+11
AZ,2007,27969985918
BI,2007,1350178300
BE,2007,4.64226E+11
BJ,2007,5497303910
BF,2007,6753604123
BD,2007,73522980017
BG,2007,38877959822
BH,2007,21431912107
BS,2007,8172315000
BA,2007,15740377887
BY,2007,44864611996
BZ,2007,1131597178
BM,2007,7815302000
BO,2007,12630670068
BR,2007,1.3387E+12
BB,2007,4325500000
BN,2007,12310027895
BT,2007,1180133806
BW,2007,10200899241
CF,2007,1687431517
CA,2007,1.40586E+12
CH,2007,4.54203E+11
CL,2007,1.54407E+11
CN,2007,3.5021E+12
CI,2007,18912714858
CM,2007,19931427640
CG,2007,5774289433
CO,2007,1.99558E+11
KM,2007,466878877.8
CV,2007,1482537729
CR,2007,25457276185
CU,2007,57644100000
CW,2007,
KY,2007,
CY,2007,20223942043
CZ,2007,1.67631E+11
DE,2007,3.38106E+12
DJ,2007,
DM,2007,399145063.3
DK,2007,3.14768E+11
DO,2007,39239397000
DZ,2007,1.33257E+11
EC,2007,49039726774
EG,2007,1.3293E+11
ER,2007,1310746758
ES,2007,1.40778E+12
EE,2007,20530466943
ET,2007,18989531457
FI,2007,2.46233E+11
FJ,2007,3329491710
