id,year,value,
AF,2015, 10.0 ,NA
AL,2015, 0.1 ,NA
DZ,2015, 8.0 ,NA
AO,2015, 4.9 ,NA
AG,2015, 0.0 ,NA
AR,2015, 2.1 ,NA
AM,2015, 0.1 ,NA
AU,2015, 0.1 ,NA
AT,2015, 0.0 ,NA
AZ,2015, 3.7 ,NA
BS,2015, 0.0 ,NA
BH,2015, 0.6 ,NA
BD,2015, 6.1 ,NA
BB,2015, 0.0 ,NA
BY,2015, 1.2 ,NA
BE,2015, 0.1 ,NA
BZ,2015, 0.0 ,NA
BJ,2015, 1.1 ,NA
BT,2015, 0.1 ,NA
BO,2015, 2.2 ,NA
BA,2015, 0.1 ,NA
BW,2015, 0.2 ,NA
BR,2015, 6.0 ,NA
BN,2015, 0.0 ,NA
BG,2015, 1.3 ,NA
BF,2015, 1.9 ,NA
BI,2015, 4.6 ,NA
CV,2015, 0.0 ,NA
KH,2015, 3.7 ,NA
CM,2015, 1.7 ,NA
CA,2015, 0.7 ,NA
CF,2015, 10.0 ,NA
TD,2015, 5.9 ,NA
CL,2015, 0.9 ,NA
CN,2015, 6.3 ,NA
CO,2015, 7.0 ,NA
KM,2015, 0.1 ,NA
CG,2015, 3.3 ,NA
CD,2015, 7.0 ,NA
CR,2015, 0.1 ,NA
CI,2015, 3.9 ,NA
HR,2015, 0.0 ,NA
CU,2015, 0.1 ,NA
CY,2015, 0.1 ,NA
CZ,2015, 0.1 ,NA
DK,2015, 0.0 ,NA
DJ,2015, 0.4 ,NA
DM,2015, 0.0 ,NA
DO,2015, 1.7 ,NA
EC,2015, 0.7 ,NA
EG,2015, 7.0 ,NA
SV,2015, 1.0 ,NA
GQ,2015, 0.1 ,NA
ER,2015, 1.6 ,NA
EE,2015, 0.1 ,NA
ET,2015, 6.3 ,NA
FJ,2015, 0.0 ,NA
FI,2015, 0.0 ,NA
FR,2015, 2.3 ,NA
GA,2015, 1.7 ,NA
GM,2015, 0.2 ,NA
GE,2015, 3.9 ,NA
DE,2015, 0.2 ,NA
GH,2015, 1.2 ,NA
GR,2015, 2.8 ,NA
GD,2015, 0.0 ,NA
GT,2015, 3.7 ,NA
GN,2015, 4.0 ,NA
GW,2015, 2.1 ,NA
GY,2015, 0.0 ,NA
HT,2015, 3.6 ,NA
HN,2015, 2.2 ,NA
HU,2015, 0.7 ,NA
IS,2015, 0.0 ,NA
IN,2015, 7.0 ,NA
ID,2015, 6.4 ,NA
IR,2015, 5.2 ,NA
IQ,2015, 10.0 ,NA
IE,2015, 0.0 ,NA
IL,2015, 3.2 ,NA
IT,2015, 2.8 ,NA
JM,2015, 1.3 ,NA
JP,2015, 0.9 ,NA
JO,2015, 1.6 ,NA
KZ,2015, 2.2 ,NA
KE,2015, 7.0 ,NA
KI,2015, 0.0 ,NA
KP,2015, 1.2 ,NA
KR,2015, 0.2 ,NA
KW,2015, 2.4 ,NA
KG,2015, 2.5 ,NA
LA,2015, 1.6 ,NA
LV,2015, 0.0 ,NA
LB,2015, 3.1 ,NA
LS,2015, 1.1 ,NA
LR,2015, 0.9 ,NA
LY,2015, 8.0 ,NA
LI,2015, 0.0 ,NA
LT,2015, 0.1 ,NA
LU,2015, 0.0 ,NA
MK,2015, 1.0 ,NA
MG,2015, 0.9 ,NA
MW,2015, 0.4 ,NA
MY,2015, 2.3 ,NA
MV,2015, 0.0 ,NA
ML,2015, 8.0 ,NA
MT,2015, 0.0 ,NA
MH,2015, 0.0 ,NA
MR,2015, 2.3 ,NA
MU,2015, 0.0 ,NA
MX,2015, 9.0 ,NA
FM,2015, 0.0 ,NA
MD,2015, 4.2 ,NA
MN,2015, 0.9 ,NA
ME,2015, 0.0 ,NA
MA,2015, 2.2 ,NA
MZ,2015, 2.9 ,NA
MM,2015, 7.0 ,NA
NA,2015, 1.0 ,NA
NR,2015, 0.0 ,NA
NP,2015, 3.8 ,NA
NL,2015, 0.1 ,NA
NZ,2015, 0.0 ,NA
NI,2015, 2.0 ,NA
NE,2015, 4.5 ,NA
NG,2015, 9.0 ,NA
NO,2015, 0.0 ,NA
OM,2015, 1.2 ,NA
PK,2015, 8.0 ,NA
PW,2015, 0.0 ,NA
PS,2015, 9.0 ,NA
PA,2015, 2.2 ,NA
PG,2015, 1.7 ,NA
