country-from,country-to,year,oda-gross-bl
1,CD,2006,135328618
1,CM,2006,11885237
1,ET,2006,19398797
1,GH,2006,14234103
1,MR,2006,5335492
1,SN,2006,7491010
1,TZ,2006,1368233
1,UG,2006,937304
1,ZM,2006,15651526
2,65,2006,117471574
2,AO,2006,2785555
2,BF,2006,373945321
2,BI,2006,10530353
2,BJ,2006,321543361
2,CD,2006,16426776
2,CG,2006,36711
2,CI,2006,1811249
2,CM,2006,205412213
2,CV,2006,1996807
2,DJ,2006,5152186
2,EG,2006,7453277
2,ER,2006,8353418
2,ET,2006,855988192
2,GH,2006,482850421
2,GM,2006,12124265
2,GN,2006,19020501
2,GQ,2006,1047403
2,GW,2006,9228641
2,KE,2006,16449170
2,LS,2006,14252709
2,MG,2006,366158353
2,ML,2006,565877558
2,MR,2006,229551453
2,MW,2006,380573905
2,MZ,2006,496876103
2,NE,2006,239254135
2,NG,2006,16475243
2,RW,2006,271027436
2,SL,2006,27726493
2,SN,2006,348639572
2,ST,2006,2656178
2,TD,2006,39553854
2,TG,2006,212218
2,TZ,2006,651664093
2,UG,2006,499654983
2,ZM,2006,307851717
11,55,2006,56786313
11,AL,2006,845482
11,AM,2006,1505653
11,AR,2006,5455099
11,BA,2006,486442
11,BD,2006,1262432
11,BF,2006,3219782
11,BI,2006,1598309
11,BJ,2006,127401
11,BO,2006,1389834
11,BR,2006,9358217
11,BT,2006,683335
11,BY,2006,335876
11,CD,2006,173729
11,CL,2006,1829948
11,CM,2006,4574871
11,CN,2006,21368702
11,CO,2006,4389560
11,CR,2006,1216105
11,CV,2006,231639
11,DJ,2006,23163
11,EC,2006,1911022
11,EG,2006,57909
11,ET,2006,254802
11,GA,2006,-11582
11,GD,2006,81073
11,GE,2006,3335602
11,GH,2006,3984191
11,GM,2006,532769
11,GN,2006,231639
11,GT,2006,115819
11,GW,2006,1470907
11,HN,2006,127401
11,HR,2006,2443791
11,ID,2006,2756504
11,IN,2006,1274014
11,JO,2006,440114
11,KE,2006,1343506
11,KG,2006,150565
11,KH,2006,787572
11,KI,2006,289548
11,KZ,2006,1355088
11,LA,2006,486442
11,LK,2006,3891536
11,LR,2006,347458
11,LS,2006,1667801
11,MA,2006,2003677
11,MD,2006,3509331
11,MG,2006,2744922
11,MK,2006,138983
11,ML,2006,1447744
11,MN,2006,521187
11,MR,2006,173729
11,MU,2006,11581
11,MW,2006,23163
11,MX,2006,7644088
11,MZ,2006,1760456
11,NA,2006,1262432
11,NE,2006,486442
11,NG,2006,3115545
11,NI,2006,463278
11,NP,2006,46327
11,PA,2006,46327
11,PE,2006,6937589
11,PH,2006,2883906
11,PK,2006,1378252
11,PY,2006,521187
11,RS,2006,961302
11,RW,2006,498023
11,SC,2006,393786
11,SL,2006,104237
11,SN,2006,2385882
11,SV,2006,-11582
11,SZ,2006,-34746
11,TD,2006,949720
11,TH,2006,231639
11,TJ,2006,555933
11,TN,2006,2270062
11,TR,2006,3451421
11,TZ,2006,10678560
11,UA,2006,57909
11,UG,2006,3833626
11,UY,2006,567515
11,VE,2006,463278
11,VN,2006,2849160
11,YE,2006,891810
11,ZA,2006,4447469
11,ZM,2006,1320342
12,52,2006,2640059
12,55,2006,249011
12,59,2006,3320163
12,61,2006,4626677
12,63,2006,1913651
12,65,2006,9854295
12,AF,2006,4480293
12,AM,2006,2864147
12,AO,2006,13678807
12,AR,2006,2102784
12,AZ,2006,7135872
12,BA,2006,1924526
12,BD,2006,14233142
12,BF,2006,7075403
12,BI,2006,11187112
12,BJ,2006,8364544
12,BO,2006,6684454
12,BT,2006,825990
12,BW,2006,3239669
12,BY,2006,3262705
12,BZ,2006,505274
12,CD,2006,28956885
12,CF,2006,15157185
12,CG,2006,4611551
12,CI,2006,6980454
12,CL,2006,2586053
12,CM,2006,18336906
12,CN,2006,75928536
12,CO,2006,5211635
12,CR,2006,522925
12,CU,2006,4664075
12,DJ,2006,4041290
12,DO,2006,7160947
12,DZ,2006,2200570
12,EC,2006,7903350
12,EG,2006,1403246
12,ER,2006,6850863
12,ET,2006,151285792
12,GA,2006,6410935
