country,year,oda-percent-gni
AU,2000,0.27
AT,2000,0.23
BE,2000,0.36
CA,2000,0.25
CZ,2000,0.03
DK,2000,1.06
FI,2000,0.31
FR,2000,0.3
DE,2000,0.27
GR,2000,0.2
IS,2000,0.1
IE,2000,0.29
IT,2000,0.13
JP,2000,0.28
KR,2000,0.04
LU,2000,0.7
NL,2000,0.84
NZ,2000,0.25
NO,2000,0.76
PL,2000,0.02
PT,2000,0.26
SK,2000,0.03
SI,2000,0
ES,2000,0.22
SE,2000,0.8
CH,2000,0.32
GB,2000,0.32
US,2000,0.1
BG,2000,0
HR,2000,0
CY,2000,0
EE,2000,0
HU,2000,0
IL,2000,0
KW,2000,0
LV,2000,0
LI,2000,0
LT,2000,0
MT,2000,0
RO,2000,0
RU,2000,0
SA,2000,0
TW,2000,0
TH,2000,0
TR,2000,0.04
AE,2000,0
AU,2001,0.25
AT,2001,0.34
BE,2001,0.37
CA,2001,0.22
CZ,2001,0.05
DK,2001,1.03
FI,2001,0.32
FR,2001,0.31
DE,2001,0.27
GR,2001,0.17
IS,2001,0.13
IE,2001,0.33
IT,2001,0.15
JP,2001,0.23
KR,2001,0.06
LU,2001,0.77
NL,2001,0.82
NZ,2001,0.25
NO,2001,0.8
PL,2001,0.02
PT,2001,0.25
SK,2001,0.04
SI,2001,0
ES,2001,0.3
SE,2001,0.77
CH,2001,0.33
GB,2001,0.32
US,2001,0.11
BG,2001,0
HR,2001,0
CY,2001,0
EE,2001,0
HU,2001,0
IL,2001,0.08
KW,2001,0
LV,2001,0
LI,2001,0
LT,2001,0
MT,2001,0
RO,2001,0
RU,2001,0
SA,2001,0
TW,2001,0
TH,2001,0
TR,2001,0.04
AE,2001,0
AU,2002,0.26
AT,2002,0.26
BE,2002,0.43
CA,2002,0.28
CZ,2002,0.07
DK,2002,0.96
FI,2002,0.35
FR,2002,0.37
DE,2002,0.27
GR,2002,0.21
IS,2002,0.15
IE,2002,0.4
IT,2002,0.2
JP,2002,0.23
KR,2002,0.05
LU,2002,0.78
NL,2002,0.81
NZ,2002,0.22
NO,2002,0.89
PL,2002,0
PT,2002,0.27
SK,2002,0.02
SI,2002,0
ES,2002,0.26
SE,2002,0.84
CH,2002,0.32
GB,2002,0.31
US,2002,0.13
BG,2002,0
HR,2002,0
CY,2002,0
EE,2002,0
HU,2002,0
IL,2002,0.12
KW,2002,0
LV,2002,0
LI,2002,0
LT,2002,0
MT,2002,0
RO,2002,0
RU,2002,0
SA,2002,0
TW,2002,0
TH,2002,0
TR,2002,0.04
AE,2002,0
AU,2003,0.25
AT,2003,0.2
BE,2003,0.6
CA,2003,0.24
CZ,2003,0.11
DK,2003,0.84
FI,2003,0.35
FR,2003,0.4
DE,2003,0.28
GR,2003,0.21
IS,2003,0.17
IE,2003,0.39
IT,2003,0.17
JP,2003,0.2
KR,2003,0.06
LU,2003,0.86
NL,2003,0.8
NZ,2003,0.23
NO,2003,0.92
PL,2003,0.01
PT,2003,0.22
SK,2003,0.05
SI,2003,0
ES,2003,0.23
SE,2003,0.79
CH,2003,0.36
GB,2003,0.34
US,2003,0.15
BG,2003,0
HR,2003,0
CY,2003,0
EE,2003,0
HU,2003,0.03
IL,2003,0.1
KW,2003,0
LV,2003,0.01
LI,2003,0
LT,2003,0.01
MT,2003,0
RO,2003,0
RU,2003,0
SA,2003,0
TW,2003,0
TH,2003,0
TR,2003,0.04
AE,2003,0
AU,2004,0.25
AT,2004,0.23
BE,2004,0.41
CA,2004,0.27
CZ,2004,0.11
DK,2004,0.85
FI,2004,0.37
FR,2004,0.41
DE,2004,0.28
GR,2004,0.16
IS,2004,0.18
IE,2004,0.39
IT,2004,0.15
JP,2004,0.19
KR,2004,0.06
LU,2004,0.79
NL,2004,0.73
NZ,2004,0.23
NO,2004,0.87
PL,2004,0.05
PT,2004,0.63
SK,2004,0.07
SI,2004,0
ES,2004,0.24
SE,2004,0.78
CH,2004,0.39
GB,2004,0.36
US,2004,0.17
BG,2004,0
HR,2004,0
CY,2004,0
EE,2004,0.05
HU,2004,0.07
IL,2004,0.07
KW,2004,0
LV,2004,0.06
LI,2004,0
LT,2004,0.04
MT,2004,0
RO,2004,0
RU,2004,0
SA,2004,0
TW,2004,0
TH,2004,0
TR,2004,0.11
AE,2004,0
AU,2005,0.25
AT,2005,0.52
BE,2005,0.53
CA,2005,0.34
CZ,2005,0.11
DK,2005,0.81
FI,2005,0.46
FR,2005,0.47
DE,2005,0.36
GR,2005,0.17
IS,2005,0.18
IE,2005,0.42
IT,2005,0.29
JP,2005,0.28
KR,2005,0.1
LU,2005,0.79
NL,2005,0.82
NZ,2005,0.27
NO,2005,0.94
PL,2005,0.07
PT,2005,0.21
SK,2005,0
SI,2005,0.11
ES,2005,0.27
