id,color,detail,source-title,source-link
LR,Green,2008,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
LY,Green,2006,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MG,Red,1993,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MW,Green,2008,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
ML,Green,2009,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MR,Green,2013,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MU,Green,2011,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MA,Green,2014,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
MZ,Green,2007,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
NA,Green,2011,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
NE,Green,2012,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
NG,Green,2006,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
RW,Green,2012,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
ST,Green,2012,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SN,Green,2013,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SC,Green,2010,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SL,Orange,2004,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SO,Red,1987,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
ZA,Green,2011,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SS,Green,2008,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SD,Green,2008,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
SZ,Green,2007,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
TZ,Green,2012,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
TG,Green,2010,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
TN,Green,2014,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
UG,Green,2014,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
EH,Red,None,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
ZM,Green,2010,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
ZW,Green,2012,UN 2010 World Population and Housing Census Programme,http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm
