country,year,out_PDA
AT,2011,181.88
AU,2011,1110.92
BE,2011,452.01
CA,2011,1449.17
CH,2011,643.94
DE,2011,1597.69
DK,2011,155.22
ES,2011,478.60
FI,2011,78.13
FR,2011,972.39
GB,2011,4850.92
GR,2011,0.18
IE,2011,202.34
IT,2011,583.33
JP,2011,639.76
KR,2011,174.51
LU,2011,32.21
NL,2011,840.73
NO,2011,287.47
NZ,2011,96.60
PT,2011,8.91
SE,2011,241.38
US,2011,30359.55
