country,year,out-oda-gross
1,2006,211630326
2,2006,6927633417
11,2006,220172917
12,2006,1449754691
15,2006,46698888016
21,2006,5464272588
27,2006,209210362
28,2006,519442665
31,2006,245864554
33,2006,852862884
AT,2006,1254221947
AU,2006,2924477701
BE,2006,1631158547
CA,2006,2506363021
CH,2006,1787531466
DE,2006,9524970950
DK,2006,1249680381
ES,2006,2480052197
EU,2006,11287943897
FI,2006,562524396
FR,2006,9846755282
GB,2006,8230733356
GR,2006,226822803
IE,2006,614512867
IT,2006,2665733785
JP,2006,17409822971
KR,2006,391554267
LU,2006,245390149
NL,2006,5197805634
NO,2006,3045819916
NZ,2006,282681389
PT,2006,234467280
SE,2006,3429474747
US,2006,24523095959
1,2007,188526475
2,2007,1210448046
10,2007,1040486352
11,2007,206576989
12,2007,1739616676
15,2007,11582200861
21,2007,557360031
27,2007,206466575
28,2007,484158995
31,2007,231401271
33,2007,1049252764
AT,2007,1382681215
AU,2007,3266355914
BE,2007,1356668982
CA,2007,2677010663
CH,2007,1682802033
DE,2007,9287328655
DK,2007,1528564535
ES,2007,3412539138
EU,2007,11447136850
FI,2007,608006086
FR,2007,7677196014
GB,2007,6590912109
GR,2007,252703187
IE,2007,723524998
IT,2007,1597484853
JP,2007,15818931292
KR,2007,490392481
LU,2007,276417223
NL,2007,4772411690
NO,2007,3555109760
NZ,2007,288863721
PT,2007,273833916
SE,2007,3171760868
US,2007,21354007861
1,2008,180167359
2,2008,1847089653
10,2008,784190498
11,2008,426295655
12,2008,2204423703
15,2008,9449453362
21,2008,1055784381
27,2008,212480878
28,2008,503875609
29,2008,10990382
31,2008,277963989
33,2008,1000915622
37,2008,321699251
AT,2008,1223145629
AU,2008,3592873303
BE,2008,1419172916
CA,2008,3710210446
CH,2008,1833614906
DE,2008,10333440997
DK,2008,1427216415
ES,2008,4829803701
EU,2008,11970085871
FI,2008,667186802
FR,2008,7398635835
GB,2008,7535335226
GR,2008,288979476
IE,2008,795926980
IT,2008,1941714229
JP,2008,15936878647
KR,2008,626752923
LU,2008,287889132
NL,2008,5058934102
NO,2008,3326342801
NZ,2008,337979757
PT,2008,346710309
SE,2008,3268344899
US,2008,25841155695
1,2009,175351284
2,2009,3154581190
10,2009,555931640
11,2009,443765919
12,2009,2450636494
15,2009,13254638288
17,2009,1074607365
21,2009,2731461967
24,2009,79912998
25,2009,341467186
27,2009,254850531
28,2009,661224227
29,2009,13361211
31,2009,363344299
33,2009,1139129126
37,2009,304436234
38,2009,458061040
AE,2009,1088752852
AT,2009,507020127
AU,2009,3342580950
BE,2009,1629652885
CA,2009,3914249695
CH,2009,2052162884
DE,2009,8008165816
DK,2009,1652520328
ES,2009,4378412686
EU,2009,12552714137
FI,2009,770168988
FR,2009,8078583812
GB,2009,8389077173
GR,2009,277847347
IE,2009,642078466
IT,2009,1004549759
JP,2009,14460812723
KR,2009,739393599
LU,2009,281608651
NL,2009,4727588771
NO,2009,3980962376
NZ,2009,307623026
PT,2009,289862197
SE,2009,3521583415
US,2009,27292420797
1,2010,163974442
2,2010,2435481841
3,2010,1068104584
6,2010,2004142027
10,2010,813275700
11,2010,446860121
12,2010,3147629114
15,2010,12591165251
17,2010,1250899323
21,2010,3087492836
24,2010,67505658
25,2010,339702253
27,2010,255210663
28,2010,636691496
29,2010,12715258
31,2010,846300921
33,2010,1090608603
34,2010,53018807
35,2010,566002158
37,2010,253134164
38,2010,380378292
AE,2010,559273420
AT,2010,621683613
AU,2010,3792900901
BE,2010,2146683138
CA,2010,4295883555
CH,2010,1931359897
DE,2010,9406632409
DK,2010,2185124359
ES,2010,4249614465
EU,2010,12506427865
FI,2010,861151925
FR,2010,9129591472
GB,2010,8927274801
GR,2010,206042814
IE,2010,577303770
IT,2010,973364649
JP,2010,16197963609
KR,2010,981698929
KW,2010,648859342
LU,2010,324444843
NL,2010,4923288399
NO,2010,4052833288
NZ,2010,309740233
PT,2010,418843651
SE,2010,3184447354
US,2010,28410472150
1,2011,122548615
2,2011,2176142904
4,2011,811633379
6,2011,1893552353
7,2011,93736141
9,2011,38236
10,2011,799848008
12,2011,2583504463
14,2011,205612436
15,2011,11424027955
17,2011,1669051829
21,2011,1420172535
24,2011,68067828
25,2011,286119897
26,2011,147188892
27,2011,259112337
28,2011,688871620
29,2011,12193232
31,2011,307795931
32,2011,430811900
33,2011,1077989916
34,2011,60661712
35,2011,593412772
37,2011,336670282
38,2011,441428942
AE,2011,743995497
AT,2011,465269665
AU,2011,4140661142
BE,2011,1876257817
CA,2011,4181481959
CH,2011,2274813073
CZ,2011,70737436
DE,2011,9604749579
DK,2011,2095724759
ES,2011,2383374707
EU,2011,11709537471
FI,2011,817410242
FR,2011,8815612241
GB,2011,8816878177
GR,2011,141122601
IE,2011,564008200
IS,2011,19129000
IT,2011,1967949226
JP,2011,15595701322
KR,2011,1030751580
KW,2011,483479822
LU,2011,267554374
NL,2011,4262243355
NO,2011,3696104371
NZ,2011,338901155
PT,2011,474797234
SE,2011,3572709425
US,2011,28695996095
1,2012,114435869
2,2012,2433518498
4,2012,854754056
6,2012,1834769648
7,2012,122011580
10,2012,1068260317
11,2012,539154908
12,2012,3358845000
15,2012,12163364455
17,2012,1620455527
21,2012,1506447030
22,2012,279618500
24,2012,56080602
25,2012,312709806
26,2012,134810809
27,2012,242008955
28,2012,487211651
29,2012,12364670
31,2012,348622678
32,2012,423791600
33,2012,1154970423
34,2012,66942669
35,2012,667344262
37,2012,354863358
38,2012,397034016
AE,2012,1100869362
AT,2012,543332692
AU,2012,4672754548
BE,2012,1476966591
CA,2012,4105175053
CH,2012,2495494687
CZ,2012,66435267
DE,2012,10214175749
DK,2012,2041287932
ES,2012,1071368981
EU,2012,18088096330
FI,2012,805179045
FR,2012,9406362555
GB,2012,9029302793
GR,2012,107314334
IE,2012,536175769
IS,2012,21207366
IT,2012,717677467
JP,2012,14459863269
KR,2012,1232191852
KW,2012,451421711
LU,2012,279497463
NL,2012,3963978820
NO,2012,3619137911
NZ,2012,366339656
PT,2012,435128534
SE,2012,3694605506
US,2012,26042196379
