id,year,flow-name,value
AU,1960,out-debt-relief,0
AT,1960,out-debt-relief,0
BE,1960,out-debt-relief,0
CA,1960,out-debt-relief,0
CZ,1960,out-debt-relief,
DK,1960,out-debt-relief,0
FI,1960,out-debt-relief,0
FR,1960,out-debt-relief,0
DE,1960,out-debt-relief,0
GR,1960,out-debt-relief,0
IS,1960,out-debt-relief,0
IE,1960,out-debt-relief,0
IT,1960,out-debt-relief,0
JP,1960,out-debt-relief,0
KR,1960,out-debt-relief,
LU,1960,out-debt-relief,0
NL,1960,out-debt-relief,0
NZ,1960,out-debt-relief,0
NO,1960,out-debt-relief,0
PL,1960,out-debt-relief,
PT,1960,out-debt-relief,0
SK,1960,out-debt-relief,
SI,1960,out-debt-relief,
ES,1960,out-debt-relief,0
SE,1960,out-debt-relief,0
CH,1960,out-debt-relief,0
GB,1960,out-debt-relief,0
US,1960,out-debt-relief,0
AU,1960,out-oda-net-excl-debt-relief,765720973.1
AT,1960,out-oda-net-excl-debt-relief,1355376.086
BE,1960,out-oda-net-excl-debt-relief,1045636055
CA,1960,out-oda-net-excl-debt-relief,524855470.6
CZ,1960,out-oda-net-excl-debt-relief,
DK,1960,out-oda-net-excl-debt-relief,79267235.73
FI,1960,out-oda-net-excl-debt-relief,0
FR,1960,out-oda-net-excl-debt-relief,7916524001
DE,1960,out-oda-net-excl-debt-relief,2608231696
GR,1960,out-oda-net-excl-debt-relief,0
IS,1960,out-oda-net-excl-debt-relief,0
IE,1960,out-oda-net-excl-debt-relief,0
IT,1960,out-oda-net-excl-debt-relief,997482723.4
JP,1960,out-oda-net-excl-debt-relief,1758720602
KR,1960,out-oda-net-excl-debt-relief,
LU,1960,out-oda-net-excl-debt-relief,0
NL,1960,out-oda-net-excl-debt-relief,516902037.7
NZ,1960,out-oda-net-excl-debt-relief,0
NO,1960,out-oda-net-excl-debt-relief,92435981.42
PL,1960,out-oda-net-excl-debt-relief,
PT,1960,out-oda-net-excl-debt-relief,0
SK,1960,out-oda-net-excl-debt-relief,
SI,1960,out-oda-net-excl-debt-relief,
ES,1960,out-oda-net-excl-debt-relief,0
SE,1960,out-oda-net-excl-debt-relief,61670815.18
CH,1960,out-oda-net-excl-debt-relief,75908291.51
GB,1960,out-oda-net-excl-debt-relief,3770073696
US,1960,out-oda-net-excl-debt-relief,16566301221
AU,1961,out-debt-relief,0
AT,1961,out-debt-relief,0
BE,1961,out-debt-relief,0
CA,1961,out-debt-relief,0
CZ,1961,out-debt-relief,
DK,1961,out-debt-relief,0
FI,1961,out-debt-relief,0
FR,1961,out-debt-relief,37335639.18
DE,1961,out-debt-relief,0
GR,1961,out-debt-relief,0
IS,1961,out-debt-relief,0
IE,1961,out-debt-relief,0
IT,1961,out-debt-relief,0
JP,1961,out-debt-relief,0
KR,1961,out-debt-relief,
LU,1961,out-debt-relief,0
NL,1961,out-debt-relief,0
NZ,1961,out-debt-relief,0
NO,1961,out-debt-relief,0
PL,1961,out-debt-relief,
PT,1961,out-debt-relief,0
SK,1961,out-debt-relief,
SI,1961,out-debt-relief,
ES,1961,out-debt-relief,0
SE,1961,out-debt-relief,0
CH,1961,out-debt-relief,0
GB,1961,out-debt-relief,0
US,1961,out-debt-relief,0
AU,1961,out-oda-net-excl-debt-relief,911580554.3
AT,1961,out-oda-net-excl-debt-relief,37448835.53
BE,1961,out-oda-net-excl-debt-relief,943526893.3
CA,1961,out-oda-net-excl-debt-relief,509667278.1
CZ,1961,out-oda-net-excl-debt-relief,
DK,1961,out-oda-net-excl-debt-relief,116369880.4
FI,1961,out-oda-net-excl-debt-relief,18832699.71
FR,1961,out-oda-net-excl-debt-relief,8391184906
DE,1961,out-oda-net-excl-debt-relief,3932372220
GR,1961,out-oda-net-excl-debt-relief,0
IS,1961,out-oda-net-excl-debt-relief,0
IE,1961,out-oda-net-excl-debt-relief,0
