country_from,country_to,year,bl_remittances,,Notes
AD,WF,2012,,,
AD,WS,2012,0,,
AD,XK,2012,0,,
AD,YE,2012,0,,
AD,ZA,2012,0,,
AD,ZM,2012,0,,
AD,ZW,2012,0,,
AE,AF,2012,0,,
AE,AG,2012,0,,
AE,AI,2012,,,
AE,AL,2012,0,,
AE,AM,2012,0,,
AE,AO,2012,0,,
AE,AR,2012,0,,
AE,AZ,2012,0,,
AE,BA,2012,0,,
AE,BD,2012,466.49,,
AE,BF,2012,0,,
AE,BI,2012,0,,
AE,BJ,2012,0,,
AE,BO,2012,0,,
AE,BR,2012,0,,
AE,BT,2012,0,,
AE,BW,2012,0,,
AE,BY,2012,0,,
AE,BZ,2012,0,,
AE,CD,2012,0,,
AE,CF,2012,0,,
AE,CG,2012,0,,
AE,CI,2012,0,,
AE,CK,2012,,,
AE,CL,2012,0,,
AE,CM,2012,0,,
AE,CN,2012,0,,
AE,CO,2012,0,,
AE,CR,2012,0,,
AE,CU,2012,0,,
AE,CV,2012,0,,
AE,DJ,2012,0,,
AE,DM,2012,0,,
AE,DO,2012,0,,
AE,DZ,2012,0,,
AE,EC,2012,0,,
AE,EG,2012,931.05,,
AE,ER,2012,0,,
AE,ET,2012,0,,
AE,FJ,2012,0,,
AE,FM,2012,0,,
AE,GA,2012,0,,
AE,GD,2012,0,,
AE,GE,2012,0,,
AE,GH,2012,0,,
AE,GM,2012,0,,
AE,GN,2012,0,,
AE,GQ,2012,0,,
AE,GT,2012,0,,
AE,GW,2012,0,,
AE,GY,2012,0,,
AE,HN,2012,0,,
AE,HT,2012,0,,
AE,ID,2012,0,,
AE,IN,2012,15684.81,,
AE,IQ,2012,0,,
AE,IR,2012,43.2,,
AE,JM,2012,0,,
AE,JO,2012,0,,
AE,KE,2012,0,,
AE,KG,2012,0,,
AE,KH,2012,0,,
AE,KI,2012,0,,
AE,KM,2012,0,,
AE,KN,2012,0,,
AE,KP,2012,0,,
AE,KZ,2012,0,,
AE,LA,2012,0,,
AE,LB,2012,0,,
AE,LC,2012,0,,
AE,LK,2012,613.16,,
AE,LR,2012,0,,
AE,LS,2012,0,,
AE,LY,2012,0,,
AE,MA,2012,0,,
AE,MD,2012,0,,
AE,ME,2012,0,,
AE,MG,2012,0,,
AE,MH,2012,0,,
AE,MK,2012,0,,
AE,ML,2012,0,,
AE,MM,2012,0,,
AE,MN,2012,0,,
AE,MR,2012,0,,
AE,MS,2012,,,
AE,MU,2012,0,,
AE,MV,2012,0,,
AE,MW,2012,0,,
AE,MX,2012,0,,
AE,MY,2012,0,,
AE,MZ,2012,0,,
AE,NA,2012,0,,
AE,NE,2012,0,,
AE,NG,2012,0,,
AE,NI,2012,0,,
AE,NP,2012,0,,
AE,NR,2012,,,
AE,NU,2012,,,
AE,PA,2012,0,,
AE,PE,2012,0,,
AE,PG,2012,0,,
AE,PH,2012,740.72,,
AE,PK,2012,1706.87,,
AE,PS,2012,0,,
AE,PW,2012,0,,
AE,PY,2012,0,,
AE,RS,2012,0,,
AE,RW,2012,0,,
AE,SB,2012,0,,
AE,SC,2012,0,,
AE,SD,2012,58.29,,
AE,SH,2012,,,
AE,SL,2012,0,,
AE,SN,2012,0,,
AE,SO,2012,0,,
AE,SR,2012,0,,
AE,SS,2012,,,
AE,ST,2012,0,,
AE,SV,2012,0,,
AE,SY,2012,0,,
AE,SZ,2012,0,,
AE,TD,2012,0,,
AE,TG,2012,0,,
AE,TH,2012,0,,
AE,TJ,2012,0,,
AE,TK,2012,,,
AE,TL,2012,0,,
AE,TM,2012,0,,
AE,TN,2012,0,,
AE,TO,2012,0,,
AE,TR,2012,0,,
AE,TV,2012,0,,
AE,TZ,2012,0,,
AE,UA,2012,0,,
AE,UG,2012,0,,
AE,UY,2012,0,,
AE,UZ,2012,0,,
AE,VC,2012,0,,
AE,VE,2012,0,,
AE,VN,2012,0,,
AE,VU,2012,0,,
AE,WF,2012,,,
AE,WS,2012,0,,
AE,XK,2012,0,,
AE,YE,2012,101.96,,
AE,ZA,2012,0,,
AE,ZM,2012,0,,
AE,ZW,2012,0,,
AF,AF,2012,0,,
AF,AG,2012,0,,
AF,AI,2012,,,
AF,AL,2012,0,,
AF,AM,2012,0,,
AF,AO,2012,0,,
AF,AR,2012,0,,
AF,AZ,2012,0,,
AF,BA,2012,0,,
AF,BD,2012,0,,
AF,BF,2012,0,,
AF,BI,2012,0,,
AF,BJ,2012,0,,
AF,BO,2012,0,,
AF,BR,2012,0,,
AF,BT,2012,0,,
AF,BW,2012,0,,
AF,BY,2012,0,,
AF,BZ,2012,0,,
AF,CD,2012,0,,
AF,CF,2012,0,,
AF,CG,2012,0,,
AF,CI,2012,0,,
AF,CK,2012,,,
AF,CL,2012,0,,
AF,CM,2012,0,,
AF,CN,2012,0,,
AF,CO,2012,0,,
AF,CR,2012,0,,
AF,CU,2012,0,,
AF,CV,2012,0,,
AF,DJ,2012,0,,
AF,DM,2012,0,,
AF,DO,2012,0,,
AF,DZ,2012,0,,
AF,EC,2012,0,,
AF,EG,2012,0,,
AF,ER,2012,0,,
AF,ET,2012,0,,
AF,FJ,2012,0,,
AF,FM,2012,0,,
AF,GA,2012,0,,
AF,GD,2012,0,,
AF,GE,2012,0,,
AF,GH,2012,0,,
AF,GM,2012,0,,
AF,GN,2012,0,,
AF,GQ,2012,0,,
AF,GT,2012,0,,
AF,GW,2012,0,,
AF,GY,2012,0,,
AF,HN,2012,0,,
AF,HT,2012,0,,
AF,ID,2012,0,,
AF,IN,2012,0,,
AF,IQ,2012,0,,
AF,IR,2012,0,,
AF,JM,2012,0,,
AF,JO,2012,0,,
AF,KE,2012,0,,
AF,KG,2012,0,,
AF,KH,2012,0,,
