country,year,to-oda-interest
2,2006,1403790567
6,2006,203640000
8,2006,12413414
15,2006,983029810
17,2006,153850000
18,2006,39310000
21,2006,33529752
24,2006,3570000
AT,2006,5002991
BE,2006,3588445
DE,2006,348295710
DK,2006,10221168
ES,2006,5692728
EU,2006,118984385
FR,2006,417770620
GB,2006,1484956
JP,2006,2985220958
KR,2006,18486606
NL,2006,37840487
PT,2006,1281154
US,2006,357125842
2,2007,124025334
6,2007,210240000
7,2007,16210000
8,2007,11929726
15,2007,827890759
17,2007,109310000
18,2007,42980000
21,2007,30169480
24,2007,3820000
AT,2007,736203
BE,2007,2997590
DE,2007,325722024
DK,2007,2277407
ES,2007,13912013
EU,2007,20625358
FI,2007,104100
FR,2007,477228451
GB,2007,19457406
IT,2007,376412
JP,2007,2961911702
KR,2007,28052732
NL,2007,58221056
PT,2007,1471535
US,2007,352347281
2,2008,121045213
6,2008,255980000
7,2008,14180000
8,2008,11924596
15,2008,937810555
17,2008,93460000
18,2008,46180000
21,2008,61448091
24,2008,6410000
AT,2008,276375
BE,2008,2479103
DE,2008,460683900
DK,2008,636824
ES,2008,34523556
FR,2008,507341305
IT,2008,894580
JP,2008,2762096720
KR,2008,28658449
NL,2008,28366733
PT,2008,8113422
US,2008,484844390
2,2009,96008010
6,2009,260620000
7,2009,18550000
8,2009,12315292
15,2009,846412069
17,2009,92662673
18,2009,48820000
21,2009,36976979
25,2009,44884137
AE,2009,62921
AT,2009,204662
BE,2009,2380721
CA,2009,2423688
DE,2009,294604452
DK,2009,813215
ES,2009,5828981
EU,2009,2145973
FI,2009,39182
FR,2009,406479455
IT,2009,410812
JP,2009,2637040209
KR,2009,29658143
NL,2009,25358059
PT,2009,10415034
US,2009,303150829
2,2010,91956070
6,2010,297346090
7,2010,17520000
15,2010,864910508
17,2010,79347682
21,2010,893180
24,2010,1163212
AT,2010,141071
CA,2010,2359161
DE,2010,291341584
ES,2010,57364094
FI,2010,20526
FR,2010,407054804
JP,2010,2268265722
KR,2010,29548587
KW,2010,137248641
PT,2010,12880691
US,2010,246188929
2,2011,96694660
6,2011,315150796
7,2011,16311000
8,2011,12494456
15,2011,924133883
17,2011,88544040
18,2011,62270000
24,2011,517344
AT,2011,94100
AU,2011,12710088
BE,2011,2865306
CA,2011,2293668
DE,2011,302806834
ES,2011,51020634
EU,2011,479804019
FI,2011,19024
FR,2011,306088658
IT,2011,7165874
JP,2011,2536451610
KR,2011,31781411
KW,2011,128867645
PT,2011,16469489
US,2011,236726039
2,2012,105140000
6,2012,309910000
7,2012,15720000
8,2012,13020000
15,2012,898120000
17,2012,99900000
18,2012,57440000
24,2012,7400000
AT,2012,150000
BE,2012,20000
CA,2012,2250000
DE,2012,335230000
ES,2012,35490000
EU,2012,555710000
FR,2012,336730000
IT,2012,2140000
JP,2012,2388150000
KR,2012,33720000
KW,2012,127820000
PT,2012,16710000
US,2012,191780000
