id-from,id-to,year,financing-type,value,,
US,country-unspecified,2000,equity,15546000000,,
US,country-unspecified,2000,reinvested,12505000000,,
US,country-unspecified,2000,debt-other,0,,
US,country-unspecified,2001,equity,4305000000,,
US,country-unspecified,2001,reinvested,10112000000,,
US,country-unspecified,2001,debt-other,0,,
US,country-unspecified,2002,equity,10938000000,,
US,country-unspecified,2002,reinvested,8771000000,,
US,country-unspecified,2002,debt-other,0,,
US,country-unspecified,2003,equity,3397000000,,
US,country-unspecified,2003,reinvested,18181000000,,
US,country-unspecified,2003,debt-other,0,,
US,country-unspecified,2004,equity,59332000000,,
US,country-unspecified,2004,reinvested,30701000000,,
US,country-unspecified,2004,debt-other,12223000000,,
US,country-unspecified,2005,equity,6788000000,,
US,country-unspecified,2005,reinvested,28145000000,,
US,country-unspecified,2005,debt-other,0,,
US,country-unspecified,2006,equity,11126000000,,
US,country-unspecified,2006,reinvested,42184000000,,
US,country-unspecified,2006,debt-other,0,,
US,country-unspecified,2007,equity,34153000000,,
US,country-unspecified,2007,reinvested,41998000000,,
US,country-unspecified,2007,debt-other,0,,
US,country-unspecified,2008,equity,31367000000,,
US,country-unspecified,2008,reinvested,39518000000,,
US,country-unspecified,2008,debt-other,3984000000,,
US,country-unspecified,2009,equity,529000000,,
US,country-unspecified,2009,reinvested,44540000000,,
US,country-unspecified,2009,debt-other,6565000000,,
US,country-unspecified,2010,equity,0,,
US,country-unspecified,2010,reinvested,55037000000,,
US,country-unspecified,2010,debt-other,0,,
US,country-unspecified,2011,equity,0,,
US,country-unspecified,2011,reinvested,58861000000,,
US,country-unspecified,2011,debt-other,0,,
US,country-unspecified,2012,equity,0,,
US,country-unspecified,2012,reinvested,47979000000,,
US,country-unspecified,2012,debt-other,10602000000,,
GB,country-unspecified,2000,equity,,,
GB,country-unspecified,2000,reinvested,,,
GB,country-unspecified,2000,debt-other,,,
GB,country-unspecified,2001,equity,,,
GB,country-unspecified,2001,reinvested,,,
GB,country-unspecified,2001,debt-other,,,
GB,country-unspecified,2002,equity,,,
GB,country-unspecified,2002,reinvested,,,
GB,country-unspecified,2002,debt-other,,,
GB,country-unspecified,2003,equity,,,
GB,country-unspecified,2003,reinvested,,,
GB,country-unspecified,2003,debt-other,,,
GB,country-unspecified,2004,equity,,,
GB,country-unspecified,2004,reinvested,,,
GB,country-unspecified,2004,debt-other,,,
GB,country-unspecified,2005,equity,,,
GB,country-unspecified,2005,reinvested,,,
GB,country-unspecified,2005,debt-other,,,
GB,country-unspecified,2006,equity,,,
GB,country-unspecified,2006,reinvested,,,
GB,country-unspecified,2006,debt-other,,,
GB,country-unspecified,2007,equity,,,
GB,country-unspecified,2007,reinvested,,,
GB,country-unspecified,2007,debt-other,,,
GB,country-unspecified,2008,equity,,,
GB,country-unspecified,2008,reinvested,,,
GB,country-unspecified,2008,debt-other,,,
GB,country-unspecified,2009,equity,,,
GB,country-unspecified,2009,reinvested,,,
GB,country-unspecified,2009,debt-other,,,
GB,country-unspecified,2010,equity,,,
GB,country-unspecified,2010,reinvested,,,
GB,country-unspecified,2010,debt-other,,,
GB,country-unspecified,2011,equity,,,
GB,country-unspecified,2011,reinvested,,,
GB,country-unspecified,2011,debt-other,,,
GB,country-unspecified,2012,equity,261448264.9,,
GB,country-unspecified,2012,reinvested,14756773890,,
GB,country-unspecified,2012,debt-other,-2183489146,,
DE,country-unspecified,2000,equity,,,
DE,country-unspecified,2000,reinvested,,,
DE,country-unspecified,2000,debt-other,,,
DE,country-unspecified,2001,equity,,,
DE,country-unspecified,2001,reinvested,,,
DE,country-unspecified,2001,debt-other,,,
DE,country-unspecified,2002,equity,,,
DE,country-unspecified,2002,reinvested,,,
DE,country-unspecified,2002,debt-other,,,
DE,country-unspecified,2003,equity,,,
DE,country-unspecified,2003,reinvested,,,
DE,country-unspecified,2003,debt-other,,,
DE,country-unspecified,2004,equity,,,
DE,country-unspecified,2004,reinvested,,,
DE,country-unspecified,2004,debt-other,,,
DE,country-unspecified,2005,equity,,,
DE,country-unspecified,2005,reinvested,,,
DE,country-unspecified,2005,debt-other,,,
DE,country-unspecified,2006,equity,,,
DE,country-unspecified,2006,reinvested,,,
DE,country-unspecified,2006,debt-other,,,
DE,country-unspecified,2007,equity,,,
DE,country-unspecified,2007,reinvested,,,
DE,country-unspecified,2007,debt-other,,,
DE,country-unspecified,2008,equity,,,
DE,country-unspecified,2008,reinvested,,,
DE,country-unspecified,2008,debt-other,,,
