id,aid-type,year,value
AE,out-oda-net-excl-debt-relief,1970,3209475.78
AE,out-oda-net-excl-debt-relief,1971,592633669.03
AE,out-oda-net-excl-debt-relief,1972,600548395.01
AE,out-oda-net-excl-debt-relief,1973,3035084433.74
AE,out-oda-net-excl-debt-relief,1974,4591779322.33
AE,out-oda-net-excl-debt-relief,1975,7566606732.96
AE,out-oda-net-excl-debt-relief,1976,8668199724.61
AE,out-oda-net-excl-debt-relief,1977,6233307271.58
AE,out-oda-net-excl-debt-relief,1978,5162818290.43
AE,out-oda-net-excl-debt-relief,1979,4741891621.90
AE,out-oda-net-excl-debt-relief,1980,5334683724.84
AE,out-oda-net-excl-debt-relief,1981,4151764085.86
AE,out-oda-net-excl-debt-relief,1982,2594148006.56
AE,out-oda-net-excl-debt-relief,1983,1542004545.13
AE,out-oda-net-excl-debt-relief,1984,837871309.38
AE,out-oda-net-excl-debt-relief,1985,943427411.39
AE,out-oda-net-excl-debt-relief,1986,599211114.95
AE,out-oda-net-excl-debt-relief,1987,609889561.20
AE,out-oda-net-excl-debt-relief,1988,173945665.50
AE,out-oda-net-excl-debt-relief,1989,555784139.47
AE,out-oda-net-excl-debt-relief,1990,3833629707.36
AE,out-oda-net-excl-debt-relief,1991,2308474929.03
AE,out-oda-net-excl-debt-relief,1992,822695638.47
AE,out-oda-net-excl-debt-relief,1993,880149222.19
AE,out-oda-net-excl-debt-relief,1994,507364641.09
AE,out-oda-net-excl-debt-relief,1995,305445021.55
AE,out-oda-net-excl-debt-relief,1996,404651505.19
AE,out-oda-net-excl-debt-relief,1997,873383566.01
AE,out-oda-net-excl-debt-relief,1998,1359213008.66
AE,out-oda-net-excl-debt-relief,1999,835721752.30
AE,out-oda-net-excl-debt-relief,2000,588195884.83
AE,out-oda-net-excl-debt-relief,2001,756128735.50
AE,out-oda-net-excl-debt-relief,2002,835741564.02
AE,out-oda-net-excl-debt-relief,2003,1221017347.11
AE,out-oda-net-excl-debt-relief,2004,586175096.13
AE,out-oda-net-excl-debt-relief,2005,598260166.23
AE,out-oda-net-excl-debt-relief,2006,898068787.28
AE,out-oda-net-excl-debt-relief,2007,2584202571.30
AE,out-oda-net-excl-debt-relief,2008,1284117220.08
AE,out-oda-net-excl-debt-relief,2009,992441243.29
AE,out-oda-net-excl-debt-relief,2010,429485317.59
AE,out-oda-net-excl-debt-relief,2011,696664276.87
AE,out-oda-net-excl-debt-relief,2012,759150000.00
AE,out-oda-net-excl-debt-relief,2013,5370730935.87
AE,out-oda-net-excl-debt-relief,2014,5032507631.02
AE,out-oda-net-excl-debt-relief,2015,4845872637.54
