id,parent,purpose-code,purpose-name,sector,sector-web-id,year,value
adaptation-fund,Adaptation Fund,14015,Water resources protection,Water & sanitation,water-and-sanitation,2014,1265139.31
adaptation-fund,Adaptation Fund,14015,Water resources protection,Water & sanitation,water-and-sanitation,2011,4511572.39
adaptation-fund,Adaptation Fund,14015,Water resources protection,Water & sanitation,water-and-sanitation,2010,8945318.28
adaptation-fund,Adaptation Fund,14050,Waste management/disposal,Water & sanitation,water-and-sanitation,2011,10790649.94
adaptation-fund,Adaptation Fund,14050,Waste management/disposal,Water & sanitation,water-and-sanitation,2010,4346341.16
adaptation-fund,Adaptation Fund,41010,Environmental policy and admin. mgmt,Environment,environment,2011,4424949.53
adaptation-fund,Adaptation Fund,41010,Environmental policy and admin. mgmt,Environment,environment,2014,7776695.44
adaptation-fund,Adaptation Fund,41050,Flood prevention/control,Environment,environment,2010,9057894.99
adaptation-fund,Adaptation Fund,41050,Flood prevention/control,Environment,environment,2014,901589.46
adaptation-fund,Adaptation Fund,41050,Flood prevention/control,Environment,environment,2012,3885330.00
adaptation-fund,Adaptation Fund,41050,Flood prevention/control,Environment,environment,2011,3764649.34
adaptation-fund,Adaptation Fund,43040,Rural development,Other,other,2014,3146352.74
adaptation-fund,Adaptation Fund,43040,Rural development,Other,other,2013,6770915.54
adaptation-fund,Adaptation Fund,43040,Rural development,Other,other,2012,13377604.00
adaptation-fund,Adaptation Fund,43040,Rural development,Other,other,2011,11085703.26
adaptation-fund,Adaptation Fund,52010,Food aid/Food security programmes,Agriculture & food security,agriculture-and-food-security,2012,4739390.00
adaptation-fund,Adaptation Fund,52010,Food aid/Food security programmes,Agriculture & food security,agriculture-and-food-security,2011,9545628.32
adaptation-fund,Adaptation Fund,74010,Disaster prevention and preparedness,Humanitarian,humanitarian,2011,1910765.66
adaptation-fund,Adaptation Fund,74010,Disaster prevention and preparedness,Humanitarian,humanitarian,2012,1842090.00
afdb,African Development Bank and Fund,11110,Education policy & administrative management,Education,education,2014,87765.32
afdb,African Development Bank and Fund,11110,Education policy & administrative management,Education,education,2012,62768.70
afdb,African Development Bank and Fund,11182,Educational research,Education,education,2011,726101.51
afdb,African Development Bank and Fund,11220,Primary education,Education,education,2014,0.00
afdb,African Development Bank and Fund,11420,Higher education,Education,education,2014,370439.30
afdb,African Development Bank and Fund,11420,Higher education,Education,education,2013,118332.74
afdb,African Development Bank and Fund,11420,Higher education,Education,education,2011,487678.02
afdb,African Development Bank and Fund,11430,Advanced technical & managerial training,Education,education,2011,708304.87
afdb,African Development Bank and Fund,12110,Health policy & administrative management,Health,health,2014,595806.95
afdb,African Development Bank and Fund,12110,Health policy & administrative management,Health,health,2013,669750.19
afdb,African Development Bank and Fund,12110,Health policy & administrative management,Health,health,2011,690271.52
afdb,African Development Bank and Fund,12110,Health policy & administrative management,Health,health,2012,200667.51
afdb,African Development Bank and Fund,12182,Medical research,Health,health,2011,988343.89
afdb,African Development Bank and Fund,12250,Infectious disease control,Health,health,2014,0.00
afdb,African Development Bank and Fund,12250,Infectious disease control,Health,health,2013,0.00
afdb,African Development Bank and Fund,12250,Infectious disease control,Health,health,2012,0.00
afdb,African Development Bank and Fund,14010,Water resources policy/administrative management,Water & sanitation,water-and-sanitation,2014,2267364.21
afdb,African Development Bank and Fund,14010,Water resources policy/administrative management,Water & sanitation,water-and-sanitation,2013,879481.20
afdb,African Development Bank and Fund,14010,Water resources policy/administrative management,Water & sanitation,water-and-sanitation,2012,1200827.21
afdb,African Development Bank and Fund,14010,Water resources policy/administrative management,Water & sanitation,water-and-sanitation,2011,1373013.94
afdb,African Development Bank and Fund,14020,Water supply and sanitation - large systems,Water & sanitation,water-and-sanitation,2013,42794.85
afdb,African Development Bank and Fund,14020,Water supply and sanitation - large systems,Water & sanitation,water-and-sanitation,2011,41446.44
afdb,African Development Bank and Fund,14021,Water supply - large systems,Water & sanitation,water-and-sanitation,2013,468016.23
afdb,African Development Bank and Fund,14021,Water supply - large systems,Water & sanitation,water-and-sanitation,2012,246946.90
afdb,African Development Bank and Fund,14022,Sanitation - large systems,Water & sanitation,water-and-sanitation,2013,574160.94
afdb,African Development Bank and Fund,14022,Sanitation - large systems,Water & sanitation,water-and-sanitation,2012,214020.80
afdb,African Development Bank and Fund,14022,Sanitation - large systems,Water & sanitation,water-and-sanitation,2014,376151.69
afdb,African Development Bank and Fund,14030,Basic drinking water supply and basic sanitation,Water & sanitation,water-and-sanitation,2013,7067.00
afdb,African Development Bank and Fund,14031,Basic drinking water supply,Water & sanitation,water-and-sanitation,2013,20709.92
afdb,African Development Bank and Fund,14031,Basic drinking water supply,Water & sanitation,water-and-sanitation,2012,0.00
afdb,African Development Bank and Fund,14040,River basins development,Water & sanitation,water-and-sanitation,2014,215930.43
afdb,African Development Bank and Fund,14040,River basins development,Water & sanitation,water-and-sanitation,2013,137194.43
afdb,African Development Bank and Fund,14040,River basins development,Water & sanitation,water-and-sanitation,2012,54019.60
afdb,African Development Bank and Fund,14040,River basins development,Water & sanitation,water-and-sanitation,2011,0.00
afdb,African Development Bank and Fund,14050,Waste management/disposal,Water & sanitation,water-and-sanitation,2011,395090.85
afdb,African Development Bank and Fund,15110,Public sector policy and administrative management,Governance & security,governance-and-security,2014,1403871.89
afdb,African Development Bank and Fund,15110,Public sector policy and administrative management,Governance & security,governance-and-security,2013,840026.65
afdb,African Development Bank and Fund,15110,Public sector policy and administrative management,Governance & security,governance-and-security,2012,652655.80
afdb,African Development Bank and Fund,15110,Public sector policy and administrative management,Governance & security,governance-and-security,2011,691903.51
afdb,African Development Bank and Fund,15111,Public finance management,Governance & security,governance-and-security,2011,0.00
afdb,African Development Bank and Fund,16020,Employment policy and administrative management,Other social services,other-social-services,2012,82465.70
afdb,African Development Bank and Fund,16020,Employment policy and administrative management,Other social services,other-social-services,2011,228670.48
afdb,African Development Bank and Fund,16020,Employment policy and administrative management,Other social services,other-social-services,2013,16832.24
afdb,African Development Bank and Fund,16062,Statistical capacity building,Other social services,other-social-services,2014,1242701.80
afdb,African Development Bank and Fund,16062,Statistical capacity building,Other social services,other-social-services,2013,1254255.47
afdb,African Development Bank and Fund,16062,Statistical capacity building,Other social services,other-social-services,2012,1725619.00
afdb,African Development Bank and Fund,16062,Statistical capacity building,Other social services,other-social-services,2011,124097.54
afdb,African Development Bank and Fund,21010,Transport policy & administrative management,Infrastructure,infrastructure,2014,32215.57
afdb,African Development Bank and Fund,21010,Transport policy & administrative management,Infrastructure,infrastructure,2013,16801.52
afdb,African Development Bank and Fund,21010,Transport policy & administrative management,Infrastructure,infrastructure,2011,110594.42
afdb,African Development Bank and Fund,21020,Road transport,Infrastructure,infrastructure,2014,475824.57
afdb,African Development Bank and Fund,21020,Road transport,Infrastructure,infrastructure,2013,411579.61
afdb,African Development Bank and Fund,21020,Road transport,Infrastructure,infrastructure,2012,758053.00
afdb,African Development Bank and Fund,21020,Road transport,Infrastructure,infrastructure,2011,0.00
afdb,African Development Bank and Fund,21030,Rail transport,Infrastructure,infrastructure,2014,67793.06
