id,parent,sector,year,value
adaptation-fund,Adaptation Fund,agriculture-and-food-security,2012,4739390.00
adaptation-fund,Adaptation Fund,agriculture-and-food-security,2011,9545628.32
adaptation-fund,Adaptation Fund,environment,2010,9057894.99
adaptation-fund,Adaptation Fund,environment,2012,3885330.00
adaptation-fund,Adaptation Fund,environment,2011,8189598.87
adaptation-fund,Adaptation Fund,environment,2014,8678284.90
adaptation-fund,Adaptation Fund,humanitarian,2011,1910765.66
adaptation-fund,Adaptation Fund,humanitarian,2012,1842090.00
adaptation-fund,Adaptation Fund,other,2011,11085703.26
adaptation-fund,Adaptation Fund,other,2014,3146352.74
adaptation-fund,Adaptation Fund,other,2013,6770915.54
adaptation-fund,Adaptation Fund,other,2012,13377604.00
adaptation-fund,Adaptation Fund,water-and-sanitation,2014,1265139.31
adaptation-fund,Adaptation Fund,water-and-sanitation,2011,15302222.33
adaptation-fund,Adaptation Fund,water-and-sanitation,2010,13291659.44
afdb,African Development Bank and Fund,agriculture-and-food-security,2014,2397278.41
afdb,African Development Bank and Fund,agriculture-and-food-security,2013,586535.99
afdb,African Development Bank and Fund,agriculture-and-food-security,2012,1375027.20
afdb,African Development Bank and Fund,agriculture-and-food-security,2011,1685120.39
afdb,African Development Bank and Fund,banking-and-business,2014,545849.95
afdb,African Development Bank and Fund,banking-and-business,2013,1422897.31
afdb,African Development Bank and Fund,banking-and-business,2012,247228.59
afdb,African Development Bank and Fund,banking-and-business,2011,1419964.61
afdb,African Development Bank and Fund,debt-relief,2013,133023429.83
afdb,African Development Bank and Fund,debt-relief,2014,123105264.46
afdb,African Development Bank and Fund,debt-relief,2012,105668846.00
afdb,African Development Bank and Fund,debt-relief,2011,111880264.30
afdb,African Development Bank and Fund,debt-relief,2010,132291503.53
afdb,African Development Bank and Fund,debt-relief,2009,175300728.40
afdb,African Development Bank and Fund,debt-relief,2008,179722917.31
afdb,African Development Bank and Fund,debt-relief,2007,187808153.43
afdb,African Development Bank and Fund,debt-relief,2006,209660567.77
afdb,African Development Bank and Fund,debt-relief,2005,195028030.93
afdb,African Development Bank and Fund,debt-relief,2004,181164673.65
afdb,African Development Bank and Fund,debt-relief,2003,111975392.04
afdb,African Development Bank and Fund,debt-relief,2002,148341529.29
afdb,African Development Bank and Fund,education,2014,458204.62
afdb,African Development Bank and Fund,education,2013,118332.74
afdb,African Development Bank and Fund,education,2012,62768.70
afdb,African Development Bank and Fund,education,2011,1922084.40
afdb,African Development Bank and Fund,environment,2014,0.00
afdb,African Development Bank and Fund,environment,2013,66446.29
afdb,African Development Bank and Fund,environment,2012,58905.10
afdb,African Development Bank and Fund,environment,2011,46698.16
afdb,African Development Bank and Fund,governance-and-security,2014,1403871.89
afdb,African Development Bank and Fund,governance-and-security,2013,840026.65
afdb,African Development Bank and Fund,governance-and-security,2012,652655.80
afdb,African Development Bank and Fund,governance-and-security,2011,691903.51
afdb,African Development Bank and Fund,health,2014,595806.95
afdb,African Development Bank and Fund,health,2013,669750.19
afdb,African Development Bank and Fund,health,2012,200667.51
afdb,African Development Bank and Fund,health,2011,1678615.42
afdb,African Development Bank and Fund,humanitarian,2013,0.00
afdb,African Development Bank and Fund,humanitarian,2012,0.00
afdb,African Development Bank and Fund,humanitarian,2011,0.00
afdb,African Development Bank and Fund,industry-and-trade,2014,346182.29
afdb,African Development Bank and Fund,industry-and-trade,2013,226945.82
afdb,African Development Bank and Fund,industry-and-trade,2012,124409.70
afdb,African Development Bank and Fund,industry-and-trade,2011,84715.17
afdb,African Development Bank and Fund,infrastructure,2014,1333077.39
afdb,African Development Bank and Fund,infrastructure,2013,1189836.01
afdb,African Development Bank and Fund,infrastructure,2012,1802102.00
afdb,African Development Bank and Fund,infrastructure,2011,496467.36
afdb,African Development Bank and Fund,other,2014,1859240.89
afdb,African Development Bank and Fund,other,2013,784170.85
afdb,African Development Bank and Fund,other,2012,718958.90
afdb,African Development Bank and Fund,other,2011,345857.54
afdb,African Development Bank and Fund,other-social-services,2014,1242701.80
afdb,African Development Bank and Fund,other-social-services,2013,1271087.71
afdb,African Development Bank and Fund,other-social-services,2012,1808084.70
afdb,African Development Bank and Fund,other-social-services,2011,352768.02
afdb,African Development Bank and Fund,water-and-sanitation,2014,2859446.33
afdb,African Development Bank and Fund,water-and-sanitation,2013,2129424.57
afdb,African Development Bank and Fund,water-and-sanitation,2012,1715814.51
afdb,African Development Bank and Fund,water-and-sanitation,2011,1809551.23
afdf,African Development Bank and Fund,agriculture-and-food-security,2014,168246170.41
afdf,African Development Bank and Fund,agriculture-and-food-security,2013,184440248.64
afdf,African Development Bank and Fund,agriculture-and-food-security,2012,208037203.90
afdf,African Development Bank and Fund,agriculture-and-food-security,2011,312655414.72
afdf,African Development Bank and Fund,agriculture-and-food-security,2010,372333155.49
afdf,African Development Bank and Fund,agriculture-and-food-security,2009,292021611.58
afdf,African Development Bank and Fund,agriculture-and-food-security,2008,276845679.63
afdf,African Development Bank and Fund,agriculture-and-food-security,2007,169010053.48
afdf,African Development Bank and Fund,agriculture-and-food-security,2006,163369871.89
afdf,African Development Bank and Fund,agriculture-and-food-security,2005,185897803.65
afdf,African Development Bank and Fund,agriculture-and-food-security,2004,156598851.10
afdf,African Development Bank and Fund,agriculture-and-food-security,2003,102924674.01
afdf,African Development Bank and Fund,agriculture-and-food-security,2002,116902819.11
afdf,African Development Bank and Fund,banking-and-business,2014,11093540.12
afdf,African Development Bank and Fund,banking-and-business,2013,45488420.06
afdf,African Development Bank and Fund,banking-and-business,2012,22813616.20
afdf,African Development Bank and Fund,banking-and-business,2011,30934087.51
afdf,African Development Bank and Fund,banking-and-business,2010,51047738.34
afdf,African Development Bank and Fund,banking-and-business,2009,1036328753.81
afdf,African Development Bank and Fund,banking-and-business,2008,5636491.48
