"series","country-year"
"id","gni-pc-usd-current"
"type","simple"
"parent",
"name","Gross National Income Per Capita (current US$)"
"columns","id, year, value"
"description","GNI Per Capita (Current US$)"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","World Bank World Development Indicators"
"calculation","Total GNI divided by the population of each country in each year"
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
