"district_id","2013"
"d18974","bush"
"d18975","vip_or_covered_latrine"
"d18987","vip_or_covered_latrine"
"d18988","vip_or_covered_latrine"
"d18976","vip_or_covered_latrine"
"d18955","vip_or_covered_latrine"
"d18965","bush"
"d18968","vip_or_covered_latrine"
"d18956","bush"
"d18991","vip_or_covered_latrine"
"d18989","vip_or_covered_latrine"
"d18977","vip_or_covered_latrine"
"d18943","vip_or_covered_latrine"
"d18949","vip_or_covered_latrine"
"d18944","vip_or_covered_latrine"
"d18969","vip_or_covered_latrine"
"d18970","vip_or_covered_latrine"
"d18957","vip_or_covered_latrine"
"d18950","bush"
"d18978","vip_or_covered_latrine"
"d18951","vip_or_covered_latrine"
"d18958","vip_or_covered_latrine"
"d18959","vip_or_covered_latrine"
"d18966","bush"
"d18960","bush"
"d18961","vip_or_covered_latrine"
"d18971","vip_or_covered_latrine"
"d18952","vip_or_covered_latrine"
"d18946","vip_or_covered_latrine"
"d18964","main_sewer"
"d18979","vip_or_covered_latrine"
"d18980","vip_or_covered_latrine"
"d18981","bush"
"d18962","vip_or_covered_latrine"
"d18972","vip_or_covered_latrine"
"d18947","vip_or_covered_latrine"
"d18948","vip_or_covered_latrine"
"d18982","bush"
"d18973","vip_or_covered_latrine"
"d18953","vip_or_covered_latrine"
"d18954","bush"
"d18983","vip_or_covered_latrine"
"d18984","bush"
"d18985","vip_or_covered_latrine"
"d18990","vip_or_covered_latrine"
"d18967","bush"
"d18986","bush"
