id,aid-type,year,value
AE,out-oda-net-excl-debt-relief,1970,2906652
AE,out-oda-net-excl-debt-relief,1971,536716902
AE,out-oda-net-excl-debt-relief,1972,543884850
AE,out-oda-net-excl-debt-relief,1973,2748715102
AE,out-oda-net-excl-debt-relief,1974,4158531152
AE,out-oda-net-excl-debt-relief,1975,6852674662
AE,out-oda-net-excl-debt-relief,1976,7850329046
AE,out-oda-net-excl-debt-relief,1977,5645176009
AE,out-oda-net-excl-debt-relief,1978,4675690879
AE,out-oda-net-excl-debt-relief,1979,4294479905
AE,out-oda-net-excl-debt-relief,1980,4831340293
AE,out-oda-net-excl-debt-relief,1981,3760032675
AE,out-oda-net-excl-debt-relief,1982,2349382351
AE,out-oda-net-excl-debt-relief,1983,1396511785
AE,out-oda-net-excl-debt-relief,1984,758815635
AE,out-oda-net-excl-debt-relief,1985,854412202
AE,out-oda-net-excl-debt-relief,1986,542673747
AE,out-oda-net-excl-debt-relief,1987,552344649
AE,out-oda-net-excl-debt-relief,1988,157533370
AE,out-oda-net-excl-debt-relief,1989,503344237
AE,out-oda-net-excl-debt-relief,1990,3471915230
AE,out-oda-net-excl-debt-relief,1991,2090663386
AE,out-oda-net-excl-debt-relief,1992,745071834
AE,out-oda-net-excl-debt-relief,1993,797104500
AE,out-oda-net-excl-debt-relief,1994,459493263
AE,out-oda-net-excl-debt-relief,1995,276625366
AE,out-oda-net-excl-debt-relief,1996,366471420
AE,out-oda-net-excl-debt-relief,1997,790977203
AE,out-oda-net-excl-debt-relief,1998,1230967179
AE,out-oda-net-excl-debt-relief,1999,756868895
AE,out-oda-net-excl-debt-relief,2000,532697836
AE,out-oda-net-excl-debt-relief,2001,684785718
AE,out-oda-net-excl-debt-relief,2002,756886837
AE,out-oda-net-excl-debt-relief,2003,1105810693
AE,out-oda-net-excl-debt-relief,2004,530867715
AE,out-oda-net-excl-debt-relief,2005,541812523
AE,out-oda-net-excl-debt-relief,2006,813333300
AE,out-oda-net-excl-debt-relief,2007,2340375297
AE,out-oda-net-excl-debt-relief,2008,1162956904
AE,out-oda-net-excl-debt-relief,2009,898801431
AE,out-oda-net-excl-debt-relief,2010,388962088
AE,out-oda-net-excl-debt-relief,2011,635357639
AE,out-oda-net-excl-debt-relief,2012,687521917
AE,out-oda-net-excl-debt-relief,2013,4863986342
AE,out-oda-net-excl-debt-relief,2014,4557675421
AE,out-oda-net-excl-debt-relief,2015,4381370000
all-donors-total,out-debt-relief,1961,0.00
all-donors-total,out-debt-relief,1962,0.00
all-donors-total,out-debt-relief,1963,0.00
