"id-to","entity-to-name","year","value"
"bilateral-unspecified","Bilateral, unspecified",2014,0
"CV","Cape Verde",2014,330156.66
"CV","Cape Verde",2015,5e+05
"GW","Guinea-Bissau",2014,462219.32
"ID","Indonesia",2014,0
"MY","Malaysia",2015,1e+06
"MM","Myanmar",2015,440000
"NP","Nepal",2015,5e+05
"KP","North Korea",2014,66031.33
"north-of-sahara","North of Sahara, regional",2015,60000
"ST","Sao Tome & Principe",2015,0
"south-of-sahara","South of Sahara, regional",2014,1320626.62
"TH","Thailand",2015,5e+05
"TO","Tonga",2014,0
"VU","Vanuatu",2015,1e+06
