"id","in-oda-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oda-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oda-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oda-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oda-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oda-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oda-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oda-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oda-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oda-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oda-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oda-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oda-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oda-gross.2013","capital-repayment.2013","interest-repayment.2013"
"AL",522560000,13770000,5460000,456250000,18450000,9830000,490410000,22310000,6780000,499670000,25590000,7190000,393090000,29040000,9140000,408890000,31430000,9640000,403460000,37680000,10040000,355480000,38830000,10430000,392140000,42520000,10670000,398620000,46820000,11240000,398500000,54540000,11470000,388050000,56470000,15660000,393600000,51980000,18540000,349530000,61130000,16870000
"BY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73210000,4150000,2470000,92260000,4100000,2270000,92770000,5140000,2090000,111550000,5060000,1940000,105500000,4990000,1800000,146570000,4930000,2250000,126050000,4940000,2060000,108070000,4800000,1850000,106810000,5040000,1670000
"BA",1226660000,3990000,5720000,1049370000,4780000,8880000,882890000,8180000,6370000,731730000,5e+06,6840000,838960000,4840000,10960000,656010000,1890000,12680000,628890000,9620000,13270000,645050000,12810000,10930000,475880000,21660000,11270000,451650000,25680000,1.2e+07,552260000,28380000,12770000,639500000,44920000,22960000,636090000,64980000,30680000,612900000,81760000,27960000
"HR",129300000,21960000,4940000,228840000,21880000,5140000,230490000,17230000,2190000,189590000,25510000,2490000,171980000,21960000,3860000,160520000,12150000,3460000,249050000,16720000,3530000,187790000,20260000,3160000,254090000,26860000,4850000,186190000,23420000,2300000,159760000,8980000,1840000,0,0,0,0,0,0,0,0,0
"MK",402960000,2570000,5330000,408330000,3540000,7550000,434590000,6110000,6750000,366780000,17150000,3840000,344650000,23650000,7920000,293370000,23180000,7060000,262620000,24480000,6730000,244180000,28140000,4190000,212990000,7400000,4200000,207480000,9930000,4570000,205420000,13880000,4680000,226930000,41110000,11560000,206320000,57380000,10910000,312780000,69240000,11210000
"XK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790290000,0,0,636500000,1250000,90000,630550000,770000,80000,568600000,910000,1e+05,517650000,1980000,290000
"MT",42660000,4480000,1090000,8500000,5330000,980000,21240000,3380000,770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MD",182910000,1050000,2590000,188570000,2380000,3100000,206690000,2840000,3640000,159870000,480000,2210000,143560000,0,4460000,199880000,0,4290000,271590000,4730000,2640000,292440000,11880000,3480000,309590000,13260000,3780000,264190000,16930000,5460000,501880000,19210000,4350000,462390000,16230000,5710000,500330000,27250000,6550000,400620000,36110000,8260000
"ME",0,0,0,0,0,0,0,0,0,10830000,0,50000,24500000,0,230000,4580000,0,380000,108890000,0,410000,113220000,2400000,820000,110320000,7420000,1330000,81730000,5560000,1300000,85030000,3660000,1300000,127200000,7540000,5100000,117310000,14090000,6060000,149610000,26810000,7520000
"RS",1943480000,40000,0,2186650000,40000,0,3010770000,1040000,23780000,1763050000,170000,6720000,1418960000,7040000,14070000,1279950000,11190000,10440000,1802760000,4760000,12460000,902270000,16530000,14460000,966150000,12870000,13840000,640350000,18360000,13990000,691980000,24140000,14380000,1359820000,57040000,35970000,1227720000,137870000,56370000,971750000,220280000,52220000
"SI",119260000,14920000,9640000,241920000,24270000,13480000,104810000,20230000,8100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ex-yugoslavia",521210000,0,0,252640000,0,0,1419870000,20000,0,167520000,350000,60000,129090000,0,0,81930000,0,0,170020000,6040000,0,61750000,5920000,350000,53190000,6140000,160000,16770000,0,0,17640000,60000,0,15500000,0,0,4300000,550000,0,4010000,0,0
"TR",1011160000,504230000,152250000,744650000,468370000,135810000,979550000,572130000,141800000,705790000,478610000,108430000,849230000,512780000,1.07e+08,934530000,484360000,91380000,1144510000,497220000,93740000,1304450000,480480000,82070000,1590920000,467320000,85120000,1769990000,431950000,92230000,1501210000,416920000,88780000,3470940000,480330000,272740000,3593680000,560560000,325970000,3385470000,775640000,5550030000
