"id","year","in-oda-gross","capital-repayment","interest-repayment"
"GN",2004,430320000,95910000,18890000
"GW",2004,108890000,17390000,4260000
"KE",2004,963190000,170310000,49330000
"LS",2004,131460000,16240000,5460000
"LR",2004,269800000,11880000,1270000
"MG",2004,1593890000,73840000,3.1e+07
"MW",2004,708340000,102110000,31660000
"ML",2004,942230000,220160000,23010000
"MR",2004,389770000,157040000,16590000
"MU",2004,78630000,38700000,11060000
"YT",2004,253050000,6110000,3300000
"MZ",2004,1598980000,76650000,28330000
"NA",2004,219550000,12050000,7810000
"NE",2004,739870000,81210000,14090000
"NG",2004,725100000,46370000,18300000
"RW",2004,631980000,46700000,13780000
"SH",2004,27570000,0,0
"ST",2004,47070000,7170000,1950000
"SN",2004,1562650000,276760000,33200000
"SC",2004,13930000,1170000,180000
"SL",2004,504210000,59410000,10730000
"SO",2004,258980000,2500000,0
"ZA",2004,786900000,37570000,6620000
"SS",2004,0,0,0
"SD",2004,1254610000,44590000,4540000
"SZ",2004,42920000,12850000,2870000
"TZ",2004,2439220000,297650000,56070000
"TG",2004,107320000,28220000,590000
"UG",2004,1681020000,221080000,42820000
"ZM",2004,1696830000,361270000,41020000
"ZW",2004,254900000,31870000,3740000
"south-of-sahara",2004,1748700000,13180000,3980000
"africa",2004,783810000,7600000,2790000
"AI",2004,3460000,460000,260000
"AG",2004,4250000,2270000,470000
"BB",2004,41340000,7650000,2310000
"BZ",2004,17010000,7720000,1410000
"CR",2004,94110000,74010000,12430000
"CU",2004,132770000,2940000,0
"DM",2004,49730000,13240000,2190000
"DO",2004,187610000,86520000,33490000
"SV",2004,325050000,65870000,27980000
"GD",2004,24840000,4980000,1680000
"GT",2004,338310000,71100000,22250000
"HT",2004,398420000,25660000,14320000
"HN",2004,864510000,71880000,37130000
"JM",2004,207460000,108470000,35010000
"MX",2004,248400000,119140000,27450000
"MS",2004,47910000,390000,110000
"NI",2004,1893140000,408460000,25460000
"PA",2004,5.4e+07,27060000,6610000
"KN",2004,3930000,3830000,1550000
"LC",2004,16810000,3.8e+07,3090000
"VC",2004,17590000,4720000,1590000
"TT",2004,13630000,15200000,2690000
"TC",2004,3730000,110000,210000
"west-indies",2004,51090000,1140000,4e+05
"north-central-america",2004,297650000,6760000,1400000
"AR",2004,145350000,35670000,6940000
"BO",2004,1646140000,705420000,41860000
"BR",2004,490710000,303890000,84220000
"CL",2004,134060000,70260000,6390000
"CO",2004,741530000,125930000,17160000
"EC",2004,330440000,142330000,39380000
"GY",2004,224210000,50320000,11240000
"PY",2004,123630000,96290000,35230000
"PE",2004,789110000,227840000,81930000
"SR",2004,56540000,28180000,8290000
"UY",2004,48950000,13640000,2990000
"VE",2004,59590000,5830000,330000
"south-america",2004,548120000,3830000,910000
"america",2004,556310000,5330000,1270000
"KH",2004,624250000,19370000,11900000
"CN",2004,3589350000,1490760000,664900000
"KP",2004,201910000,3230000,1020000
"ID",2004,1.966e+09,1738470000,814050000
"LA",2004,373740000,34230000,17080000
"MY",2004,572800000,197750000,65020000
"MN",2004,337190000,22860000,16120000
"PH",2004,1270560000,699310000,333720000
"TH",2004,1263370000,1197670000,219350000
"TL",2004,219690000,0,0
"VN",2004,2502020000,221880000,149570000
"east-asia",2004,215500000,0,0
"AF",2004,2803810000,4360000,4240000
"AM",2004,338180000,34820000,10070000
"AZ",2004,252480000,33740000,9900000
"BD",2004,2526280000,809750000,228570000
"BT",2004,100410000,3230000,1920000
"GE",2004,426690000,50460000,9860000
"IN",2004,3742850000,2817340000,655330000
"KZ",2004,349220000,18120000,14430000
"KG",2004,369660000,44660000,12750000
"MV",2004,41900000,6380000,1440000
"MM",2004,166500000,8310000,680000
"NP",2004,599800000,79300000,33630000
"PK",2004,2212240000,466280000,315690000
"LK",2004,982200000,339220000,162150000
"TJ",2004,330070000,16850000,4990000
"TM",2004,72380000,2520000,3550000
"UZ",2004,302410000,2110000,16220000
"central-asia",2004,0,0,0
"south-asia",2004,0,0,0
"south-central-asia",2004,501290000,0,0
"BH",2004,80230000,9400000,0
"IR",2004,259990000,23650000,11980000
"IQ",2004,5542500000,0,0
"JO",2004,852360000,132920000,50990000
"LB",2004,362980000,42260000,3830000
"OM",2004,158500000,35380000,1810000
"SA",2004,35260000,8900000,21450000
"SY",2004,305070000,180150000,50330000
"PS",2004,1423880000,390000,1310000
"YE",2004,429970000,115420000,34520000
"middle-east",2004,237050000,0,0
"asia",2004,352610000,3830000,0
"CK",2004,13700000,510000,4e+05
"FJ",2004,90010000,260000,670000
"KI",2004,24270000,90000,130000
"MH",2004,61530000,340000,750000
"FM",2004,103310000,130000,450000
"NR",2004,25600000,0,0
"NU",2004,22430000,0,0
"PW",2004,23770000,0,0
"PG",2004,537680000,51270000,20050000
"WS",2004,51970000,4610000,1750000
"SB",2004,2.2e+08,2750000,1080000
"TK",2004,12650000,0,0
"TO",2004,32690000,3060000,920000
"TV",2004,11970000,0,50000
"VU",2004,62690000,2270000,1180000
"WF",2004,86230000,0,20000
"oceania",2004,139690000,10860000,0
"bilateral-unspecified",2004,19179720000,191310000,2640000
"AL",2005,408890000,31430000,9640000
"BY",2005,73210000,4150000,2470000
"BA",2005,656010000,1890000,12680000
"HR",2005,160520000,12150000,3460000
"MK",2005,293370000,23180000,7060000
"XK",2005,0,0,0
"MT",2005,0,0,0
"MD",2005,199880000,0,4290000
"ME",2005,4580000,0,380000
"RS",2005,1279950000,11190000,10440000
"SI",2005,0,0,0
"ex-yugoslavia",2005,81930000,0,0
"TR",2005,934530000,484360000,91380000
"UA",2005,502420000,17580000,2960000
"europe",2005,798740000,760000,0
"DZ",2005,496170000,91540000,3760000
"EG",2005,1894910000,699390000,284900000
"LY",2005,28260000,260000,0
"MA",2005,1352290000,508800000,52060000
"TN",2005,642310000,220550000,36650000
"north-of-sahara",2005,191020000,0,0
"AO",2005,503150000,11880000,5130000
"BJ",2005,484810000,72730000,12920000
"BW",2005,81230000,24730000,6570000
"BF",2005,906310000,81810000,16450000
"BI",2005,470740000,43410000,11960000
"CV",2005,208240000,17850000,5140000
"CM",2005,766770000,281460000,26300000
"CF",2005,116500000,12570000,180000
"TD",2005,515790000,60850000,13740000
"KM",2005,32390000,5610000,1380000
"CG",2005,1794700000,132540000,18950000
"CI",2005,272810000,165690000,2490000
"CD",2005,2327100000,85400000,34460000
"DJ",2005,96630000,9230000,1810000
"GQ",2005,49830000,5630000,9640000
"ER",2005,423320000,10280000,4940000
"ET",2005,2450880000,185620000,47700000
"GA",2005,137840000,66350000,2520000
"GM",2005,89520000,17400000,4500000
"GH",2005,1928130000,578520000,55350000
"GN",2005,336520000,101980000,20690000
"GW",2005,94570000,17580000,3750000
"KE",2005,1062890000,176680000,46450000
"LS",2005,94370000,16620000,4860000
"LR",2005,264350000,3970000,110000
"MG",2005,1385820000,316060000,45170000
"MW",2005,775380000,97680000,28320000
"ML",2005,977850000,117600000,21110000
"MR",2005,279270000,57010000,14810000
"MU",2005,84600000,41970000,3690000
"YT",2005,241830000,7890000,60000
"MZ",2005,1638960000,91220000,25820000
"NA",2005,162730000,16320000,7880000
"NE",2005,684400000,63580000,14230000
"NG",2005,7213720000,64120000,15460000
"RW",2005,734270000,64260000,15310000
"SH",2005,23410000,0,0
"ST",2005,44690000,6790000,1780000
"SN",2005,1015790000,193700000,30870000
"SC",2005,21320000,1360000,1e+05
"SL",2005,422910000,31770000,9110000
"SO",2005,291790000,1190000,0
"ZA",2005,871950000,68620000,2660000
"SS",2005,0,0,0
"SD",2005,2166990000,30390000,2590000
"SZ",2005,82610000,23040000,3470000
"TZ",2005,1946500000,181370000,48340000
"TG",2005,117250000,20260000,320000
"UG",2005,1551140000,150760000,39500000
"ZM",2005,2532680000,1152200000,182180000
"ZW",2005,451410000,12210000,1720000
"south-of-sahara",2005,1562620000,14350000,4090000
"africa",2005,1121440000,140610000,50000
"AI",2005,5090000,390000,250000
"AG",2005,11080000,1100000,470000
"BB",2005,9220000,11190000,2820000
"BZ",2005,21170000,6900000,1400000
"CR",2005,83320000,50900000,10720000
"CU",2005,106260000,0,0
"DM",2005,30080000,4840000,2030000
"DO",2005,175750000,82750000,19370000
"SV",2005,309220000,68180000,26840000
"GD",2005,66090000,4780000,1490000
"GT",2005,376350000,66100000,20860000
"HT",2005,598800000,83150000,35960000
"HN",2005,1606410000,788610000,118730000
"JM",2005,178240000,134430000,29740000
"MX",2005,336590000,125550000,21510000
"MS",2005,29780000,230000,110000
"NI",2005,1018210000,109140000,42330000
"PA",2005,55500000,24420000,5770000
"KN",2005,7780000,4390000,1550000
"LC",2005,22270000,9380000,1880000
"VC",2005,14500000,4740000,1220000
"TT",2005,14310000,15840000,2240000
"TC",2005,6260000,170000,290000
"west-indies",2005,67700000,1190000,420000
"north-central-america",2005,344500000,7360000,1930000
"AR",2005,133190000,19650000,6190000
"BO",2005,897390000,134560000,43880000
"BR",2005,554990000,267850000,78130000
"CL",2005,216300000,14450000,3760000
"CO",2005,845250000,127400000,14420000
"EC",2005,409720000,146170000,38630000
"GY",2005,245120000,68870000,14080000
"PY",2005,140760000,78770000,24370000
"PE",2005,830770000,300220000,85060000
"SR",2005,50810000,150000,50000
"UY",2005,49200000,31750000,4390000
"VE",2005,77870000,18640000,80000
"south-america",2005,121200000,3460000,1120000
"america",2005,706940000,6840000,1070000
"KH",2005,672020000,20330000,12970000
"CN",2005,3824160000,1594410000,626310000
"KP",2005,110500000,2040000,390000
"ID",2005,3582020000,374890000,63090000
"LA",2005,408840000,39700000,17770000
"MY",2005,279450000,247970000,55970000
"MN",2005,292390000,27880000,16660000
"PH",2005,1437840000,726330000,315310000
"TH",2005,1111650000,1327150000,195360000
"TL",2005,241730000,10000,0
"VN",2005,2562010000,226460000,148930000
"east-asia",2005,446510000,0,0
"AF",2005,3318840000,4300000,5800000
"AM",2005,241980000,43980000,10280000
"AZ",2005,296200000,37480000,9870000
"BD",2005,2130050000,576320000,193690000
"BT",2005,113410000,3120000,1960000
"GE",2005,410460000,6.7e+07,8410000
"IN",2005,4014810000,1849030000,626140000
"KZ",2005,282850000,5820000,17190000
"KG",2005,365930000,44900000,12150000
"MV",2005,100530000,6420000,2030000
"MM",2005,187160000,8430000,990000
"NP",2005,629870000,121600000,37700000
"PK",2005,2470900000,519790000,290500000
"LK",2005,1580720000,135600000,68900000
"TJ",2005,319080000,19990000,5260000
"TM",2005,41690000,5160000,1610000
"UZ",2005,215770000,10650000,20070000
"central-asia",2005,8780000,0,0
"south-asia",2005,540000,0,0
"south-central-asia",2005,558820000,0,0
"BH",2005,0,0,0
"IR",2005,151030000,23970000,16200000
"IQ",2005,25695710000,34020000,463090000
"JO",2005,966870000,138740000,43720000
"LB",2005,314080000,42600000,1530000
"OM",2005,89330000,66350000,1420000
"SA",2005,30620000,0,30430000
"SY",2005,262580000,184520000,41590000
"PS",2005,1219930000,2390000,1270000
"YE",2005,534700000,195240000,27910000
"middle-east",2005,1154640000,0,0
"asia",2005,1326150000,2150000,0
"CK",2005,11770000,590000,3e+05
"FJ",2005,91880000,1600000,640000
"KI",2005,38280000,310000,160000
"MH",2005,67070000,380000,630000
"FM",2005,124040000,150000,450000
"NR",2005,15070000,0,0
"NU",2005,28940000,0,0
"PW",2005,28690000,0,0
"PG",2005,493280000,49390000,19060000
"WS",2005,64430000,4640000,2010000
"SB",2005,317810000,3140000,950000
"TK",2005,21890000,0,0
"TO",2005,47620000,3260000,910000
"TV",2005,12780000,0,50000
"VU",2005,60080000,2090000,850000
"WF",2005,83680000,0,0
"oceania",2005,208220000,280000,0
"bilateral-unspecified",2005,17027300000,20600000,3510000
"AL",2006,403460000,37680000,10040000
"BY",2006,92260000,4100000,2270000
"BA",2006,628890000,9620000,13270000
"HR",2006,249050000,16720000,3530000
"MK",2006,262620000,24480000,6730000
"XK",2006,0,0,0
"MT",2006,0,0,0
"MD",2006,271590000,4730000,2640000
"ME",2006,108890000,0,410000
"RS",2006,1802760000,4760000,12460000
"SI",2006,0,0,0
"ex-yugoslavia",2006,170020000,6040000,0
"TR",2006,1144510000,497220000,93740000
"UA",2006,560860000,10430000,2470000
"europe",2006,835410000,97610000,0
"DZ",2006,537900000,269350000,22590000
"EG",2006,1654240000,641880000,286800000
"LY",2006,41900000,0,0
"MA",2006,1563260000,308650000,74560000
"TN",2006,749310000,263350000,65050000
"north-of-sahara",2006,161850000,0,0
"AO",2006,461750000,266480000,53720000
"BJ",2006,1783660000,1323250000,72700000
"BW",2006,100270000,22480000,5280000
"BF",2006,2642360000,1601560000,92800000
"BI",2006,541040000,45810000,11350000
"CV",2006,173360000,17010000,5600000
"CM",2006,3946050000,1986960000,111030000
"CF",2006,220940000,67900000,20640000
"TD",2006,388780000,56620000,13880000
"KM",2006,41200000,5010000,1570000
"CG",2006,482300000,189750000,14980000
"CI",2006,402010000,121470000,8860000
"CD",2006,2547490000,70900000,33130000
"DJ",2006,145480000,13880000,3990000
"GQ",2006,38250000,9280000,2920000
"ER",2006,159060000,10190000,5240000
"ET",2006,7190320000,4869440000,185200000
"GA",2006,102270000,69610000,22630000
"GM",2006,105710000,17670000,3040000
"GH",2006,6922960000,5505460000,118310000
"GN",2006,311900000,115030000,26980000
"GW",2006,118250000,20730000,5990000
"KE",2006,1269370000,185910000,48010000
"LS",2006,97560000,18650000,7770000
"LR",2006,298630000,1e+05,0
"MG",2006,3849300000,2944940000,89810000
"MW",2006,3602380000,2784180000,96600000
"ML",2006,3346240000,2345140000,1.16e+08
"MR",2006,1401050000,1141750000,63490000
"MU",2006,76220000,53810000,11130000
"YT",2006,380570000,210000,60000
"MZ",2006,4117500000,2215860000,119880000
"NA",2006,192450000,20020000,14700000
"NE",2006,2206760000,1580120000,54720000
"NG",2006,13731180000,927900000,115630000
"RW",2006,2226640000,1547780000,55600000
"SH",2006,28620000,0,0
"ST",2006,38660000,13310000,4350000
"SN",2006,3883330000,2889400000,99820000
"SC",2006,17720000,1790000,150000
"SL",2006,903940000,470700000,48980000
"SO",2006,451560000,1080000,170000
"ZA",2006,925570000,110960000,8120000
"SS",2006,0,0,0
"SD",2006,2356850000,24900000,1920000
"SZ",2006,58500000,16130000,6260000
"TZ",2006,7255770000,5095190000,147190000
"TG",2006,114720000,23830000,9660000
"UG",2006,6006270000,4217580000,121910000
"ZM",2006,5613510000,3949320000,87580000
"ZW",2006,322650000,10780000,1310000
"south-of-sahara",2006,1857270000,35900000,8510000
"africa",2006,1059600000,44330000,60000
"AI",2006,5340000,450000,230000
"AG",2006,5030000,880000,390000
"BB",2006,7670000,9920000,2430000
"BZ",2006,16900000,6960000,1320000
"CR",2006,85730000,47740000,9640000
"CU",2006,112480000,2920000,0
"DM",2006,27310000,5170000,2440000
"DO",2006,249310000,180390000,25060000
"SV",2006,271640000,83280000,26350000
"GD",2006,34960000,4280000,1700000
"GT",2006,622200000,69360000,18890000
"HT",2006,718820000,4.5e+07,19020000
"HN",2006,2197910000,1491450000,34710000
"JM",2006,146640000,109620000,27440000
"MX",2006,424510000,115780000,25720000
"MS",2006,33390000,220000,90000
"NI",2006,2250920000,1388640000,32580000
"PA",2006,96410000,60360000,6140000
"KN",2006,11390000,4650000,1540000
"LC",2006,32590000,10780000,2940000
"VC",2006,10410000,4680000,1410000
"TT",2006,31050000,15030000,1650000
"TC",2006,350000,830000,390000
"west-indies",2006,60720000,1130000,350000
"north-central-america",2006,278630000,10670000,2720000
"AR",2006,161640000,30280000,5920000
"BO",2006,2902650000,1914880000,37410000
"BR",2006,467160000,339050000,80420000
"CL",2006,137320000,17670000,5550000
"CO",2006,1191460000,70060000,12430000
"EC",2006,303550000,90520000,31330000
"GY",2006,545880000,345160000,12930000
"PY",2006,145320000,77210000,22180000
"PE",2006,792080000,272190000,93040000
"SR",2006,72240000,320000,30000
"UY",2006,40960000,16600000,2910000
"VE",2006,75920000,4850000,0
"south-america",2006,143580000,18380000,1180000
"america",2006,615120000,13760000,980000
"KH",2006,750980000,109800000,13060000
"CN",2006,3298340000,1753250000,638250000
"KP",2006,69640000,3120000,710000
"ID",2006,3717250000,2114030000,783310000
"LA",2006,477550000,36080000,17600000
"MY",2006,460670000,146780000,53410000
"MN",2006,276880000,31040000,16570000
"PH",2006,1521150000,795780000,321220000
"TH",2006,721030000,1062330000,179280000
"TL",2006,267110000,0,0
"VN",2006,2559290000,306870000,183240000
"east-asia",2006,238510000,27380000,0
"AF",2006,3374950000,4620000,6270000
"AM",2006,291220000,45590000,10360000
"AZ",2006,277060000,37200000,10060000
"BD",2006,2288720000,891130000,219650000
"BT",2006,128680000,4610000,2020000
"GE",2006,470710000,63440000,8570000
"IN",2006,3455110000,1908250000,598190000
"KZ",2006,214750000,8560000,19110000
"KG",2006,420370000,50630000,12750000
"MV",2006,52880000,6820000,2080000
"MM",2006,186950000,11480000,1210000
"NP",2006,746300000,129520000,36480000
"PK",2006,3139520000,603290000,298220000
"LK",2006,1410110000,446750000,167200000
"TJ",2006,403670000,123670000,5020000
"TM",2006,55590000,7410000,3940000
"UZ",2006,193090000,19930000,20390000
"central-asia",2006,173710000,1650000,0
"south-asia",2006,107730000,11520000,0
"south-central-asia",2006,181030000,0,0
"BH",2006,0,0,0
"IR",2006,153150000,24100000,10770000
"IQ",2006,10273900000,34410000,64450000
"JO",2006,813850000,169200000,4.8e+07
"LB",2006,1011670000,6.4e+07,4980000
"OM",2006,111690000,47960000,4e+05
"SA",2006,29520000,0,34810000
"SY",2006,245780000,232890000,42670000
"PS",2006,1587600000,2e+06,1210000
"YE",2006,456160000,132510000,34300000
"middle-east",2006,2383040000,0,0
"asia",2006,1100370000,11370000,0
"CK",2006,39590000,610000,3e+05
"FJ",2006,79580000,1670000,690000
"KI",2006,37050000,350000,170000
"MH",2006,62550000,370000,340000
"FM",2006,122790000,140000,450000
"NR",2006,28680000,0,0
"NU",2006,12930000,0,0
"PW",2006,43890000,0,0
"PG",2006,500040000,52840000,17740000
"WS",2006,72100000,5750000,2050000
"SB",2006,320230000,2560000,960000
"TK",2006,16540000,0,0
"TO",2006,33790000,2540000,810000
"TV",2006,21210000,0,70000
"VU",2006,71750000,2280000,1e+06
"WF",2006,115630000,290000,160000
"oceania",2006,186950000,10000,30000
"bilateral-unspecified",2006,18776660000,163910000,4430000
"AL",2007,355480000,38830000,10430000
"BY",2007,92770000,5140000,2090000
"BA",2007,645050000,12810000,10930000
"HR",2007,187790000,20260000,3160000
"MK",2007,244180000,28140000,4190000
"XK",2007,0,0,0
"MT",2007,0,0,0
"MD",2007,292440000,11880000,3480000
"ME",2007,113220000,2400000,820000
"RS",2007,902270000,16530000,14460000
"SI",2007,0,0,0
"ex-yugoslavia",2007,61750000,5920000,350000
"TR",2007,1304450000,480480000,82070000
"UA",2007,451970000,11440000,2070000
"europe",2007,5.3e+08,9200000,0
"DZ",2007,497800000,99150000,29770000
"EG",2007,1875600000,692610000,305870000
"LY",2007,20170000,0,0
"MA",2007,1778680000,511680000,110740000
"TN",2007,617340000,289260000,69100000
"north-of-sahara",2007,280030000,0,0
"AO",2007,402090000,133640000,34250000
"BJ",2007,520100000,22670000,6500000
"BW",2007,130260000,18060000,4570000
"BF",2007,1035500000,36060000,12860000
"BI",2007,540020000,37870000,12010000
"CV",2007,186350000,17840000,5470000
"CM",2007,2155600000,192810000,91980000
"CF",2007,242680000,59370000,19770000
"TD",2007,427550000,49200000,13300000
"KM",2007,52070000,5900000,2150000
"CG",2007,158710000,34190000,9220000
"CI",2007,325760000,143550000,16210000
"CD",2007,1550200000,137160000,28970000
"DJ",2007,130060000,12700000,2530000
"GQ",2007,36630000,5490000,1260000
"ER",2007,171410000,2030000,4270000
"ET",2007,2682850000,20290000,13670000
"GA",2007,102110000,49740000,9660000
"GM",2007,336810000,233680000,30690000
"GH",2007,1240590000,20550000,16770000
"GN",2007,332660000,91610000,17730000
"GW",2007,139720000,14710000,3770000
"KE",2007,1656880000,257200000,75320000
"LS",2007,153460000,20430000,5130000
"LR",2007,797800000,44250000,22350000
"MG",2007,993680000,21030000,12730000
"MW",2007,1956520000,1170880000,6690000
"ML",2007,1110990000,42840000,11530000
"MR",2007,382360000,16620000,5180000
"MU",2007,99810000,29760000,6980000
"YT",2007,414470000,4430000,2500000
"MZ",2007,1892440000,33550000,14710000
"NA",2007,233970000,5970000,2100000
"NE",2007,599820000,20390000,5370000
"NG",2007,2.092e+09,87480000,19810000
"RW",2007,762020000,8140000,4120000
"SH",2007,39870000,0,0
"ST",2007,260220000,206780000,17200000
"SN",2007,967100000,50140000,14390000
"SC",2007,16320000,4180000,670000
"SL",2007,1184310000,615830000,17690000
"SO",2007,418690000,1030000,130000
"ZA",2007,1045460000,200060000,21380000
"SS",2007,0,0,0
"SD",2007,2280240000,34310000,1560000
"SZ",2007,71050000,15290000,2410000
"TZ",2007,3214550000,21680000,17050000
"TG",2007,142300000,16370000,1090000
"UG",2007,1856610000,34660000,11830000
"ZM",2007,1113730000,23820000,10090000
"ZW",2007,495760000,4e+05,1e+05
"south-of-sahara",2007,1831520000,16270000,5070000
"africa",2007,1584290000,23220000,410000
"AI",2007,6310000,450000,2e+05
"AG",2007,8950000,980000,430000
"BB",2007,20130000,1820000,290000
"BZ",2007,30510000,6910000,1290000
"CR",2007,148960000,82660000,8720000
"CU",2007,104680000,4860000,1840000
"DM",2007,26840000,6480000,2300000
"DO",2007,256650000,129210000,24980000
"SV",2007,263270000,152300000,26530000
"GD",2007,29490000,4570000,2110000
"GT",2007,573610000,105870000,17700000
"HT",2007,820350000,63420000,30570000
"HN",2007,1786110000,1297280000,17440000
"JM",2007,121330000,95200000,21680000
"MX",2007,279700000,173360000,23920000
"MS",2007,33860000,2e+05,90000
"NI",2007,2172380000,1282060000,14100000
"PA",2007,49460000,166560000,5470000
"KN",2007,8090000,3870000,1280000
"LC",2007,28380000,7040000,2200000
"VC",2007,72240000,3810000,1190000
"TT",2007,22330000,1e+06,1050000
"TC",2007,16660000,920000,360000
"west-indies",2007,70280000,1190000,290000
"north-central-america",2007,352840000,7860000,2140000
"AR",2007,173640000,6.4e+07,6440000
"BO",2007,1901340000,1375320000,13610000
"BR",2007,520360000,196310000,74140000
"CL",2007,136030000,21220000,5290000
"CO",2007,829930000,65230000,10520000
"EC",2007,307320000,83860000,27400000
"GY",2007,588300000,451620000,7270000
"PY",2007,196170000,75240000,21240000
"PE",2007,891900000,497370000,89810000
"SR",2007,162110000,11310000,5600000
"UY",2007,56040000,16950000,2250000
"VE",2007,80350000,10000,0
"south-america",2007,199960000,4120000,610000
"america",2007,598850000,5190000,550000
"KH",2007,771700000,19230000,13260000
"CN",2007,3486210000,1816390000,622830000
"KP",2007,114700000,5630000,680000
"ID",2007,3506760000,2496870000,780520000
"LA",2007,489260000,37650000,17510000
"MY",2007,488510000,201440000,52950000
"MN",2007,305900000,38490000,16230000
"PH",2007,1578680000,833040000,314720000
"TH",2007,435100000,915300000,152750000
"TL",2007,324170000,0,0
"VN",2007,3172240000,306930000,184560000
"east-asia",2007,217960000,0,0
"AF",2007,5326700000,4110000,6910000
"AM",2007,432360000,35120000,10300000
"AZ",2007,284280000,40850000,10220000
"BD",2007,2323080000,738140000,244080000
"BT",2007,107900000,4590000,1930000
"GE",2007,456860000,55310000,11560000
"IN",2007,3379160000,1951880000,586930000
"KZ",2007,311760000,77870000,22480000
"KG",2007,337850000,42980000,13050000
"MV",2007,48770000,7590000,1430000
"MM",2007,228590000,8190000,1690000
"NP",2007,774080000,122730000,52810000
"PK",2007,2947240000,534350000,310670000
"LK",2007,1177100000,504140000,163890000
"TJ",2007,248660000,7450000,5230000
"TM",2007,44290000,14670000,12220000
"UZ",2007,224130000,26490000,18350000
"central-asia",2007,265480000,0,0
"south-asia",2007,110300000,0,0
"south-central-asia",2007,204940000,0,0
"BH",2007,0,0,0
"IR",2007,125670000,26700000,10140000
"IQ",2007,10035630000,57740000,650000
"JO",2007,909330000,232220000,50330000
"LB",2007,1077280000,42930000,4e+06
"OM",2007,363010000,133960000,0
"SA",2007,29900000,218900000,87900000
"SY",2007,287960000,218410000,36400000
"PS",2007,1818390000,440000,0
"YE",2007,401210000,152050000,28260000
"middle-east",2007,1566510000,10000,0
"asia",2007,1091940000,11700000,0
"CK",2007,12600000,710000,280000
"FJ",2007,64120000,1630000,640000
"KI",2007,35430000,340000,160000
"MH",2007,58280000,1270000,1120000
"FM",2007,127450000,320000,440000
"NR",2007,3.6e+07,0,0
"NU",2007,17980000,0,0
"PW",2007,26320000,0,0
"PG",2007,497200000,49120000,16310000
"WS",2007,53530000,5250000,1550000
"SB",2007,351250000,6220000,940000
"TK",2007,15680000,0,0
"TO",2007,43460000,3260000,760000
"TV",2007,15040000,0,60000
"VU",2007,74140000,2440000,9e+05
"WF",2007,118490000,570000,170000
"oceania",2007,193870000,10000,0
"bilateral-unspecified",2007,21352540000,556080000,860000
"AL",2008,392140000,42520000,10670000
"BY",2008,111550000,5060000,1940000
"BA",2008,475880000,21660000,11270000
"HR",2008,254090000,26860000,4850000
"MK",2008,212990000,7400000,4200000
"XK",2008,0,0,0
"MT",2008,0,0,0
"MD",2008,309590000,13260000,3780000
"ME",2008,110320000,7420000,1330000
"RS",2008,966150000,12870000,13840000
"SI",2008,0,0,0
"ex-yugoslavia",2008,53190000,6140000,160000
"TR",2008,1590920000,467320000,85120000
"UA",2008,614830000,11130000,1680000
"europe",2008,813250000,12010000,0
"DZ",2008,419870000,115940000,20160000
"EG",2008,2469960000,726990000,293420000
"LY",2008,83230000,10680000,0
"MA",2008,1862530000,438960000,93480000
"TN",2008,666960000,298320000,60020000
"north-of-sahara",2008,245300000,2010000,0
"AO",2008,400300000,31080000,72390000
"BJ",2008,652480000,18460000,5720000
"BW",2008,740660000,37290000,5030000
"BF",2008,1034210000,44790000,10010000
"BI",2008,573670000,52370000,14950000
"CV",2008,230110000,16510000,6970000
"CM",2008,1122350000,585860000,58410000
"CF",2008,291300000,31940000,8320000
"TD",2008,511220000,98020000,17210000
"KM",2008,47780000,7930000,6510000
"CG",2008,497530000,37360000,22170000
"CI",2008,831270000,205100000,66290000
"CD",2008,1957650000,197240000,28890000
"DJ",2008,154200000,15160000,3820000
"GQ",2008,33750000,3650000,1580000
"ER",2008,153010000,5430000,4090000
"ET",2008,3380940000,27310000,8960000
"GA",2008,92060000,32730000,6480000
"GM",2008,3.24e+08,229560000,3060000
"GH",2008,1339420000,32860000,15990000
"GN",2008,501590000,175890000,66040000
"GW",2008,142530000,14170000,5510000
"KE",2008,1633500000,254710000,73540000
"LS",2008,161300000,17990000,8210000
"LR",2008,1632980000,385650000,380860000
"MG",2008,865630000,22190000,11600000
"MW",2008,945820000,17780000,3380000
"ML",2008,1012800000,44750000,10210000
"MR",2008,494810000,43850000,6040000
"MU",2008,148260000,46430000,6660000
"YT",2008,447990000,4840000,2520000
"MZ",2008,2023550000,35810000,13920000
"NA",2008,221850000,9340000,4200000
"NE",2008,622790000,18040000,4100000
"NG",2008,1485260000,171340000,19930000
"RW",2008,938930000,6810000,3790000
"SH",2008,63020000,0,0
"ST",2008,64260000,16810000,630000
"SN",2008,1173210000,112280000,29620000
"SC",2008,13320000,540000,970000
"SL",2008,379850000,4520000,1310000
"SO",2008,774030000,640000,90000
"ZA",2008,1156930000,39340000,16270000
"SS",2008,0,0,0
"SD",2008,2657640000,36600000,2600000
"SZ",2008,79290000,8250000,3310000
"TZ",2008,2365520000,17820000,16570000
"TG",2008,455790000,137100000,56190000
"UG",2008,1683310000,38930000,11180000
"ZM",2008,1151190000,28480000,4620000
"ZW",2008,630530000,3890000,1180000
"south-of-sahara",2008,2844640000,13740000,5660000
"africa",2008,1360860000,36010000,1020000
"AI",2008,3500000,4e+05,180000
"AG",2008,9790000,1030000,3e+05
"BB",2008,9470000,2700000,340000
