"id","year","in-oda-gross","capital-repayment","interest-repayment"
"asia",2000,385550000,30000,0
"CK",2000,9530000,120000,3e+05
"FJ",2000,58920000,6220000,520000
"KI",2000,31710000,120000,60000
"MH",2000,76220000,0,360000
"FM",2000,131470000,60000,380000
"NR",2000,7190000,0,0
"NU",2000,7520000,0,0
"PW",2000,47460000,0,0
"PG",2000,676410000,40570000,23290000
"WS",2000,56630000,4860000,1840000
"SB",2000,137200000,5700000,1880000
"TK",2000,8320000,0,0
"TO",2000,38780000,3560000,1050000
"TV",2000,8880000,20000,30000
"VU",2000,86290000,2350000,760000
"WF",2000,90060000,0,0
"oceania",2000,124660000,3690000,0
"bilateral-unspecified",2000,14082550000,282990000,215620000
"AL",2001,456250000,18450000,9830000
"BY",2001,0,0,0
"BA",2001,1049370000,4780000,8880000
"HR",2001,228840000,21880000,5140000
"MK",2001,408330000,3540000,7550000
"XK",2001,0,0,0
"MT",2001,8500000,5330000,980000
"MD",2001,188570000,2380000,3100000
"ME",2001,0,0,0
"RS",2001,2186650000,40000,0
"SI",2001,241920000,24270000,13480000
"ex-yugoslavia",2001,252640000,0,0
"TR",2001,744650000,468370000,135810000
"UA",2001,0,0,0
"europe",2001,370200000,3220000,0
"DZ",2001,452950000,111380000,34030000
"EG",2001,2471150000,550650000,358260000
"LY",2001,0,0,0
"MA",2001,1117860000,315680000,105150000
"TN",2001,888950000,281210000,71900000
"north-of-sahara",2001,34700000,0,0
"AO",2001,482620000,9860000,3990000
"BJ",2001,529400000,75660000,9590000
"BW",2001,72730000,24500000,8190000
"BF",2001,763210000,90140000,10490000
"BI",2001,273540000,32380000,7440000
"CV",2001,136830000,7710000,4040000
"CM",2001,977390000,216340000,15830000
"CF",2001,146600000,24150000,4840000
"TD",2001,342900000,29790000,7230000
"KM",2001,52160000,6530000,1030000
"CG",2001,146630000,29750000,9890000
"CI",2001,527940000,201980000,21590000
"CD",2001,416540000,8060000,260000
"DJ",2001,109120000,11570000,1150000
"GQ",2001,35990000,11850000,1020000
"ER",2001,470590000,2720000,1990000
"ET",2001,1824550000,75310000,32130000
"GA",2001,148530000,135890000,6870000
"GM",2001,95710000,12490000,3100000
"GH",2001,1225340000,216710000,58070000
"GN",2001,577950000,121670000,17880000
"GW",2001,115490000,11700000,3350000
"KE",2001,965580000,220270000,61700000
"LS",2001,116500000,28930000,4570000
"LR",2001,72400000,12720000,2580000
"MG",2001,682660000,92170000,19760000
"MW",2001,737160000,81890000,26940000
"ML",2001,724300000,144710000,18390000
"MR",2001,530410000,68870000,10290000
"MU",2001,79130000,44050000,5600000
"YT",2001,214090000,4740000,210000
"MZ",2001,1662430000,91960000,13800000
"NA",2001,1.96e+08,8970000,7330000
"NE",2001,482150000,53400000,11220000
"NG",2001,327010000,55220000,27160000
"RW",2001,535910000,46430000,10240000
"SH",2001,21840000,0,0
"ST",2001,69640000,4650000,1160000
"SN",2001,902090000,199100000,27500000
"SC",2001,21810000,1190000,220000
"SL",2001,595010000,55380000,6320000
"SO",2001,257300000,2720000,0
"ZA",2001,749650000,51950000,16810000
"SS",2001,0,0,0
"SD",2001,352630000,29350000,2970000
"SZ",2001,71260000,23050000,2940000
"TZ",2001,2166490000,163600000,38710000
"TG",2001,140300000,65310000,9130000
"UG",2001,1480980000,158420000,32060000
"ZM",2001,1326690000,407150000,51620000
"ZW",2001,304340000,38510000,9700000
"south-of-sahara",2001,1059270000,12390000,4650000
"africa",2001,661950000,46560000,30000
"AI",2001,5930000,790000,310000
"AG",2001,13810000,1230000,410000
"BB",2001,6200000,8960000,2580000
"BZ",2001,52860000,18060000,2070000
"CR",2001,105310000,87240000,19090000
"CU",2001,91830000,0,0
"DM",2001,36740000,5920000,1720000
"DO",2001,248550000,91980000,35410000
"SV",2001,435850000,62070000,30110000
"GD",2001,22200000,5560000,1490000
"GT",2001,434030000,69580000,28490000
"HT",2001,278250000,22730000,12140000
"HN",2001,1061830000,61560000,27410000
"JM",2001,244870000,139150000,46330000
"MX",2001,309440000,131520000,46980000
"MS",2001,47450000,110000,20000
"NI",2001,1674070000,92620000,30810000
"PA",2001,79930000,37730000,9820000
"KN",2001,21190000,4910000,1690000
"LC",2001,42400000,14500000,2340000
"VC",2001,19940000,6520000,1710000
"TT",2001,17540000,22210000,6200000
"TC",2001,10390000,480000,130000
"west-indies",2001,164720000,1030000,6e+05
"north-central-america",2001,222800000,10700000,2180000
"AR",2001,363160000,122590000,36430000
"BO",2001,1350670000,178730000,48640000
"BR",2001,674720000,307960000,112400000
"CL",2001,185410000,60540000,9010000
"CO",2001,674570000,133690000,26650000
"EC",2001,378220000,91050000,42870000
"GY",2001,211860000,40300000,13540000
"PY",2001,153220000,62490000,26240000
"PE",2001,886430000,244220000,104500000
"SR",2001,39630000,720000,130000
"UY",2001,42400000,18450000,4540000
"VE",2001,78450000,6890000,920000
"south-america",2001,156890000,7450000,2380000
"america",2001,667180000,12780000,1060000
"KH",2001,690480000,19710000,6550000
"CN",2001,3427410000,1086170000,631440000
"KP",2001,207820000,1390000,810000
"ID",2001,2540750000,370810000,750020000
"LA",2001,430770000,33880000,17520000
"MY",2001,216460000,167720000,72910000
"MN",2001,337690000,13860000,12370000
"PH",2001,1426530000,569220000,313110000
"TH",2001,1298090000,894860000,269340000
"TL",2001,377150000,0,0
"VN",2001,2369310000,120090000,86940000
"east-asia",2001,58190000,0,0
"AF",2001,733340000,0,0
"AM",2001,318850000,3400000,7320000
"AZ",2001,3.35e+08,1410000,4330000
"BD",2001,2326320000,660390000,202860000
"BT",2001,104960000,3960000,1290000
"GE",2001,440190000,5570000,8790000
"IN",2001,4258570000,1609570000,627870000
"KZ",2001,224300000,1130000,10180000
"KG",2001,304360000,16800000,15220000
"MV",2001,54140000,15020000,1180000
"MM",2001,196090000,8920000,39920000
"NP",2001,710090000,88720000,35530000
