"id-from","entity-from-name","id-to","entity-to-name","year","sector","oof-bundle","channel","value"
"BE","Belgium","africa","Africa, regional",2010,"other","oof-loan","unspecified",16944149
"DE","Germany","africa","Africa, regional",2010,"infrastructure","oof-loan","unspecified",90256906
"DE","Germany","africa","Africa, regional",2010,"industry-and-trade","oof-loan","unspecified",33682794
"DE","Germany","africa","Africa, regional",2010,"other","oof-loan","unspecified",10860034
"DK","Denmark","africa","Africa, regional",2010,"other","oof-loan","unspecified",5804584
"EU","European Union","africa","Africa, regional",2010,"other","oof-loan","unspecified",1051384391
"EU","European Union","africa","Africa, regional",2010,"banking-and-business","oof-loan","unspecified",14395892
"FI","Finland","africa","Africa, regional",2010,"other","oof-loan","unspecified",12343231
"FR","France","africa","Africa, regional",2010,"other","oof-loan","unspecified",52105857
"GB","UK","africa","Africa, regional",2010,"other","oof-loan","unspecified",10942444
"KR","South Korea","africa","Africa, regional",2010,"other","oof-loan","unspecified",147912181
"ofid","OFID","africa","Africa, regional",2010,"banking-and-business","oof-loan","unspecified",64594711
"afdb","AfDB","africa","Africa, regional",2011,"agriculture-and-food-security","oof-loan","other",3400808
"afdb","AfDB","africa","Africa, regional",2011,"other","oof-loan","other",5783827
"afdb","AfDB","africa","Africa, regional",2011,"banking-and-business","oof-loan","other",213534057
"afdb","AfDB","africa","Africa, regional",2011,"health","oof-loan","other",4721974
"afdb","AfDB","africa","Africa, regional",2011,"industry-and-trade","oof-loan","other",405445
"afdb","AfDB","africa","Africa, regional",2011,"infrastructure","oof-loan","other",19101180
"AU","Australia","africa","Africa, regional",2011,"other","oof-grant","unspecified",7890673
"BE","Belgium","africa","Africa, regional",2011,"other","oof-loan","unspecified",7501488
"DE","Germany","africa","Africa, regional",2011,"other","oof-loan","unspecified",34644074
"DE","Germany","africa","Africa, regional",2011,"infrastructure","oof-loan","unspecified",98633563
"DK","Denmark","africa","Africa, regional",2011,"other","oof-loan","unspecified",9820064
"EU","European Union","africa","Africa, regional",2011,"other","oof-loan","unspecified",121294762
"FI","Finland","africa","Africa, regional",2011,"other","oof-loan","unspecified",8787284
"FR","France","africa","Africa, regional",2011,"other","oof-loan","unspecified",15646338
"GB","UK","africa","Africa, regional",2011,"other","oof-loan","unspecified",7497427
"KR","South Korea","africa","Africa, regional",2011,"other","oof-loan","unspecified",71105818
"US","USA","africa","Africa, regional",2011,"other","oof-loan","unspecified",8109065
"afdb","AfDB","africa","Africa, regional",2012,"health","oof-loan","other",6965065
"afdb","AfDB","africa","Africa, regional",2012,"humanitarian","oof-loan","other",10493092
"afdb","AfDB","africa","Africa, regional",2012,"industry-and-trade","oof-loan","other",453311
"afdb","AfDB","africa","Africa, regional",2012,"banking-and-business","oof-loan","other",218445519
"afdb","AfDB","africa","Africa, regional",2012,"agriculture-and-food-security","oof-loan","other",9585387
"afdb","AfDB","africa","Africa, regional",2012,"other","oof-loan","other",9946811
"AU","Australia","africa","Africa, regional",2012,"other","oof-grant","unspecified",1209477
"BE","Belgium","africa","Africa, regional",2012,"other","oof-loan","unspecified",49225605
"DE","Germany","africa","Africa, regional",2012,"infrastructure","oof-loan","unspecified",93708162
"DE","Germany","africa","Africa, regional",2012,"other","oof-loan","unspecified",26792619
"DE","Germany","africa","Africa, regional",2012,"industry-and-trade","oof-loan","unspecified",57925780
"DK","Denmark","africa","Africa, regional",2012,"other","oof-loan","unspecified",18478730
"EU","European Union","africa","Africa, regional",2012,"other","oof-loan","unspecified",43485164
"EU","European Union","africa","Africa, regional",2012,"banking-and-business","oof-loan","unspecified",33419023
"FI","Finland","africa","Africa, regional",2012,"other","oof-loan","unspecified",1571979
"FR","France","africa","Africa, regional",2012,"other","oof-loan","unspecified",65794339
"GB","UK","africa","Africa, regional",2012,"other","oof-loan","unspecified",6054851
"KR","South Korea","africa","Africa, regional",2012,"other","oof-loan","unspecified",2400000
"SE","Sweden","africa","Africa, regional",2012,"other","oof-loan","unspecified",4546972
"SE","Sweden","africa","Africa, regional",2012,"banking-and-business","oof-loan","unspecified",10142564
"US","USA","africa","Africa, regional",2012,"other","oof-loan","unspecified",112310
"afdb","AfDB","africa","Africa, regional",2013,"other","oof-loan","other",10914126
"afdb","AfDB","africa","Africa, regional",2013,"agriculture-and-food-security","oof-loan","other",10375182
"afdb","AfDB","africa","Africa, regional",2013,"banking-and-business","oof-loan","multilateral",19922960
"afdb","AfDB","africa","Africa, regional",2013,"banking-and-business","oof-loan","other",72797292
"afdb","AfDB","africa","Africa, regional",2013,"industry-and-trade","oof-loan","other",16384102
"afdb","AfDB","africa","Africa, regional",2013,"health","oof-loan","other",3368828
"afdb","AfDB","africa","Africa, regional",2013,"humanitarian","oof-loan","other",19845333
"afdb","AfDB","africa","Africa, regional",2013,"other","oof-loan","multilateral",9848376
"afdb","AfDB","africa","Africa, regional",2013,"infrastructure","oof-loan","other",35129388
"AU","Australia","africa","Africa, regional",2013,"other","oof-grant","unspecified",4480346
"BE","Belgium","africa","Africa, regional",2013,"other","oof-grant","unspecified",253684
"BE","Belgium","africa","Africa, regional",2013,"other","oof-loan","unspecified",27521526
