"id","value.2011"
"AF",5.16
"AG",2.17
"AI",2.17
"AL",0.06
"AM",0.4
"AO",16.24
"AR",0.78
"AZ",0.11
"BA",0.01
"BD",9.72
"BF",12.86
"BG",0.81
"BI",34.7
"BJ",18.82
"BO",3.12
"BR",2.51
"BT",0.45
"BW",2.93
"BY",0
"BZ",5.08
"CD",47.6
"CF",26.86
"CG",11.47
"CI",13.78
"CK",1.56
"CL",0.38
"CM",6.18
"CN",1.32
"CO",2.02
"CR",0.56
"CU",2.17
"CV",2.64
"CZ",0.06
"DJ",2.54
"DM",2.17
"DO",0.63
"DZ",0.24
"EC",1.94
"EE",1.18
"EG",0.37
"ER",19.2
"ET",10.39
"FJ",0.62
"FM",8.74
"GA",1.09
"GD",2.17
"GE",5.61
"GH",5.59
"GM",11.89
"GN",13.07
"GQ",19.2
"GT",4.78
"GW",16.43
"GY",1.43
"HN",7.21
"HR",0
"HT",25.21
"HU",0.05
"ID",2.68
"IN",5.13
"IQ",0.61
"IR",0.21
"JM",0
"JO",0.02
"KE",14.16
"KG",1.18
"KH",1.43
"KI",1.56
"KM",22.11
"KN",2.17
"KP",1.56
"KZ",0.01
"LA",7.93
"LB",0.35
"LC",3.68
"LK",0.45
"LR",29.31
"LS",22.22
"LT",0.81
"LV",0.95
"LY",0.35
"MA",0.4
"MD",0.03
"ME",0.08
"MG",48.92
"MH",1.56
"MK",0.03
"ML",16.56
"MM",1.56
"MN",1.56
"MR",6.84
"MS",2.17
"MU",0.16
"MV",0
"MW",33.74
"MX",0.26
"MY",0
"MZ",22.18
"NA",5.08
"NE",10.42
"NG",26.15
"NI",2.18
"NP",5.58
"NR",1.56
"NU",1.56
"PA",1.14
"PE",0.77
"PG",1.08
"PH",3.86
"PK",1.94
"PL",0
"PS",0
"PW",1.56
"PY",1.7
"RO",0
"RS",0
"RU",0
"RW",26.53
"SB",1.56
"SC",0.06
"SD",4.59
"SH",19.2
"SI",0
"SK",0.19
"SL",19.24
"SN",11.08
"SO",19.2
"SR",3.61
"SS",19.2
"ST",13.34
"SV",0.59
"SY",0.05
"SZ",15.53
"TD",14.18
"TG",22.52
"TH",0.03
"TJ",1.06
"TK",1.56
"TL",7.55
"TM",0.99
"TN",0.19
"TO",1.56
"TR",0
"TT",0.33
"TV",1.56
"TZ",12.98
"UA",0
"UG",11.65
"UY",0.08
"UZ",0.14
"VC",2.17
"VE",3.44
"VN",0.85
"VU",1.56
"WF",1.56
"WS",1.56
"XK",0.14
"YE",0.91
"ZA",1.19
"ZM",40.64
"ZW",19.2
