"series","country-year"
"id","out-oof-and-repayments"
"type","composite"
"parent",
"name","Gross Other Official Flows disbursed by donors with capital and interest repayments"
"columns","id, year, out-oof-gross, capital-repayment, interest-repayment"
"description","Gross OOF disbursed by donors with capital and interest repayments"
"default-scale","lin"
"theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription",
"laymans-heading",
