"district_id","2014","2016","2015","2017"
"d18974",4748873.9912048,,,
"d18975",,142677.85758136,,
"d18988",,120741.71791413,,
"d18976",,380899.83559987,187616.17790604,866015.00147796
"d18968",,,228052.45512032,
"d18989",,218431.89922879,215116.92059585,
"d18943",10000047.6889783,,,
"d18970",,154110.67613674,20831013.4363197,
"d18951",,137310.25151433,,
"d18960",,,134142.51156474,
"d18979",,212669.01507892,896320.50248271,
"d18962",,92949.74435268,,
"d18948",,,,197926.16172989
"d18982",,182738.24930997,,
"d18973",,1106380.80702991,,
"d18953",,334400.68495031,126605.27097568,2497514.9750335
"d18983",,282708.47855863,,297846.04683597
"d18985",,,152170.77621695,325840.1517288
"d18986",,1264020.98944916,101854.60255485,
