"id","direction.2000","flow-type.2000","flow-name.2000","value.2000","direction.2001","flow-type.2001","flow-name.2001","value.2001","direction.2002","flow-type.2002","flow-name.2002","value.2002","direction.2003","flow-type.2003","flow-name.2003","value.2003","direction.2004","flow-type.2004","flow-name.2004","value.2004","direction.2005","flow-type.2005","flow-name.2005","value.2005","direction.2006","flow-type.2006","flow-name.2006","value.2006","direction.2007","flow-type.2007","flow-name.2007","value.2007","direction.2008","flow-type.2008","flow-name.2008","value.2008","direction.2009","flow-type.2009","flow-name.2009","value.2009","direction.2010","flow-type.2010","flow-name.2010","value.2010","direction.2011","flow-type.2011","flow-name.2011","value.2011","direction.2012","flow-type.2012","flow-name.2012","value.2012","direction.2013","flow-type.2013","flow-name.2013","value.2013"
"AT","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",86704560,"out","official","dfis-out",93902431,"out","official","dfis-out",119453783,"out","official","dfis-out",76539560,"out","official","dfis-out",,"in","official","oda-capital-repay",4730000
"BE","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",32455317,"out","official","dfis-out",33563450,"out","official","dfis-out",57124203,"out","official","dfis-out",65397137,"out","official","dfis-out",111916483,"out","official","dfis-out",114839875,"out","official","dfis-out",374116600,"in","official","oda-capital-repay",55620000
"CH","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",39487321,"out","official","dfis-out",,"in","official","oda-capital-repay",25220000
"DE","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",1557850986,"out","official","dfis-out",1456620947,"out","official","dfis-out",2591949239,"out","official","dfis-out",3270345966,"out","official","dfis-out",4053806047,"out","official","dfis-out",,"out","official","dfis-out",3068814079,"in","official","oda-capital-repay",1889680000
"DK","out","official","dfis-out",76099499,"out","official","dfis-out",86372623,"out","official","dfis-out",89192227,"out","official","dfis-out",99649281,"out","official","dfis-out",85869351,"out","official","dfis-out",54444861,"out","official","dfis-out",77854216,"out","official","dfis-out",54362663,"out","official","dfis-out",67445160,"out","official","dfis-out",51948378,"out","official","dfis-out",70810398,"out","official","dfis-out",71720472,"out","official","dfis-out",77474980,"in","official","oda-capital-repay",167370000
"ES","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",143938836,"out","official","dfis-out",195652606,"out","official","dfis-out",186743329,"out","official","dfis-out",43489416,"out","official","dfis-out",84803336,"out","official","dfis-out",177208340,"out","official","dfis-out",143429039,"out","official","dfis-out",185180245,"out","official","dfis-out",181449945,"out","official","dfis-out",204567149,"out","official","dfis-out",291681400,"in","official","oda-capital-repay",220310000
"FI","out","official","dfis-out",27707852,"out","official","dfis-out",25265413,"out","official","dfis-out",11160750,"out","official","dfis-out",29507297,"out","official","dfis-out",44571661,"out","official","dfis-out",10425616,"out","official","dfis-out",23624348,"out","official","dfis-out",14754620,"out","official","dfis-out",20075113,"out","official","dfis-out",37996902,"out","official","dfis-out",39313866,"out","official","dfis-out",14149963,"out","official","dfis-out",28910981,"in","official","oda-capital-repay",0
"FR","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",371804147,"out","official","dfis-out",435712218,"out","official","dfis-out",386224007,"out","official","dfis-out",447812456,"out","official","dfis-out",895398880,"out","official","dfis-out",911317527,"out","official","dfis-out",767387845,"out","official","dfis-out",1105115413,"in","official","oda-capital-repay",1420860000
"GB","out","official","dfis-out",391555183,"out","official","dfis-out",203132594,"out","official","dfis-out",288845215,"out","official","dfis-out",407830043,"out","official","dfis-out",295487511,"out","official","dfis-out",414216988,"out","official","dfis-out",805999193,"out","official","dfis-out",1519075582,"out","official","dfis-out",297861070,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",11944891,"in","official","oda-capital-repay",412370000
"JP","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",8025102238,"out","official","dfis-out",4503874926,"out","official","dfis-out",5586536183,"out","official","dfis-out",8682204198,"in","official","oda-capital-repay",13453060000
"NL","out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",,"out","official","dfis-out",647503441,"out","official","dfis-out",699943062,"out","official","dfis-out",684030999,"out","official","dfis-out",993824240,"out","official","dfis-out",1017537611,"out","official","dfis-out",1168125666,"out","official","dfis-out",871957329,"out","official","dfis-out",987073218,"out","official","dfis-out",1143827804,"out","official","dfis-out",1095005472,"in","official","oda-capital-repay",174810000
