"id","entity-name","2009"
"d18974","Baringo",89
"d18975","Bomet",82
"d18987","Bungoma",78
"d18988","Busia",84
"d18976","Elgeyo-Marakwet",86
"d18955","Embu",84
"d18965","Garissa",76
"d18968","Homa Bay",86
"d18956","Isiolo",56
"d18991","Kajiado",59
"d18989","Kakamega",85
"d18977","Kericho",72
"d18943","Kiambu",39
"d18949","Kilifi",74
"d18944","Kirinyaga",84
"d18969","Kisii",78
"d18970","Kisumu",48
"d18957","Kitui",86
"d18950","Kwale",82
"d18978","Laikipia",75
"d18951","Lamu",80
"d18958","Machakos",48
"d18959","Makueni",88
"d18966","Mandera",82
"d18960","Marsabit",78
"d18961","Meru",88
"d18971","Migori",66
"d18952","Mombasa",0
"d18946","Murang'a",84
"d18964","Nairobi",0
"d18979","Nakuru",54
"d18980","Nandi",86
"d18981","Narok",93
"d18962","Nithi",93
"d18972","Nyamira",86
"d18947","Nyandarua",81
"d18948","Nyeri",76
"d18982","Samburu",83
"d18973","Siaya",89
"d18953","Taita Taveta",77
"d18954","Tana River",85
"d18983","Trans-Nzoia",80
"d18984","Turkana",86
"d18985","Uasin Gishu",61
"d18990","Vihiga",69
"d18967","Wajir",85
"d18986","West Pokot",92
